Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Agra,01/04/2019,5,Bengal Gram Dal,5300,5600,5450,
,02/04/2019,6,Bengal Gram Dal,5250,5500,5380,
,03/04/2019,6.5,Bengal Gram Dal,5150,5400,5280,
,04/04/2019,5,Bengal Gram Dal,5100,5300,5200,
,05/04/2019,5.5,Bengal Gram Dal,5050,5300,5180,
,06/04/2019,4,Bengal Gram Dal,5050,5250,5150,
,08/04/2019,3.5,Bengal Gram Dal,5100,5250,5180,
,09/04/2019,3,Bengal Gram Dal,5050,5350,5200,
,10/04/2019,4,Bengal Gram Dal,5100,5300,5200,
,11/04/2019,4.5,Bengal Gram Dal,5000,5300,5150,
,15/04/2019,3.5,Bengal Gram Dal,5050,5350,5200,
,16/04/2019,4,Bengal Gram Dal,5100,5350,5220,
,20/04/2019,3.5,Bengal Gram Dal,5100,5350,5250,
,22/04/2019,4,Bengal Gram Dal,5150,5350,5240,
,23/04/2019,3.5,Bengal Gram Dal,5100,5400,5250,
,24/04/2019,4.5,Bengal Gram Dal,5100,5400,5250,
,25/04/2019,4,Bengal Gram Dal,5150,5350,5280,
,26/04/2019,4.5,Bengal Gram Dal,5050,5350,5200,
,27/04/2019,5,Bengal Gram Dal,5050,5350,5200,
,29/04/2019,5,Bengal Gram Dal,5050,5300,5180,
,30/04/2019,4,Bengal Gram Dal,5100,5350,5220,
Ajuha,01/04/2019,3.5,Bengal Gram Dal,5325,5400,5350,
,02/04/2019,3,Bengal Gram Dal,5325,5400,5350,
,03/04/2019,2.5,Bengal Gram Dal,5300,5400,5350,
,04/04/2019,3,Bengal Gram Dal,5300,5400,5350,
,06/04/2019,3.5,Bengal Gram Dal,5300,5350,5330,
,07/04/2019,3,Bengal Gram Dal,5310,5350,5330,
,08/04/2019,3.5,Bengal Gram Dal,5300,5350,5330,
,09/04/2019,3.6,Bengal Gram Dal,5300,5350,5325,
,10/04/2019,3.5,Bengal Gram Dal,5300,5350,5325,
,11/04/2019,3,Bengal Gram Dal,5300,5350,5325,
,13/04/2019,3.5,Bengal Gram Dal,5275,5350,5300,
,14/04/2019,3,Bengal Gram Dal,5250,5350,5300,
,15/04/2019,2.5,Bengal Gram Dal,5275,5350,5300,
,16/04/2019,3,Bengal Gram Dal,5250,5350,5300,
,17/04/2019,2.5,Bengal Gram Dal,5250,5350,5300,
,18/04/2019,3.2,Bengal Gram Dal,5225,5275,5250,
,20/04/2019,3,Bengal Gram Dal,5225,5275,5250,
,21/04/2019,3.5,Bengal Gram Dal,5225,5300,5250,
,22/04/2019,3.5,Bengal Gram Dal,5200,5275,5250,
,23/04/2019,4,Bengal Gram Dal,5200,5250,5225,
,24/04/2019,3,Bengal Gram Dal,5200,5275,5225,
,25/04/2019,3.5,Bengal Gram Dal,5150,5250,5200,
,27/04/2019,3.2,Bengal Gram Dal,5150,5250,5200,
,28/04/2019,4,Bengal Gram Dal,5150,5225,5200,
,29/04/2019,3.5,Bengal Gram Dal,5150,5250,5200,
,30/04/2019,3,Bengal Gram Dal,5150,5250,5200,
Akbarpur,05/04/2019,9,Bengal Gram Dal,5650,5750,5700,
,12/04/2019,10,Bengal Gram Dal,5750,5850,5800,
,19/04/2019,18,Bengal Gram Dal,5850,5950,5900,
,26/04/2019,10,Bengal Gram Dal,5950,6050,6000,
Aligarh,01/04/2019,4,Bengal Gram Dal,5200,5400,5300,
,02/04/2019,4,Bengal Gram Dal,5150,5350,5250,
,03/04/2019,4,Bengal Gram Dal,5150,5350,5250,
,04/04/2019,4,Bengal Gram Dal,5150,5350,5250,
,05/04/2019,4,Bengal Gram Dal,5150,5250,5200,
,06/04/2019,4,Bengal Gram Dal,5200,5400,5300,
,08/04/2019,4,Bengal Gram Dal,5200,5400,5300,
