Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Agra,01/01/2020,3,Bengal Gram Dal,5900,6200,6050,
,02/01/2020,2.5,Bengal Gram Dal,6000,6200,6100,
,03/01/2020,4,Bengal Gram Dal,5950,6150,6080,
,04/01/2020,3.5,Bengal Gram Dal,6050,6250,6120,
,06/01/2020,3,Bengal Gram Dal,6050,6250,6150,
,07/01/2020,2.5,Bengal Gram Dal,5900,6200,6050,
,08/01/2020,3,Bengal Gram Dal,5850,6150,6000,
,09/01/2020,2.5,Bengal Gram Dal,5900,6150,6000,
,10/01/2020,2,Bengal Gram Dal,5800,6100,5950,
,11/01/2020,1.5,Bengal Gram Dal,5900,6100,5980,
,13/01/2020,2.5,Bengal Gram Dal,5900,6100,6000,
,14/01/2020,2,Bengal Gram Dal,5950,6150,6050,
,15/01/2020,2.5,Bengal Gram Dal,5850,6100,5950,
,16/01/2020,1.5,Bengal Gram Dal,5900,6150,6000,
,17/01/2020,2,Bengal Gram Dal,5850,6100,5980,
,18/01/2020,2.5,Bengal Gram Dal,5800,6100,5950,
,20/01/2020,2,Bengal Gram Dal,5850,6150,5970,
,21/01/2020,2.5,Bengal Gram Dal,5850,6100,5950,
,22/01/2020,3.5,Bengal Gram Dal,5780,6000,5850,
,23/01/2020,3, ,NR,NR,NR,
,24/01/2020,2,Bengal Gram Dal,5800,6000,5900,
,25/01/2020,2.5,Bengal Gram Dal,5750,6000,5850,
,27/01/2020,3,Bengal Gram Dal,5800,6050,5900,
,28/01/2020,2,Bengal Gram Dal,5850,6100,5950,
,29/01/2020,2.5,Bengal Gram Dal,5800,6000,5900,
,30/01/2020,3,Bengal Gram Dal,5750,6000,5850,
,31/01/2020,2,Bengal Gram Dal,5750,6000,5880,
Ajuha,01/01/2020,4.5,Bengal Gram Dal,5300,5400,5350,
,02/01/2020,4,Bengal Gram Dal,5300,5400,5350,
,04/01/2020,4.5,Bengal Gram Dal,5300,5400,5350,
,05/01/2020,5,Bengal Gram Dal,5300,5400,5350,
,06/01/2020,6,Bengal Gram Dal,5300,5400,5350,
,07/01/2020,7,Bengal Gram Dal,5350,5450,5400,
,08/01/2020,5,Bengal Gram Dal,5350,5500,5400,
,09/01/2020,6,Bengal Gram Dal,5350,5500,5400,
,11/01/2020,5,Bengal Gram Dal,5350,5500,5400,
,12/01/2020,4.5,Bengal Gram Dal,5350,5500,5400,
,13/01/2020,4,Bengal Gram Dal,5350,5500,5400,
,14/01/2020,5,Bengal Gram Dal,5350,5500,5400,
,15/01/2020,6,Bengal Gram Dal,5350,5400,5380,
,16/01/2020,5,Bengal Gram Dal,5380,5500,5420,
,18/01/2020,4.5,Bengal Gram Dal,5400,5500,5420,
,19/01/2020,4.8,Bengal Gram Dal,5380,5500,5420,
,20/01/2020,5,Bengal Gram Dal,5400,5500,5420,
,21/01/2020,4,Bengal Gram Dal,5350,5500,5400,
,22/01/2020,4.5,Bengal Gram Dal,5350,5500,5400,
,23/01/2020,4,Bengal Gram Dal,5350,5500,5400,
,25/01/2020,4.5,Bengal Gram Dal,5325,5500,5350,
,27/01/2020,5,Bengal Gram Dal,5360,5500,5390,
,28/01/2020,6,Bengal Gram Dal,5350,5500,5390,
,29/01/2020,4,Bengal Gram Dal,5350,5500,5390,
,30/01/2020,4.5,Bengal Gram Dal,5350,5500,5400,
Akbarpur,03/01/2020,9.5,Bengal Gram Dal,5800,6100,6000,
,10/01/2020,10.5,Bengal Gram Dal,5800,6000,5900,
,17/01/2020,11.5,Bengal Gram Dal,5900,5980,5950,
,22/01/2020,9.5,Bengal Gram Dal,5900,6000,5950,
,23/01/2020,5,Bengal Gram Dal,5850,6050,6000,
,24/01/2020,5.2,Bengal Gram Dal,5800,5850,5810,
,25/01/2020,5.5,Bengal Gram Dal,5800,5850,5820,
,27/01/2020,6,Bengal Gram Dal,5800,5850,5820,
,29/01/2020,7.5,Bengal Gram Dal,5500,5570,5550,
,31/01/2020,3.5,Bengal Gram Dal,5500,5550,5520,
Auraiya,01/01/2020,1,Bengal Gram Dal,5350,5550,5450,
,02/01/2020,0.7,Bengal Gram Dal,5300,5500,5400,
,03/01/2020,0.8,Bengal Gram Dal,5350,5550,5450,
,04/01/2020,1,Bengal Gram Dal,5400,5600,5500,
,06/01/2020,1.2,Bengal Gram Dal,5350,5570,5450,
,07/01/2020,1,Bengal Gram Dal,5400,5600,5500,
,08/01/2020,0.8,Bengal Gram Dal,5450,5650,5550,
,09/01/2020,0.6,Bengal Gram Dal,5350,5550,5450,
,10/01/2020,0.8,Bengal Gram Dal,5400,5600,5500,
,11/01/2020,1,Bengal Gram Dal,5400,5550,5475,
,13/01/2020,1.3,Bengal Gram Dal,5400,5600,5500,
,14/01/2020,0.9,Bengal Gram Dal,5350,5550,5450,
,15/01/2020,1,Bengal Gram Dal,5400,5600,5500,
,16/01/2020,0.8,Bengal Gram Dal,5450,5650,5550,
,17/01/2020,0.6,Bengal Gram Dal,5400,5600,5500,
,18/01/2020,1.2,Bengal Gram Dal,5450,5650,5550,
,20/01/2020,1,Bengal Gram Dal,5400,5600,5500,
,21/01/2020,1.5,Bengal Gram Dal,5350,5550,5450,
,22/01/2020,1.3,Bengal Gram Dal,5400,5600,5500,
,23/01/2020,1,Bengal Gram Dal,5450,5650,5550,
,24/01/2020,1.5,Bengal Gram Dal,5400,5600,5500,
,25/01/2020,1.2,Bengal Gram Dal,5450,5650,5550,
,27/01/2020,0.8,Bengal Gram Dal,5400,5600,5500,
,28/01/2020,1,Bengal Gram Dal,5350,5550,5480,
,29/01/2020,1.2,Bengal Gram Dal,5400,5600,5500,
,30/01/2020,1,Bengal Gram Dal,5300,5500,5450,
,31/01/2020,1.2,Bengal Gram Dal,5400,5600,5500,
Azamgarh,01/01/2020,1,Bengal Gram Dal,5980,6065,6015,
,02/01/2020,1.4,Bengal Gram Dal,5980,6080,6015,
,03/01/2020,1.2,Bengal Gram Dal,5970,6050,6015,
,04/01/2020,1.4,Bengal Gram Dal,5955,6035,5990,
,06/01/2020,1.5,Bengal Gram Dal,5950,6035,5990,
,07/01/2020,1.2,Bengal Gram Dal,5950,6050,6000,
,08/01/2020,1.7,Bengal Gram Dal,5965,6040,6000,
,09/01/2020,2,Bengal Gram Dal,5950,6040,5995,
,10/01/2020,1.5,Bengal Gram Dal,5950,6040,5995,
