Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Addanki,06/08/2016,9,Gulabi,5950,6000,5980,
,17/08/2016,41.2,Gulabi,5950,6000,5970,
,21/08/2016,17,Gulabi,5950,6000,5980,
Chilakaluripet,01/08/2016,0.1,Gulabi,8700,8900,8800,
,02/08/2016,0.1,Gulabi,8700,8900,8800,
,03/08/2016,0.1,Gulabi,8700,8900,8800,
,04/08/2016,0.1,Gulabi,8700,8900,8800,
,05/08/2016,0.1,Gulabi,8700,8900,8800,
,06/08/2016,0.1,Gulabi,8700,8900,8800,
,07/08/2016,0.1,Gulabi,8800,9000,8900,
,08/08/2016,0.1,Gulabi,8800,9000,8900,
,09/08/2016,0.1,Gulabi,8800,9000,8900,
,10/08/2016,0.1,Gulabi,8800,9000,8900,
,11/08/2016,0.1,Gulabi,8800,9000,8900,
,12/08/2016,0.1,Gulabi,8800,9000,8900,
,13/08/2016,0.1,Gulabi,8800,9000,8900,
,14/08/2016,0.1,Gulabi,8800,9000,8900,
,15/08/2016,0.1,Gulabi,8800,9000,8900,
,16/08/2016,0.1,Gulabi,8800,9000,8900,
,17/08/2016,0.1,Gulabi,8800,9000,8900,
,18/08/2016,0.1,Gulabi,8800,9000,8900,
,19/08/2016,0.1,Gulabi,8800,9000,8900,
,20/08/2016,0.1,Gulabi,8800,9000,8900,
,21/08/2016,0.1,Gulabi,8800,9000,8900,
,23/08/2016,0.1,Gulabi,8800,9000,8900,
,25/08/2016,0.1,Gulabi,8000,9000,8900,
,26/08/2016,0.1,Gulabi,8800,9000,8900,
,27/08/2016,0.1,Gulabi,8800,9000,8900,
,28/08/2016,0.1,Gulabi,8800,9000,8900,
,29/08/2016,0.1,Gulabi,8800,9000,8900,
,30/08/2016,0.1,Gulabi,8800,9000,8900,
Kandukur,01/08/2016,0.1,Gulabi,8250,8350,8300,
,02/08/2016,0.1,Gulabi,8250,8350,8300,
,03/08/2016,0.1,Gulabi,8250,8350,8300,
,04/08/2016,0.1,Gulabi,8250,8350,8300,
,05/08/2016,0.1,Gulabi,8250,8350,8300,
,06/08/2016,0.1,Gulabi,8250,8350,8300,
,07/08/2016,0.1,Gulabi,8250,8350,8300,
,08/08/2016,0.1,Gulabi,8250,8350,8300,
,09/08/2016,0.1,Gulabi,8250,8350,8300,
,10/08/2016,0.1,Gulabi,8250,8350,8300,
,11/08/2016,0.1,Gulabi,7950,8050,8000,
,12/08/2016,0.1,Gulabi,7950,8050,8000,
,13/08/2016,0.1,Gulabi,7950,8050,8000,
,14/08/2016,0.1,Gulabi,7950,8050,8000,
,15/08/2016,0.1,Gulabi,7950,8050,8000,
,16/08/2016,0.1,Gulabi,7950,8050,8000,
,17/08/2016,0.1,Gulabi,7950,8050,8000,
,18/08/2016,0.1,Gulabi,7100,7200,7150,
,19/08/2016,0.1,Gulabi,7100,7200,7150,
,20/08/2016,0.1,Bengal Gram (Split),7100,7200,7150,
,21/08/2016,0.1,Gulabi,7100,7200,7150,
,22/08/2016,0.1,Gulabi,7100,7200,7150,
,23/08/2016,0.1,Gulabi,7100,7200,7150,
,24/08/2016,0.1,Gulabi,7100,7200,7150,
,25/08/2016,0.1,Gulabi,7100,7200,7140,
,26/08/2016,0.1,Gulabi,7100,7200,7140,
,27/08/2016,0.1,Gulabi,5950,6000,5980,
,28/08/2016,0.1,Gulabi,5900,6000,5950,
,29/08/2016,0.1,Gulabi,5900,6000,5950,
,30/08/2016,0.1,Gulabi,5950,6000,5980,
,31/08/2016,0.1,Gulabi,5950,6000,5980,
Kondapi,01/08/2016,0.1,Gulabi,8250,8350,8300,
,02/08/2016,0.1,Gulabi,8250,8350,8300,
,03/08/2016,0.1,Gulabi,8250,8350,8300,
,04/08/2016,0.1,Gulabi,8250,8350,8300,
,05/08/2016,0.1,Gulabi,8250,8350,8300,
,06/08/2016,0.1,Gulabi,8250,8350,8300,
,07/08/2016,0.1,Gulabi,8250,8350,8300,
,08/08/2016,0.1,Gulabi,8250,8350,8300,
,09/08/2016,0.1,Gulabi,8250,8350,8300,
,10/08/2016,0.1,Gulabi,8250,8350,8300,
,11/08/2016,0.1,Gulabi,8250,8350,8300,
,12/08/2016,0.1,Gulabi,8250,8350,8300,
,13/08/2016,0.1,Gulabi,8250,8350,8300,
,14/08/2016,0.1,Gulabi,8250,8350,8300,
,15/08/2016,0.1,Gulabi,8250,8350,8300,
,16/08/2016,0.1,Gulabi,7950,8050,8000,
,17/08/2016,0.1,Gulabi,7950,8050,8000,
,18/08/2016,0.1,Gulabi,7950,8050,8000,
,19/08/2016,0.1,Gulabi,7100,7200,7150,
,20/08/2016,0.1,Gulabi,7100,7200,7150,
,21/08/2016,0.1,Gulabi,7100,7200,7150,
,22/08/2016,0.1,Gulabi,7100,7200,7150,
,23/08/2016,0.1,Gulabi,7100,7200,7150,
,24/08/2016,0.1,Gulabi,7100,7200,7150,
