Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Addanki,08/11/2017,20.8,Other,4500,4600,4550,
,16/11/2017,45,Other,4750,4800,4780,
,17/11/2017,10,Other,4800,4900,4850,
,28/11/2017,11,Other,4400,4500,4450,
,30/11/2017,19.9,Other,4300,4320,4300,
Chilakaluripet,01/11/2017,0.1,Gulabi,6600,7000,6800,
,02/11/2017,0.1,Gulabi,6500,7000,6800,
,03/11/2017,0.1,Gulabi,6400,6800,6600,
,04/11/2017,0.1,Gulabi,6600,7000,6800,
,05/11/2017,0.1,Gulabi,6500,7000,6800,
,06/11/2017,0.1,Gulabi,6600,7000,6800,
,07/11/2017,0.1,Gulabi,6500,6900,6700,
,08/11/2017,0.1,Gulabi,6600,7000,6800,
,09/11/2017,0.1,Gulabi,6600,7000,6800,
,10/11/2017,0.1,Gulabi,6600,7000,6800,
,11/11/2017,0.1,Gulabi,6600,7000,6800,
,12/11/2017,0.1,Gulabi,6600,7000,6800,
,13/11/2017,0.1,Gulabi,6600,7000,6800,
,14/11/2017,0.1,Gulabi,6600,7000,6800,
,15/11/2017,0.1,Gulabi,6600,7000,6800,
,16/11/2017,0.1,Gulabi,6600,7000,6800,
,17/11/2017,0.1,Gulabi,6600,7000,6800,
,18/11/2017,0.1,Gulabi,6600,7000,6800,
,19/11/2017,0.1,Gulabi,6600,7000,6800,
,20/11/2017,0.1,Gulabi,6600,7000,6800,
Kandukur,01/11/2017,0.1,Gulabi,5150,5250,5200,
,02/11/2017,0.1,Gulabi,5150,5250,5200,
,03/11/2017,0.1,Gulabi,5150,5250,5200,
,04/11/2017,0.1,Gulabi,5150,5250,5200,
,05/11/2017,0.1,Gulabi,4700,4850,4800,
,06/11/2017,0.1,Gulabi,4700,4850,4800,
,07/11/2017,0.1,Gulabi,4750,4850,4800,
,08/11/2017,0.1,Gulabi,4750,4850,4800,
,09/11/2017,0.1,Gulabi,4750,4850,4800,
,10/11/2017,0.1,Gulabi,4750,4850,4800,
,11/11/2017,0.1,Gulabi,4650,4750,4700,
,12/11/2017,0.1,Gulabi,4650,4750,4700,
,13/11/2017,0.1,Gulabi,4650,4750,4700,
,14/11/2017,0.1,Gulabi,4650,4750,4700,
,15/11/2017,0.1,Gulabi,4650,4750,4700,
,16/11/2017,0.1,Gulabi,4650,4750,4700,
,17/11/2017,0.1,Gulabi,4650,4750,4700,
,18/11/2017,0.1,Gulabi,4650,4750,4700,
,19/11/2017,0.1,Gulabi,4750,4850,4800,
,20/11/2017,0.1,Gulabi,4750,4850,4800,
,23/11/2017,0.1,Gulabi,4750,4850,4800,
,24/11/2017,0.1,Gulabi,4750,4850,4800,
,25/11/2017,0.1,Gulabi,4750,4850,4800,
,26/11/2017,0.1,Gulabi,4750,4850,4800,
,27/11/2017,0.1,Gulabi,4750,4850,4800,
,28/11/2017,0.1,Gulabi,4750,4850,4800,
,29/11/2017,0.1,Gulabi,4750,4850,4800,
,30/11/2017,0.1,Gulabi,4750,4850,4800,
Kondapi,01/11/2017,0.1,Gulabi,5200,5300,5250,
,02/11/2017,0.1,Gulabi,5200,5300,5250,
,03/11/2017,0.1,Gulabi,5200,5300,5250,
,04/11/2017,0.1,Gulabi,5200,5300,5250,
,05/11/2017,0.1,Gulabi,4700,4900,4850,
,06/11/2017,0.1,Gulabi,4700,4900,4850,
,07/11/2017,0.1,Gulabi,4700,4900,4850,
,08/11/2017,0.1,Gulabi,4700,4900,4850,
,09/11/2017,0.1,Gulabi,4700,4900,4850,
,10/11/2017,0.1,Gulabi,4700,4900,4850,
,11/11/2017,0.1,Gulabi,4700,4900,4850,
,12/11/2017,0.1,Gulabi,4700,4900,4850,
,13/11/2017,0.1,Gulabi,4700,4900,4850,
,14/11/2017,0.1,Gulabi,4700,4900,4850,
,15/11/2017,0.1,Gulabi,4700,4900,4850,
,16/11/2017,0.1,Gulabi,4700,4800,4750,
,17/11/2017,0.1,Gulabi,4700,4800,4750,
,18/11/2017,0.1,Gulabi,4700,4800,4750,
,19/11/2017,0.1,Gulabi,4700,4800,4750,
,20/11/2017,0.1,Gulabi,4850,5000,4900,
,21/11/2017,0.1,Gulabi,4850,5000,4900,
,22/11/2017,0.1,Gulabi,4850,5000,4900,
,23/11/2017,0.1,Gulabi,4850,5000,4900,
,24/11/2017,0.1,Gulabi,4850,5000,4900,
,25/11/2017,0.1,Gulabi,4850,5000,4900,
,26/11/2017,0.1,Gulabi,4850,5000,4900,
,27/11/2017,0.1,Gulabi,4850,5000,4900,
,28/11/2017,0.1,Gulabi,4850,5000,4900,
,29/11/2017,0.1,Gulabi,4850,5000,4900,
,30/11/2017,0.1,Gulabi,4850,5000,4900,
Kurnool,01/11/2017,0.6,Desi (Whole),3369,3600,3369,
,03/11/2017,1.4,Desi (Whole),4100,4200,4200,
,06/11/2017,0.1,Desi (Whole),3623,3623,3623,
,11/11/2017,0.1,Desi (Whole),3200,3200,3200,
,14/11/2017,0.1,Desi (Whole),3102,3102,3102,
,16/11/2017,0.7,Desi (Whole),3001,3350,3350,
,17/11/2017,0.1,Desi (Whole),3400,3400,3400,
,29/11/2017,0.1,Desi (Whole),3800,3800,3800,
Maddipadu,01/11/2017,0.1,Gulabi,5280,5350,5320,
,02/11/2017,0.1,Gulabi,5280,5350,5300,
,03/11/2017,0.1,Gulabi,4900,5100,5000,
,04/11/2017,0.1,Gulabi,4850,5000,4900,
,05/11/2017,0.1,Gulabi,4700,4900,4800,
,06/11/2017,0.1,Gulabi,4650,4800,4700,
,07/11/2017,0.1,Gulabi,4650,4750,4700,
,08/11/2017,0.1,Gulabi,4650,4750,4700,
,09/11/2017,0.1,Gulabi,4900,5000,4950,
,10/11/2017,0.2,Gulabi,4900,5000,4950,
,11/11/2017,0.1,Gulabi,4800,4900,4850,
,12/11/2017,0.1,Gulabi,4800,4900,4850,
,13/11/2017,0.1,Gulabi,4750,4850,4800,
,14/11/2017,0.1,Gulabi,4750,4850,4800,
,15/11/2017,0.1,Gulabi,4750,4850,4800,
,16/11/2017,0.1,Gulabi,4750,4830,4800,
,17/11/2017,0.1,Gulabi,4750,4830,4800,
,18/11/2017,0.1,Gulabi,4730,4800,4750,
,21/11/2017,0.1,Gulabi,4800,4900,4850,
,23/11/2017,0.1,Gulabi,4750,4900,4850,
,24/11/2017,0.1,Gulabi,4750,4900,4850,
,25/11/2017,0.1,Gulabi,4720,4800,4750,
,26/11/2017,0.1,Gulabi,4760,4850,4800,
,27/11/2017,0.1,Gulabi,4760,4850,4800,
