Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Annigeri,22/04/2016,18,Jawari/Local,4800,5000,4900,
Arasikere,07/04/2016,3,Average (Whole),5151,5151,5151,
,11/04/2016,31,Average (Whole),5459,5545,5459,
,13/04/2016,6,Average (Whole),5800,5850,5800,
,21/04/2016,10,Average (Whole),6260,6260,6260,
,25/04/2016,8,Average (Whole),6275,6275,6275,
,26/04/2016,15,Average (Whole),5005,5491,5005,
Badami,07/04/2016,17,Average (Whole),4700,4700,4700,
Bagalakot,01/04/2016,3,Average (Whole),4185,4856,4736,
,04/04/2016,8,Average (Whole),4000,5101,4510,
,05/04/2016,6,Average (Whole),4806,5128,4949,
,06/04/2016,3,Average (Whole),4651,5140,5065,
,08/04/2016,7,Average (Whole),4301,5211,5166,
,09/04/2016,1,Average (Whole),4851,5156,5117,
,11/04/2016,4,Average (Whole),5112,5112,5112,
,12/04/2016,1,Average (Whole),4501,4501,4501,
,13/04/2016,3,Average (Whole),4011,5001,4873,
,15/04/2016,4,Average (Whole),4301,5266,5147,
,16/04/2016,1,Average (Whole),5011,5111,5029,
,18/04/2016,4,Average (Whole),5101,5700,5499,
,21/04/2016,2,Average (Whole),5213,5406,5270,
,27/04/2016,1,Average (Whole),4311,5211,4543,
,28/04/2016,1,Average (Whole),4813,5051,5031,
Bangalore,01/04/2016,44, ,NR,NR,NR,
,02/04/2016,62, ,NR,NR,NR,
,04/04/2016,100, ,NR,NR,NR,
,05/04/2016,39, ,NR,NR,NR,
,06/04/2016,41, ,NR,NR,NR,
,07/04/2016,40, ,NR,NR,NR,
,11/04/2016,82, ,NR,NR,NR,
,12/04/2016,31, ,NR,NR,NR,
,13/04/2016,26, ,NR,NR,NR,
,15/04/2016,95, ,NR,NR,NR,
,16/04/2016,92, ,NR,NR,NR,
,18/04/2016,49, ,NR,NR,NR,
,21/04/2016,7, ,NR,NR,NR,
,22/04/2016,16, ,NR,NR,NR,
,23/04/2016,12, ,NR,NR,NR,
,25/04/2016,18, ,NR,NR,NR,
,26/04/2016,42, ,NR,NR,NR,
,27/04/2016,21, ,NR,NR,NR,
,28/04/2016,18, ,NR,NR,NR,
,29/04/2016,8, ,NR,NR,NR,
,30/04/2016,9, ,NR,NR,NR,
Bangarpet,02/04/2016,30,Average (Whole),5200,5850,5600,
,06/04/2016,8,Average (Whole),5300,5850,5600,
,08/04/2016,34,Average (Whole),5300,5850,5620,
,14/04/2016,20,Average (Whole),5300,5820,5620,
,28/04/2016,8,Average (Whole),5600,6500,5800,
Basava Kalayana,04/04/2016,2,Average (Whole),4400,5100,4500,
,05/04/2016,1,Average (Whole),4900,5200,5100,
,06/04/2016,1,Average (Whole),4800,5061,5000,
,09/04/2016,1,Average (Whole),4900,5300,5200,
,11/04/2016,1,Average (Whole),5000,5200,5100,
Bellary,01/04/2016,8,Average (Whole),3068,5026,4691,
,02/04/2016,3,Average (Whole),3171,5106,4815,
,04/04/2016,2,Average (Whole),3109,5199,4860,
,05/04/2016,7,Average (Whole),2728,5353,4912,
,06/04/2016,5,Average (Whole),1200,5409,4774,
,11/04/2016,6,Average (Whole),3069,5409,4774,
,12/04/2016,5,Average (Whole),2809,5371,4785,
,13/04/2016,6,Average (Whole),3269,5467,4826,
,15/04/2016,4,Average (Whole),2889,5585,4858,
,16/04/2016,4,Average (Whole),3041,6200,5157,
,18/04/2016,7,Average (Whole),3200,5578,4968,
,21/04/2016,3,Average (Whole),3268,5503,4838,
,22/04/2016,2,Average (Whole),3436,5306,4752,
,23/04/2016,2,Average (Whole),3377,5556,4792,
,25/04/2016,2,Average (Whole),3444,5456,5259,
,26/04/2016,2,Average (Whole),5101,5456,5318,
,27/04/2016,1,Average (Whole),3246,5128,4088,
,29/04/2016,1,Average (Whole),3281,5425,4581,
Bhalki,02/04/2016,8,Average (Whole),4800,5001,4910,
,04/04/2016,8,Average (Whole),5001,5205,5101,
,11/04/2016,8,Average (Whole),5000,5150,5101,
,12/04/2016,5,Average (Whole),5000,5175,5101,
,13/04/2016,8,Average (Whole),5001,5210,5150,
,16/04/2016,9,Average (Whole),4900,5601,5505,
,25/04/2016,8,Average (Whole),5280,5450,5405,
,26/04/2016,8,Average (Whole),5000,5350,5301,
,27/04/2016,6,Average (Whole),5025,5360,5300,
,28/04/2016,7,Average (Whole),5250,5351,5301,
Bidar,01/04/2016,96,Average (Whole),4580,4952,4889,
,02/04/2016,78,Average (Whole),4409,5100,4965,
,04/04/2016,35,Average (Whole),4520,5242,4990,
,05/04/2016,63,Average (Whole),4520,5262,5152,
,06/04/2016,54,Average (Whole),4001,5212,5139,
,,,Other,8259,8259,8259,
,11/04/2016,72,Average (Whole),4203,5293,5100,
,12/04/2016,87,Average (Whole),4515,5291,5118,
,13/04/2016,78,Average (Whole),4405,5292,5101,
,16/04/2016,67,Average (Whole),5105,5691,5541,
,18/04/2016,46,Average (Whole),4410,5906,5811,
,21/04/2016,57,Average (Whole),4550,5506,5306,
,23/04/2016,41,Average (Whole),4444,5725,5548,
,25/04/2016,23,Average (Whole),4950,5528,5472,
,26/04/2016,29,Average (Whole),4001,5551,5440,
,27/04/2016,14,Average (Whole),4205,5505,5228,
,28/04/2016,17,Average (Whole),4005,5600,5256,
,29/04/2016,7,Average (Whole),4950,5500,5239,
,30/04/2016,22,Average (Whole),4900,5511,5469,
Bijapur,01/04/2016,39,Average (Whole),4400,4600,4550,
,02/04/2016,75,Average (Whole),4000,4500,4400,
,04/04/2016,29,Average (Whole),4000,4500,4400,
,05/04/2016,21,Average (Whole),4400,4600,4500,
,06/04/2016,17,Average (Whole),4500,4600,4550,
,07/04/2016,20,Average (Whole),4500,4600,4550,
