Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Arasikere,24/08/2016,3,Average (Whole),8900,8900,8900,
,26/08/2016,7,Other,8351,8351,8351,
Athani,11/08/2016,1,Average (Whole),5500,5500,5500,
Bagalakot,03/08/2016,1,Average (Whole),5200,7001,5907,
Bangalore,01/08/2016,40, ,NR,NR,NR,
,02/08/2016,9, ,NR,NR,NR,
,03/08/2016,3, ,NR,NR,NR,
,04/08/2016,25, ,NR,NR,NR,
,05/08/2016,6, ,NR,NR,NR,
,06/08/2016,3, ,NR,NR,NR,
,08/08/2016,36, ,NR,NR,NR,
,09/08/2016,25, ,NR,NR,NR,
,10/08/2016,42, ,NR,NR,NR,
,11/08/2016,2, ,NR,NR,NR,
,12/08/2016,38, ,NR,NR,NR,
,16/08/2016,100, ,NR,NR,NR,
,17/08/2016,7, ,NR,NR,NR,
,18/08/2016,13, ,NR,NR,NR,
,19/08/2016,25, ,NR,NR,NR,
,20/08/2016,20, ,NR,NR,NR,
,22/08/2016,67, ,NR,NR,NR,
,23/08/2016,26, ,NR,NR,NR,
,24/08/2016,28, ,NR,NR,NR,
,25/08/2016,2, ,NR,NR,NR,
,26/08/2016,10, ,NR,NR,NR,
,27/08/2016,35, ,NR,NR,NR,
,29/08/2016,44, ,NR,NR,NR,
,30/08/2016,19, ,NR,NR,NR,
,31/08/2016,18, ,NR,NR,NR,
Bangarpet,01/08/2016,9,Average (Whole),8600,9300,8800,
,09/08/2016,9,Average (Whole),8600,9200,8800,
,27/08/2016,8,Average (Whole),7600,9000,8000,
Basava Kalayana,16/08/2016,1,Average (Whole),5600,7200,7150,
,23/08/2016,1,Average (Whole),5900,6800,6700,
Bellary,05/08/2016,1,Average (Whole),3441,7445,5666,
Bhadravathi,29/08/2016,2,Average (Whole),9150,12000,10150,
Bhalki,03/08/2016,2,Average (Whole),6900,7100,7000,
,04/08/2016,2,Average (Whole),7000,7200,7101,
,05/08/2016,2,Average (Whole),7010,7550,7300,
,06/08/2016,2,Average (Whole),6005,6500,6200,
,09/08/2016,3,Average (Whole),6010,7001,6500,
,10/08/2016,2,Average (Whole),6000,6700,6200,
,12/08/2016,1,Average (Whole),6800,7001,6905,
,13/08/2016,2,Average (Whole),6500,6800,6700,
,17/08/2016,2,Average (Whole),6500,7381,7000,
,23/08/2016,1,Average (Whole),5000,5701,5505,
,24/08/2016,2,Average (Whole),5001,6500,6000,
,26/08/2016,3,Average (Whole),6500,6800,6700,
,27/08/2016,3,Average (Whole),6000,6500,6300,
