Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Arasikere,14/07/2016,10,Average (Whole),8900,8900,8900,
,19/07/2016,10,Average (Whole),10650,10650,10650,
,22/07/2016,10,Average (Whole),10650,10650,10650,
,26/07/2016,15,Average (Whole),6175,6175,6175,
Athani,31/07/2016,10,Average (Whole),6200,6200,6200,
Bagalakot,05/07/2016,2,Average (Whole),7309,7309,7309,
,09/07/2016,3,Average (Whole),5000,5000,5000,
,28/07/2016,1,Average (Whole),6500,7500,7250,
Bangalore,01/07/2016,26, ,NR,NR,NR,
,02/07/2016,55, ,NR,NR,NR,
,04/07/2016,20, ,NR,NR,NR,
,05/07/2016,41, ,NR,NR,NR,
,06/07/2016,8, ,NR,NR,NR,
,08/07/2016,26, ,NR,NR,NR,
,11/07/2016,44, ,NR,NR,NR,
,12/07/2016,32, ,NR,NR,NR,
,13/07/2016,27, ,NR,NR,NR,
,14/07/2016,56, ,NR,NR,NR,
,15/07/2016,24, ,NR,NR,NR,
,16/07/2016,50, ,NR,NR,NR,
,18/07/2016,119, ,NR,NR,NR,
,19/07/2016,15, ,NR,NR,NR,
,20/07/2016,12, ,NR,NR,NR,
,21/07/2016,20, ,NR,NR,NR,
,22/07/2016,3, ,NR,NR,NR,
,23/07/2016,23, ,NR,NR,NR,
,25/07/2016,26, ,NR,NR,NR,
,26/07/2016,2, ,NR,NR,NR,
,27/07/2016,115,Average (Whole),9600,11200,10400,
,28/07/2016,12, ,NR,NR,NR,
,29/07/2016,14, ,NR,NR,NR,
,30/07/2016,4, ,NR,NR,NR,
Bangarpet,04/07/2016,10,Average (Whole),7000,8000,7800,
,11/07/2016,3,Average (Whole),8600,9200,8800,
,21/07/2016,8,Average (Whole),8600,9300,8800,
Basava Kalayana,11/07/2016,1,Average (Whole),6001,8101,7500,
,18/07/2016,1,Average (Whole),5900,7000,6950,
,21/07/2016,1,Average (Whole),5500,8100,8000,
,22/07/2016,1,Average (Whole),6600,8002,7600,
,23/07/2016,1,Average (Whole),7600,8251,8150,
,25/07/2016,1,Average (Whole),8000,8140,8050,
,28/07/2016,1,Average (Whole),6500,7981,7650,
,30/07/2016,1,Average (Whole),7200,8100,7601,
Bellary,06/07/2016,1,Average (Whole),6669,7550,7184,
,12/07/2016,1,Average (Whole),3229,7220,6314,
,19/07/2016,1,Average (Whole),3429,3429,3429,
,21/07/2016,1,Average (Whole),3156,7600,4723,
Bhadravathi,29/07/2016,7,Average (Whole),7500,11000,8200,
Bhalki,01/07/2016,2,Average (Whole),5710,6405,6301,
,05/07/2016,3,Average (Whole),6000,6700,6500,
,08/07/2016,3,Average (Whole),7705,7802,7750,
,09/07/2016,3,Average (Whole),7500,8002,7805,
,13/07/2016,4,Average (Whole),8000,8200,8100,
,14/07/2016,2,Average (Whole),7900,8150,8100,
,15/07/2016,1,Average (Whole),8100,8200,8150,
,18/07/2016,1,Average (Whole),7900,8100,8000,
,21/07/2016,2,Average (Whole),7900,8000,7950,
,23/07/2016,2,Average (Whole),7950,8150,8010,
,25/07/2016,2,Average (Whole),8100,8200,8150,
,26/07/2016,2,Average (Whole),8000,8200,8100,
,28/07/2016,2,Average (Whole),7500,8180,7900,
,29/07/2016,3,Average (Whole),7800,8200,8000,
Bidar,01/07/2016,11,Average (Whole),6301,7666,7351,
,02/07/2016,13,Average (Whole),6201,7386,7152,
,05/07/2016,4,Average (Whole),5055,7325,6936,
,06/07/2016,3,Average (Whole),5805,7400,6953,
,09/07/2016,9,Average (Whole),6250,8282,7944,
,11/07/2016,26,Average (Whole),7009,8751,8507,
,12/07/2016,22,Average (Whole),6311,8876,8533,
,13/07/2016,17,Average (Whole),6541,8781,8451,
,14/07/2016,11,Average (Whole),7012,8549,8316,
,15/07/2016,20,Average (Whole),7008,8748,8280,
,16/07/2016,12,Average (Whole),7065,8500,8021,
,18/07/2016,12,Average (Whole),6606,8309,8123,
,19/07/2016,3,Average (Whole),7025,8643,7887,
,21/07/2016,5,Average (Whole),7021,8311,7971,
,22/07/2016,7,Average (Whole),6412,8511,7556,
,23/07/2016,10,Average (Whole),6601,8388,8083,
