Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Arasikere,21/10/2016,12,Average (Whole),11000,11800,11000,
,22/10/2016,12,Average (Whole),11000,11800,11000,
Badami,13/10/2016,20,Average (Whole),9350,9350,9350,
,14/10/2016,39,Average (Whole),9350,9350,9350,
,19/10/2016,12,Average (Whole),9250,9250,9250,
Bangalore,01/10/2016,55, ,NR,NR,NR,
,03/10/2016,9, ,NR,NR,NR,
,04/10/2016,22, ,NR,NR,NR,
,05/10/2016,38, ,NR,NR,NR,
,06/10/2016,28, ,NR,NR,NR,
,07/10/2016,44, ,NR,NR,NR,
,13/10/2016,153, ,NR,NR,NR,
,14/10/2016,13, ,NR,NR,NR,
,17/10/2016,10, ,NR,NR,NR,
,18/10/2016,12, ,NR,NR,NR,
,19/10/2016,2, ,NR,NR,NR,
,20/10/2016,11, ,NR,NR,NR,
,21/10/2016,41, ,NR,NR,NR,
,22/10/2016,21, ,NR,NR,NR,
,24/10/2016,42, ,NR,NR,NR,
,25/10/2016,14, ,NR,NR,NR,
,26/10/2016,30,Average (Whole),10000,11000,10500,
,27/10/2016,18, ,NR,NR,NR,
,28/10/2016,18, ,NR,NR,NR,
Bangarpet,01/10/2016,17,Average (Whole),7500,9500,8500,
,03/10/2016,4,Average (Whole),7500,9500,8500,
Basava Kalayana,06/10/2016,1,Average (Whole),9300,9651,9300,
,07/10/2016,1,Average (Whole),9010,9500,9300,
,17/10/2016,1,Average (Whole),7900,9400,9000,
,18/10/2016,1,Average (Whole),7500,9300,9000,
,22/10/2016,1,Average (Whole),7000,9500,9101,
,24/10/2016,1,Average (Whole),6200,9092,8800,
,25/10/2016,1,Average (Whole),5901,9051,8500,
,31/10/2016,1,Average (Whole),8000,9000,8801,
Bellary,04/10/2016,1,Average (Whole),8240,8890,8571,
,21/10/2016,1,Average (Whole),2865,2865,2865,
Bidar,01/10/2016,2,Average (Whole),6365,8165,7582,
,03/10/2016,5,Average (Whole),7321,8239,8026,
,04/10/2016,2,Average (Whole),7777,8131,7836,
,05/10/2016,3,Average (Whole),6812,8611,8030,
,06/10/2016,1,Average (Whole),7105,8409,7556,
,07/10/2016,4,Average (Whole),6350,8809,7914,
,13/10/2016,4,Average (Whole),7805,9025,8830,
,14/10/2016,5,Average (Whole),6502,8800,7971,
,17/10/2016,2,Average (Whole),8351,8708,8584,
,18/10/2016,3,Average (Whole),7005,9038,8730,
,19/10/2016,3,Average (Whole),6825,9411,8470,
,20/10/2016,5,Average (Whole),7225,9551,9291,
,21/10/2016,5,Average (Whole),7221,9622,9091,
,22/10/2016,2,Average (Whole),7005,9425,8783,
,24/10/2016,3,Average (Whole),6802,9000,8621,
,25/10/2016,3,Average (Whole),7505,8863,8753,
Bijapur,01/10/2016,2,Average (Whole),5000,5200,5100,
,03/10/2016,3,Average (Whole),5000,5500,5200,
,13/10/2016,42,Average (Whole),5000,5500,5200,
,14/10/2016,2,Average (Whole),5000,5500,5200,
,17/10/2016,18,Average (Whole),5000,5500,5250,
