Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Arasikere,03/05/2017,150,Average (Whole),6108,6108,6108,
,08/05/2017,3,Other,6750,6750,6750,
,11/05/2017,32,Average (Whole),6945,6945,6945,
,25/05/2017,7,Average (Whole),6600,6850,6600,
,,,Other,6150,6150,6150,
,31/05/2017,28,Average (Whole),6255,6255,6255,
Bagalakot,03/05/2017,17,Average (Whole),4011,6389,6140,
,06/05/2017,3,Average (Whole),4011,6051,5471,
,11/05/2017,4,Average (Whole),5189,6011,5459,
,13/05/2017,2,Average (Whole),5559,5805,5715,
,15/05/2017,1,Average (Whole),5011,6009,5562,
,16/05/2017,2,Average (Whole),5001,5711,5459,
,18/05/2017,1,Average (Whole),5001,5781,5456,
,22/05/2017,1,Average (Whole),5111,5600,5478,
,24/05/2017,4,Average (Whole),5011,5525,5399,
,27/05/2017,1,Average (Whole),5211,5311,5244,
,31/05/2017,3,Average (Whole),5011,5111,5061,
Bangalore,02/05/2017,53, ,NR,NR,NR,
,03/05/2017,1, ,NR,NR,NR,
,04/05/2017,11,Average (Whole),6800,7500,7000,
,05/05/2017,8, ,NR,NR,NR,
,06/05/2017,12, ,NR,NR,NR,
,08/05/2017,40, ,NR,NR,NR,
,09/05/2017,13, ,NR,NR,NR,
,10/05/2017,13, ,NR,NR,NR,
,11/05/2017,2, ,NR,NR,NR,
,12/05/2017,61, ,NR,NR,NR,
,15/05/2017,117, ,NR,NR,NR,
,16/05/2017,17, ,NR,NR,NR,
,17/05/2017,40, ,NR,NR,NR,
,18/05/2017,67, ,NR,NR,NR,
,19/05/2017,74, ,NR,NR,NR,
,20/05/2017,40, ,NR,NR,NR,
,22/05/2017,16, ,NR,NR,NR,
,23/05/2017,41, ,NR,NR,NR,
,24/05/2017,17, ,NR,NR,NR,
,25/05/2017,16, ,NR,NR,NR,
,26/05/2017,24, ,NR,NR,NR,
,27/05/2017,13, ,NR,NR,NR,
,29/05/2017,43, ,NR,NR,NR,
,30/05/2017,21, ,NR,NR,NR,
,31/05/2017,8, ,NR,NR,NR,
Bangarpet,15/05/2017,8,Average (Whole),6800,7500,7100,
,27/05/2017,5,Average (Whole),6800,7740,7200,
Basava Kalayana,02/05/2017,5,Average (Whole),5500,5800,5600,
,03/05/2017,4,Average (Whole),4550,5800,5700,
,04/05/2017,1,Average (Whole),5250,5800,5600,
,05/05/2017,2,Average (Whole),5200,5600,5500,
,06/05/2017,3,Average (Whole),5100,5550,5400,
,09/05/2017,2,Average (Whole),4250,5200,5100,
,11/05/2017,3,Average (Whole),4900,5301,5200,
,12/05/2017,2,Average (Whole),4900,5501,5300,
,13/05/2017,2,Average (Whole),4500,5800,5700,
,15/05/2017,3,Average (Whole),4600,5900,5600,
,16/05/2017,2,Average (Whole),5450,5820,5600,
,17/05/2017,2,Average (Whole),5400,5801,5700,
,18/05/2017,2,Average (Whole),5200,5751,5550,
,19/05/2017,1,Average (Whole),5350,5500,5400,
,20/05/2017,2,Average (Whole),4550,5500,5300,
,22/05/2017,1,Average (Whole),5200,5450,5350,
,23/05/2017,1,Average (Whole),5200,5450,5300,
,24/05/2017,1,Average (Whole),5400,5590,5550,
,26/05/2017,1,Average (Whole),5200,5550,5450,
,27/05/2017,1,Average (Whole),4900,5300,5250,
,29/05/2017,3,Average (Whole),4250,5050,5000,
,30/05/2017,2,Average (Whole),4500,5100,4950,
,31/05/2017,1,Average (Whole),4600,4980,4700,
Bellary,02/05/2017,6,Average (Whole),3030,6262,4929,
,03/05/2017,3,Average (Whole),1969,6205,4938,
,04/05/2017,3,Average (Whole),2788,6012,5292,
,05/05/2017,4,Average (Whole),2926,6051,5257,
,06/05/2017,1,Average (Whole),3000,6010,3911,
,08/05/2017,2,Average (Whole),4800,6006,5469,
,09/05/2017,1,Average (Whole),3209,5950,5344,
,10/05/2017,2,Average (Whole),3703,5903,5522,
,11/05/2017,2,Average (Whole),2829,6209,5298,
,12/05/2017,2,Average (Whole),3333,6289,5672,
,15/05/2017,2,Average (Whole),5050,6416,5975,
,16/05/2017,1,Average (Whole),3636,6461,5711,
,18/05/2017,1,Average (Whole),3809,6459,5602,
,19/05/2017,3,Average (Whole),2186,6437,5482,
,20/05/2017,1,Average (Whole),3269,5206,4187,
,22/05/2017,1,Average (Whole),3333,5702,5037,
