Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Bara Bazar (Posta Bazar),03/02/2016,40.5, ,NR,NR,NR,
Chakdah,01/02/2016,4, ,NR,NR,NR,
,02/02/2016,5, ,NR,NR,NR,
,03/02/2016,6, ,NR,NR,NR,
,04/02/2016,4.5, ,NR,NR,NR,
,05/02/2016,5.5, ,NR,NR,NR,
,06/02/2016,5, ,NR,NR,NR,
,07/02/2016,6, ,NR,NR,NR,
,08/02/2016,4.5, ,NR,NR,NR,
,09/02/2016,5, ,NR,NR,NR,
,10/02/2016,5.5, ,NR,NR,NR,
,11/02/2016,5, ,NR,NR,NR,
,12/02/2016,5.5, ,NR,NR,NR,
,13/02/2016,6, ,NR,NR,NR,
,15/02/2016,4.5, ,NR,NR,NR,
,16/02/2016,5, ,NR,NR,NR,
,17/02/2016,5.5, ,NR,NR,NR,
,18/02/2016,4, ,NR,NR,NR,
,19/02/2016,3.5, ,NR,NR,NR,
,20/02/2016,3, ,NR,NR,NR,
,21/02/2016,3.5, ,NR,NR,NR,
,22/02/2016,3, ,NR,NR,NR,
,23/02/2016,4.5, ,NR,NR,NR,
,24/02/2016,4, ,NR,NR,NR,
,25/02/2016,3.5, ,NR,NR,NR,
,26/02/2016,3, ,NR,NR,NR,
,27/02/2016,3, ,NR,NR,NR,
,28/02/2016,3.5, ,NR,NR,NR,
,29/02/2016,3, ,NR,NR,NR,
Medinipur(West),01/02/2016,8,Bengal Gram Dal,7000,7200,7200,
,02/02/2016,8,Bengal Gram Dal,7000,7200,7200,
,03/02/2016,8,Bengal Gram Dal,7000,7200,7200,
,04/02/2016,6,Bengal Gram Dal,7000,7200,7200,
,05/02/2016,8,Bengal Gram Dal,7000,7200,7200,
,08/02/2016,8,Bengal Gram Dal,6500,7000,7000,
,09/02/2016,8,Bengal Gram Dal,6800,7000,7000,
,10/02/2016,8,Bengal Gram Dal,6500,7000,7000,
,11/02/2016,7,Bengal Gram Dal,6500,7000,7000,
,12/02/2016,8, ,NR,NR,NR,
,15/02/2016,8, ,NR,NR,NR,
,17/02/2016,8,Bengal Gram Dal,6800,7000,6900,
,18/02/2016,7,Bengal Gram Dal,6800,7000,6900,
,19/02/2016,8,Bengal Gram Dal,6800,7000,6900,
,22/02/2016,8,Bengal Gram Dal,6800,7000,6900,
,23/02/2016,8,Bengal Gram Dal,6800,7000,6900,
,24/02/2016,7,Bengal Gram Dal,6800,7000,6900,
,25/02/2016,6,Bengal Gram Dal,6800,7000,6900,
,26/02/2016,7,Bengal Gram Dal,6800,7000,7000,
,29/02/2016,8,Bengal Gram Dal,6800,6900,6900,
Ramkrishanpur(Howrah),01/02/2016,0.8,Other,6800,7200,7000,
,02/02/2016,1.1,Other,6800,7200,7000,
,03/02/2016,0.8,Other,6800,7200,7000,
,04/02/2016,1.3,Other,6800,7200,7000,
,05/02/2016,1.1,Other,6800,7200,7000,
,06/02/2016,1.2,Other,6800,7200,7000,
,07/02/2016,0.7,Other,6800,7200,7000,
,08/02/2016,0.9,Other,6800,7200,7000,
,09/02/2016,1,Other,6800,7200,7000,
,10/02/2016,0.8,Other,6800,7200,7000,
,11/02/2016,0.6,Other,6800,7200,7000,
,12/02/2016,1.6, ,NR,NR,NR,
,13/02/2016,2, ,NR,NR,NR,
,14/02/2016,1.5, ,NR,NR,NR,
,15/02/2016,0.7, ,NR,NR,NR,
,16/02/2016,0.8, ,NR,NR,NR,
,17/02/2016,0.7, ,NR,NR,NR,
,18/02/2016,1.2,Other,6800,7200,7000,
,19/02/2016,1.4,Other,6800,7200,7000,
,20/02/2016,1, ,NR,NR,NR,
,21/02/2016,1.1, ,NR,NR,NR,
,22/02/2016,1.1,Other,6800,7200,7000,
,23/02/2016,1.3, ,NR,NR,NR,
,24/02/2016,1.3,Other,6800,7200,7000,
,25/02/2016,0.9,Other,6800,7200,7000,
,26/02/2016,1,Other,6800,7200,7000,
,27/02/2016,1.2,Other,6800,7200,7000,
,28/02/2016,1.1,Other,6800,7200,7000,
,29/02/2016,0.9,Other,6800,7200,7000,
Siliguri,01/02/2016,12, ,NR,NR,NR,
,02/02/2016,11, ,NR,NR,NR,
,03/02/2016,12, ,NR,NR,NR,
,04/02/2016,14, ,NR,NR,NR,
,05/02/2016,12, ,NR,NR,NR,
,08/02/2016,11, ,NR,NR,NR,
,09/02/2016,10, ,NR,NR,NR,
,10/02/2016,12, ,NR,NR,NR,
,11/02/2016,11, ,NR,NR,NR,
,12/02/2016,12, ,NR,NR,NR,
,15/02/2016,14, ,NR,NR,NR,
,16/02/2016,15, ,NR,NR,NR,
,17/02/2016,16, ,NR,NR,NR,
,18/02/2016,18, ,NR,NR,NR,
,19/02/2016,16, ,NR,NR,NR,
,22/02/2016,18, ,NR,NR,NR,
,23/02/2016,19, ,NR,NR,NR,
,24/02/2016,20, ,NR,NR,NR,
,25/02/2016,22, ,NR,NR,NR,
,26/02/2016,20, ,NR,NR,NR,
,29/02/2016,22, ,NR,NR,NR,
