Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Chakdah,01/03/2016,4, ,NR,NR,NR,
,02/03/2016,3.5, ,NR,NR,NR,
,03/03/2016,4, ,NR,NR,NR,
,04/03/2016,3, ,NR,NR,NR,
,05/03/2016,3, ,NR,NR,NR,
,06/03/2016,4, ,NR,NR,NR,
,08/03/2016,4, ,NR,NR,NR,
,09/03/2016,3.5, ,NR,NR,NR,
,10/03/2016,4, ,NR,NR,NR,
,12/03/2016,4, ,NR,NR,NR,
,13/03/2016,3, ,NR,NR,NR,
,14/03/2016,3.5, ,NR,NR,NR,
,15/03/2016,4, ,NR,NR,NR,
,16/03/2016,4, ,NR,NR,NR,
,17/03/2016,3.5, ,NR,NR,NR,
,18/03/2016,4, ,NR,NR,NR,
,19/03/2016,4.5, ,NR,NR,NR,
,20/03/2016,3.5, ,NR,NR,NR,
,21/03/2016,4, ,NR,NR,NR,
,22/03/2016,3, ,NR,NR,NR,
,23/03/2016,4.5, ,NR,NR,NR,
,25/03/2016,3.5, ,NR,NR,NR,
,26/03/2016,4, ,NR,NR,NR,
,27/03/2016,4.5, ,NR,NR,NR,
,28/03/2016,3.5, ,NR,NR,NR,
,30/03/2016,4, ,NR,NR,NR,
,31/03/2016,3.5, ,NR,NR,NR,
Medinipur(West),01/03/2016,8,Bengal Gram Dal,6200,7000,6800,
,02/03/2016,8,Bengal Gram Dal,6200,7000,6800,
,03/03/2016,7,Bengal Gram Dal,6200,6900,6800,
,08/03/2016,8,Bengal Gram Dal,6200,6900,6800,
,09/03/2016,8,Bengal Gram Dal,6200,6900,6800,
,10/03/2016,8,Bengal Gram Dal,6200,6900,6800,
,11/03/2016,9,Bengal Gram Dal,6200,6800,6800,
,13/03/2016,8, ,NR,NR,NR,
,14/03/2016,8, ,NR,NR,NR,
,15/03/2016,7, ,NR,NR,NR,
,16/03/2016,8,Bengal Gram Dal,6200,6900,6800,
,17/03/2016,7,Bengal Gram Dal,6200,6900,6800,
,18/03/2016,8,Bengal Gram Dal,6200,6900,6800,
,19/03/2016,8,Bengal Gram Dal,6200,6900,6800,
,21/03/2016,7,Bengal Gram Dal,6200,6800,6800,
,22/03/2016,7,Bengal Gram Dal,6400,6600,6600,
,28/03/2016,8,Bengal Gram Dal,6400,6600,6600,
,31/03/2016,6,Bengal Gram Dal,6400,6700,6700,
Ramkrishanpur(Howrah),01/03/2016,1,Other,6800,7200,7000,
,02/03/2016,0.8,Other,6800,7200,7000,
,03/03/2016,1.2,Other,6800,7200,7000,
,04/03/2016,1,Other,6800,7200,7000,
,05/03/2016,1.1,Other,6800,7200,7000,
,06/03/2016,1,Other,6800,7200,7000,
,07/03/2016,1.4,Other,6800,7200,7000,
,08/03/2016,1.2,Other,6800,7200,7000,
,09/03/2016,0.9,Other,6800,7200,7000,
,10/03/2016,1,Other,6800,7200,7000,
,11/03/2016,1.3,Other,6800,7200,7000,
,12/03/2016,1.4,Other,6800,7200,7000,
,13/03/2016,1.2,Other,6800,7200,7000,
,14/03/2016,1,Other,6800,7200,7000,
,15/03/2016,1.3,Other,6800,7200,7000,
,16/03/2016,1.4,Other,6400,6800,6600,
,17/03/2016,1.5,Other,6400,6800,6600,
,18/03/2016,1.2,Other,6400,6800,6600,
,19/03/2016,1.4, ,NR,NR,NR,
,20/03/2016,1, ,NR,NR,NR,
,21/03/2016,0.9, ,NR,NR,NR,
,22/03/2016,1.2, ,NR,NR,NR,
,23/03/2016,0.6,Other,6400,6800,6600,
,24/03/2016,0.7,Other,6400,6800,6600,
,25/03/2016,1.2,Other,6400,6800,6600,
,28/03/2016,0.9,Other,6200,6600,6400,
,29/03/2016,1, ,NR,NR,NR,
,30/03/2016,0.8,Other,6200,6600,6400,
,31/03/2016,1.4,Other,6200,6600,6400,
Siliguri,01/03/2016,21, ,NR,NR,NR,
,02/03/2016,22, ,NR,NR,NR,
,03/03/2016,23, ,NR,NR,NR,
,04/03/2016,24, ,NR,NR,NR,
,08/03/2016,26, ,NR,NR,NR,
,09/03/2016,27, ,NR,NR,NR,
,10/03/2016,29,Other,6100,6500,6300,
,11/03/2016,30,Other,6000,6300,6200,
,14/03/2016,45,Other,6000,6300,6200,
,15/03/2016,48,Other,6000,6300,6200,
,16/03/2016,50,Other,6000,6300,6200,
,17/03/2016,55,Other,6000,6300,6200,
,18/03/2016,54,Other,6000,6300,6200,
,21/03/2016,55,Other,6000,6300,6200,
,22/03/2016,60,Other,6000,6300,6200,
,28/03/2016,55,Other,6000,6300,6200,
,29/03/2016,60, ,NR,NR,NR,
,30/03/2016,55,Other,6000,6300,6200,
,31/03/2016,60,Other,6000,6300,6200,
