Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Chakdah,01/09/2016,3.5, ,NR,NR,NR,
,02/09/2016,3, ,NR,NR,NR,
,03/09/2016,3.5, ,NR,NR,NR,
,04/09/2016,2.5, ,NR,NR,NR,
,05/09/2016,3, ,NR,NR,NR,
Medinipur(West),01/09/2016,7,Bengal Gram Dal,10300,10400,10400,
,02/09/2016,8,Bengal Gram Dal,10300,10500,10400,
,05/09/2016,8,Bengal Gram Dal,10300,10400,10400,
,06/09/2016,8,Bengal Gram Dal,10300,10500,10400,
,07/09/2016,9,Bengal Gram Dal,10300,10500,10400,
,08/09/2016,8,Bengal Gram Dal,10300,10500,10400,
,09/09/2016,10,Bengal Gram Dal,10400,10500,10500,
,12/09/2016,8, ,NR,NR,NR,
,14/09/2016,8, ,NR,NR,NR,
,15/09/2016,6,Bengal Gram Dal,10300,10500,10500,
,16/09/2016,8,Bengal Gram Dal,10300,10500,10500,
,19/09/2016,10,Bengal Gram Dal,10300,10500,10500,
,20/09/2016,8,Bengal Gram Dal,10800,11000,11000,
,22/09/2016,8,Bengal Gram Dal,10900,11000,11000,
,23/09/2016,10,Bengal Gram Dal,10800,11000,11000,
,26/09/2016,10,Bengal Gram Dal,10900,11000,11000,
,27/09/2016,8,Bengal Gram Dal,10900,11000,11000,
,29/09/2016,7,Bengal Gram Dal,10900,11000,11000,
Siliguri,01/09/2016,35, ,NR,NR,NR,
,03/09/2016,34, ,NR,NR,NR,
,05/09/2016,34, ,NR,NR,NR,
,06/09/2016,32, ,NR,NR,NR,
,08/09/2016,33, ,NR,NR,NR,
,09/09/2016,34, ,NR,NR,NR,
,10/09/2016,32, ,NR,NR,NR,
,12/09/2016,30, ,NR,NR,NR,
,13/09/2016,31, ,NR,NR,NR,
,14/09/2016,30, ,NR,NR,NR,
,15/09/2016,30, ,NR,NR,NR,
,16/09/2016,35, ,NR,NR,NR,
,17/09/2016,30, ,NR,NR,NR,
,19/09/2016,32, ,NR,NR,NR,
,20/09/2016,30, ,NR,NR,NR,
,22/09/2016,35, ,NR,NR,NR,
,26/09/2016,31, ,NR,NR,NR,
,28/09/2016,31, ,NR,NR,NR,
,29/09/2016,29, ,NR,NR,NR,
