Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Medinipur(West),01/11/2017,12,Average (Whole),6400,6600,6500,
,02/11/2017,10,Average (Whole),6400,6600,6500,
,03/11/2017,10,Average (Whole),6400,6600,6500,
,04/11/2017,12,Average (Whole),6400,6600,6500,
,06/11/2017,10,Average (Whole),6400,6600,6500,
,07/11/2017,12,Average (Whole),6400,6600,6500,
,08/11/2017,10,Average (Whole),6400,6600,6500,
,09/11/2017,12,Average (Whole),6400,6600,6500,
,10/11/2017,10,Average (Whole),6400,6600,6500,
,11/11/2017,10,Average (Whole),6400,6600,6500,
,13/11/2017,12,Average (Whole),6400,6600,6500,
,14/11/2017,14,Average (Whole),6400,6600,6500,
,15/11/2017,12,Average (Whole),6400,6600,6500,
,16/11/2017,10,Average (Whole),6400,6600,6500,
,17/11/2017,12,Average (Whole),6400,6600,6500,
,18/11/2017,16,Average (Whole),6400,6600,6500,
,20/11/2017,12,Average (Whole),6400,6600,6500,
,21/11/2017,14,Average (Whole),6400,6600,6500,
,22/11/2017,10,Average (Whole),6400,6600,6500,
,23/11/2017,12,Average (Whole),6400,6600,6500,
,24/11/2017,10,Average (Whole),6400,6600,6500,
,25/11/2017,12,Average (Whole),6400,6600,6500,
,27/11/2017,10,Average (Whole),6900,7100,7000,
,28/11/2017,12,Average (Whole),6900,7100,7000,
,29/11/2017,14,Average (Whole),6900,7100,7000,
,30/11/2017,12,Average (Whole),6900,7100,7000,
Siliguri,01/11/2017,22,Other,7600,8000,7800,
,02/11/2017,24,Other,7600,8000,7800,
,03/11/2017,25,Other,7600,8000,7800,
,04/11/2017,23,Other,7600,8000,7800,
,06/11/2017,25,Other,7600,8000,7800,
,07/11/2017,26,Other,7600,8000,7800,
,08/11/2017,25,Other,7600,8000,7800,
,09/11/2017,23,Other,7600,8000,7800,
,10/11/2017,22,Other,7600,8000,7800,
,11/11/2017,23,Other,7600,8000,7800,
,13/11/2017,25,Other,7600,8000,7800,
,14/11/2017,26,Other,7600,8000,7800,
,15/11/2017,25,Other,7600,8000,7800,
,16/11/2017,23,Other,7600,8000,7800,
,17/11/2017,24,Other,7600,8000,7800,
,18/11/2017,23,Other,7600,8000,7800,
,20/11/2017,22,Other,7600,8000,7800,
,21/11/2017,23,Other,7400,7800,7600,
,22/11/2017,22,Other,7400,7800,7600,
,23/11/2017,21,Other,7400,7800,7600,
,24/11/2017,20,Other,7400,7800,7600,
,25/11/2017,19,Other,7400,7800,7600,
,27/11/2017,20,Other,7400,7800,7600,
,28/11/2017,21,Other,7400,7800,7600,
,29/11/2017,22,Other,7400,7800,7600,
,30/11/2017,21,Other,7400,7800,7600,
