Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Abohar,02/05/2016,1, ,NR,NR,NR,
,03/05/2016,0.8,Cauliflower,1000,2100,1550,
,04/05/2016,0.3,Cauliflower,1000,1950,1700,
,05/05/2016,1,Cauliflower,1750,2000,1900,
,09/05/2016,1,Cauliflower,1500,1900,1700,
,11/05/2016,1,Cauliflower,1750,2100,1950,
Adampur,02/05/2016,1.4,Other,1200,1500,1500,
,03/05/2016,1.6,Other,1000,1500,1500,
,04/05/2016,1.7,Other,1000,1500,1500,
,05/05/2016,1.3,Other,1000,1500,1500,
,06/05/2016,1.6,Other,1000,1200,1000,
,07/05/2016,1.3,Other,1000,1200,1200,
,09/05/2016,1.6,Other,1000,1500,1000,
,10/05/2016,1.4,Other,1000,1200,1200,
,11/05/2016,0.6,Other,1200,1500,1200,
,12/05/2016,0.4,Other,1200,1300,1200,
,13/05/2016,0.3,Other,1200,1500,1500,
,14/05/2016,0.2,Other,1200,1500,1500,
,16/05/2016,0.2,Other,2000,2200,2200,
,17/05/2016,0.2,Other,2000,2500,2000,
,18/05/2016,0.2,Other,2200,2300,2200,
,19/05/2016,0.2,Other,2300,2500,2300,
,20/05/2016,0.4,Other,2000,2500,2500,
,21/05/2016,0.3,Other,2000,2500,2500,
,23/05/2016,0.2,Other,2000,2500,2500,
,24/05/2016,0.1,Other,2000,2500,2500,
,25/05/2016,0.4,Other,2000,2200,2000,
,26/05/2016,0.2,Other,1800,2000,2000,
,27/05/2016,0.6,Other,1800,2000,2000,
,28/05/2016,0.5,Other,1800,2000,2000,
,30/05/2016,0.4,Other,1800,2000,2000,
,31/05/2016,0.5,Other,1800,2000,1800,
Ahmedgarh,02/05/2016,0.1,Other,900,1000,1000,
,05/05/2016,0.1,Other,900,1000,1000,
,11/05/2016,0.1,Other,1100,1200,1200,
,14/05/2016,0.1,Other,900,1000,1000,
,15/05/2016,0.1,Other,900,1000,1000,
,22/05/2016,0.1,Other,900,1000,1000,
,23/05/2016,0.1,Other,900,1000,1000,
Amritsar(Amritsar Mewa Mandi),02/05/2016,1, ,NR,NR,NR,
,03/05/2016,1,Other,300,500,400,
,04/05/2016,0.5,Other,200,400,300,
,05/05/2016,0.5,Other,200,400,300,
,06/05/2016,1.5,Other,200,400,300,
,09/05/2016,1,Other,200,400,300,
,10/05/2016,1,Other,200,400,300,
,11/05/2016,1,Other,200,400,300,
,13/05/2016,1,Other,200,400,300,
,14/05/2016,0.5,Other,200,400,300,
,16/05/2016,1,Other,200,400,300,
,18/05/2016,1.5,Other,500,700,600,
,19/05/2016,0.5,Other,600,800,700,
,20/05/2016,0.5,Other,600,800,700,
,21/05/2016,0.5,Other,400,600,500,
,23/05/2016,1,Other,700,900,800,
,24/05/2016,2.5,Other,800,1200,900,
,25/05/2016,1,Other,1000,1400,1200,
,26/05/2016,1.2,Other,700,1100,900,
,27/05/2016,1,Other,700,1000,800,
,28/05/2016,1.5,Other,600,900,700,
,30/05/2016,1,Other,700,1100,900,
,31/05/2016,1,Other,700,1000,800,
Anandpur Sahib,26/05/2016,2,Cauliflower,1600,1800,1700,
,31/05/2016,0.01,Cauliflower,1500,1700,1600,
Balachaur,02/05/2016,0.8,Other,1200,1300,1200,
,03/05/2016,0.7,Other,1000,1000,1000,
,04/05/2016,1,Other,1000,1000,1000,
,05/05/2016,1,Other,1000,1100,1050,
,06/05/2016,1.5,Other,1000,1500,1200,
