Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Abohar,02/01/2017,12.5,Cauliflower,150,450,250,
,03/01/2017,8,Cauliflower,125,400,250,
,04/01/2017,7,Cauliflower,150,450,250,
,05/01/2017,10,Cauliflower,130,400,260,
,06/01/2017,12.5,Cauliflower,125,400,250,
,09/01/2017,12.5,Cauliflower,150,350,200,
,10/01/2017,9,Cauliflower,150,400,250,
,11/01/2017,8,Cauliflower,150,350,200,
,12/01/2017,9,Cauliflower,150,350,250,
,13/01/2017,8,Cauliflower,300,600,450,
,16/01/2017,12,Cauliflower,150,300,200,
,17/01/2017,8,Cauliflower,350,600,450,
,18/01/2017,12,Cauliflower,250,450,350,
,19/01/2017,8,Cauliflower,250,450,350,
,20/01/2017,9,Cauliflower,250,450,350,
,23/01/2017,8,Cauliflower,250,550,350,
,24/01/2017,5,Cauliflower,200,500,350,
,27/01/2017,6,Cauliflower,250,500,350,
,30/01/2017,8,Cauliflower,225,450,350,
,31/01/2017,12.5,Cauliflower,200,450,350,
Adampur,02/01/2017,3.2,Other,300,400,400,
,03/01/2017,3.6,Other,200,300,300,
,04/01/2017,3.8,Other,300,350,350,
,05/01/2017,3.8,Other,300,350,350,
,06/01/2017,4,Other,150,200,200,
,07/01/2017,3.9,Other,200,250,250,
,09/01/2017,4.5,Other,100,200,200,
,10/01/2017,4.6,Other,100,200,200,
,11/01/2017,4.2,Other,200,300,300,
,12/01/2017,3.9,Other,200,300,300,
,13/01/2017,3.5,Other,300,400,400,
,14/01/2017,3.9,Other,200,300,300,
,16/01/2017,2.6,Other,200,300,300,
,17/01/2017,3.2,Other,250,300,300,
,18/01/2017,5.1,Other,200,300,300,
,19/01/2017,5.4,Other,200,300,300,
,20/01/2017,6,Other,300,400,400,
,21/01/2017,5.4,Other,200,300,300,
,23/01/2017,4.1,Other,300,400,400,
,24/01/2017,4,Other,300,350,350,
,25/01/2017,3.9,Other,200,300,300,
,26/01/2017,4,Other,200,300,300,
,27/01/2017,2.4,Other,300,400,400,
,28/01/2017,2.9,Other,200,300,300,
,30/01/2017,3.7,Other,200,250,250,
,31/01/2017,4.1,Other,200,300,300,
Ahmedgarh,01/01/2017,0.3,Other,500,600,600,
,02/01/2017,0.3,Other,500,600,600,
,03/01/2017,0.3,Other,400,500,500,
,05/01/2017,0.3,Other,500,600,600,
,06/01/2017,0.3,Other,500,600,600,
,09/01/2017,0.3,Other,600,700,700,
,11/01/2017,0.2,Other,500,600,600,
,12/01/2017,0.2,Other,500,600,600,
,15/01/2017,0.3,Other,500,600,600,
,17/01/2017,0.3,Other,400,500,500,
,18/01/2017,0.2,Other,400,500,500,
,19/01/2017,0.3,Other,700,800,800,
,20/01/2017,0.2,Other,700,800,800,
,21/01/2017,0.2,Other,550,600,600,
,23/01/2017,0.3,Other,500,600,600,
,25/01/2017,0.1,Other,600,700,700,
,27/01/2017,0.3,Other,500,600,600,
,29/01/2017,0.2,Other,500,600,600,
,30/01/2017,0.2,Other,700,800,800,
Ajnala,01/01/2017,0.7,Local,500,700,600,
,02/01/2017,1.05,Local,400,500,400,
,03/01/2017,1.55,Local,400,600,500,
,04/01/2017,1.05,Local,400,500,500,
,05/01/2017,0.55,Local,400,500,500,
,06/01/2017,0.83,Local,400,500,400,
,07/01/2017,1.3,Local,300,400,400,
,08/01/2017,1,Local,400,600,500,
,09/01/2017,1.1,Local,300,400,400,
,10/01/2017,0.7,Local,300,400,300,
,11/01/2017,0.85,Local,300,500,400,
,12/01/2017,1.55,Local,400,500,400,
,13/01/2017,0.4,Local,400,500,400,
,14/01/2017,0.6,Local,400,500,400,
,15/01/2017,0.8,Local,500,700,600,
,16/01/2017,1.1,Local,500,700,600,
,17/01/2017,1.55,Local,600,800,700,
,18/01/2017,2.05,Local,500,700,600,
,19/01/2017,1.3,Local,400,500,400,
,20/01/2017,1.55,Local,400,600,500,
,21/01/2017,1.2,Local,400,500,400,
,22/01/2017,0.8,Local,400,500,400,
,23/01/2017,1.55,Local,400,600,500,
,24/01/2017,1.35,Local,500,700,600,
,25/01/2017,1.2,Local,400,500,500,
,26/01/2017,1.25,Local,400,600,500,
,27/01/2017,1,Local,400,600,500,
,28/01/2017,0.6,Local,500,600,600,
,30/01/2017,3.3,Local,500,700,600,
,31/01/2017,5.6,Local,400,600,500,
Amritsar(Amritsar Mewa Mandi),02/01/2017,5.5,Other,200,400,300,
,03/01/2017,6,Other,300,500,400,
,04/01/2017,7,Other,200,400,300,
,05/01/2017,6,Other,200,300,200,
,06/01/2017,6,Other,200,300,200,
,07/01/2017,6.5,Other,200,300,200,
,10/01/2017,5,Other,100,300,200,
