Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Amreli,21/05/2016,167.5,Other,3900,5195,5120,
,23/05/2016,235.5,Other,3500,5180,5075,
,24/05/2016,158.5,Other,3650,5220,5110,
,25/05/2016,138,Other,3625,5225,5100,
,26/05/2016,146,Other,3600,5255,5190,
,27/05/2016,141,Other,3500,5440,5275,
,28/05/2016,144,Other,3810,5490,5360,
,30/05/2016,200,Other,3950,5505,5305,
,31/05/2016,194,Other,4250,5750,5280,
Anjar,02/05/2016,1,Other,4215,4867,4660,
,03/05/2016,1.1,Other,4062,4500,4350,
,04/05/2016,0.5,Other,4437,4437,4437,
,05/05/2016,1.5,Other,4040,4287,4180,
,06/05/2016,0.2,Other,4205,4205,4205,
,07/05/2016,0.8,Other,4180,4342,4300,
,09/05/2016,0.9,Other,4855,4855,4855,
,11/05/2016,0.5,Other,4402,4402,4402,
,12/05/2016,1.2,Other,4000,4037,4030,
,13/05/2016,7.1,Other,2780,4250,3800,
,16/05/2016,1,Other,3377,4250,4100,
,17/05/2016,1.5,Other,4000,4312,4250,
,18/05/2016,0.2,Other,4062,4062,4062,
Babra,03/05/2016,80,Other,4125,5050,4980,
,05/05/2016,70,Other,4200,5090,5000,
,07/05/2016,60,Other,4100,4975,4950,
,09/05/2016,70,Other,4250,5065,4980,
,10/05/2016,60,Other,4050,5000,4950,
,11/05/2016,60,Other,4100,5010,4950,
,12/05/2016,50,Other,4125,5015,4950,
,13/05/2016,50,Other,4100,5030,4950,
,14/05/2016,30,Other,4050,5025,4950,
,16/05/2016,50,Other,4250,5105,4950,
,17/05/2016,40,Other,4125,5050,4985,
,18/05/2016,40,Other,4050,5075,4985,
,19/05/2016,50,Other,4200,5110,4990,
,20/05/2016,30,Other,4500,5135,5050,
,21/05/2016,30,Other,4200,5075,5000,
,23/05/2016,60,Other,4175,5025,4985,
,24/05/2016,50,Other,4250,5200,5050,
,25/05/2016,60,Other,4050,5295,5150,
,26/05/2016,50,Other,4175,5225,5150,
,30/05/2016,60,Other,4750,5625,5500,
,31/05/2016,40,Other,4650,5605,5450,
Bagasara,02/05/2016,6,Other,3005,4985,3975,
,03/05/2016,8.1,Other,3250,5000,4125,
,04/05/2016,9.8,Other,3105,4875,3990,
,05/05/2016,8.3,Other,3280,5010,4145,
,06/05/2016,8.7,Other,3255,5055,4155,
,07/05/2016,8.9,Other,3105,4815,3960,
,09/05/2016,5.3,Other,3325,5055,4190,
,10/05/2016,10.2,Other,3275,4875,4075,
,11/05/2016,7.3,Other,3000,5080,4040,
,12/05/2016,7,Other,3505,4875,4190,
,13/05/2016,9.6,Other,3005,5105,4055,
,14/05/2016,6.2,Other,3250,4900,4075,
,16/05/2016,7.4,Other,3005,5075,4040,
,17/05/2016,5.6,Other,3100,4950,4025,
