Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Adampur,02/05/2016,6.2,Other,4930,5005,4980,
,04/05/2016,5.3,Other,5020,5055,5041,
,06/05/2016,4.2,Other,5009,5040,5009,
,07/05/2016,9.3,Other,4250,5035,4600,
,09/05/2016,9.4,Other,4370,5005,4900,
,10/05/2016,28,Other,4400,4963,4870,
,11/05/2016,7.7,Other,4500,4975,4975,
,12/05/2016,6.6,Other,4926,4980,4975,
,13/05/2016,19.3,Other,4500,4966,4888,
,14/05/2016,12.8,Other,4200,4250,4200,
,16/05/2016,12,Other,4300,4968,4330,
,17/05/2016,7,Other,4600,4700,4600,
,18/05/2016,3.5,Other,4600,4600,4600,
,20/05/2016,1.5,Other,4500,4500,4500,
,21/05/2016,2,Other,5025,5025,5025,
,23/05/2016,16.5,Other,4500,5069,4620,
,24/05/2016,14,Other,4570,4652,4650,
,25/05/2016,14.5,Other,4655,5151,4670,
,26/05/2016,10.5,Other,4750,4760,4760,
,27/05/2016,10,Other,4805,4811,4810,
,28/05/2016,20,Other,4805,5100,4810,
,30/05/2016,10,Other,4950,4960,4955,
kalanwali,20/05/2016,2.5,American,4900,4900,4900,
Sirsa,02/05/2016,27.5,American,4750,5021,5001,
,04/05/2016,53.5,American,5000,5011,5000,
,05/05/2016,30,American,5010,5011,5011,
,06/05/2016,13,American,5000,5007,5005,
,07/05/2016,23,American,5000,5005,5000,
,09/05/2016,10,American,5005,5005,5005,
,10/05/2016,5,American,5005,5007,5005,
,11/05/2016,29.8,American,4650,5000,4950,
,12/05/2016,31.5,American,4850,4950,4940,
,13/05/2016,41.1,American,4900,4980,4925,
,16/05/2016,57.7,American,4850,5015,4950,
,17/05/2016,65.3,American,4700,5000,4900,
,18/05/2016,64.5,American,4700,5025,4950,
,19/05/2016,58,American,4700,5025,4900,
,21/05/2016,32.5,American,4680,4950,4680,
,23/05/2016,29,American,4665,4972,4725,
,25/05/2016,24,American,5000,5000,5000,
,26/05/2016,37.4,American,5100,5100,5100,
Uklana,17/05/2016,20,American,4800,4800,4800,
,25/05/2016,20,American,4900,4900,4900,
