Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Adampur,01/04/2017,41.5,Other,5700,5950,5900,
,03/04/2017,28.3,Other,5475,6050,6028,
,04/04/2017,11,Other,5900,6064,6002,
,05/04/2017,11.8,Other,5900,6000,5985,
,06/04/2017,8.1,Other,5941,6002,5949,
,07/04/2017,7.4,Other,5860,5892,5880,
,11/04/2017,6.8,Other,5700,5878,5874,
,12/04/2017,1.7,Other,5751,5841,5751,
,13/04/2017,3.5,Other,5850,5850,5850,
,15/04/2017,4.8,Other,5874,5898,5886,
,17/04/2017,2,Other,5860,5860,5860,
,20/04/2017,31,Other,3771,3890,3860,
,21/04/2017,3.2,Other,5895,5895,5895,
,22/04/2017,4.4,Other,5650,5950,5650,
,24/04/2017,3,Other,5855,5882,5855,
,25/04/2017,4.7,Other,5785,5785,5785,
,26/04/2017,3.9,Other,5797,5797,5797,
Barwala(Hisar),06/04/2017,422,Other,5988,6242,6000,
Bhattu Kalan,01/04/2017,3.6,American,5910,5910,5910,
Ding,03/04/2017,4.2,American,6040,6040,6040,
,04/04/2017,4.7,American,6000,6000,6000,
Ellanabad,01/04/2017,45,American,5100,5900,5860,
,03/04/2017,38.7,American,5825,6000,5921,
,04/04/2017,39.8,American,5940,5960,5945,
,,,Desi,4980,4980,4980,
,06/04/2017,59.2,American,5500,5971,5800,
,07/04/2017,34.3,American,5150,5900,5500,
,,,Desi,5000,5000,5000,
,08/04/2017,44.8,American,4000,5900,5785,
,10/04/2017,16.2,American,5300,5785,5725,
,11/04/2017,11,American,5500,5861,5850,
,12/04/2017,13.1,American,4700,5785,5100,
,13/04/2017,6.5,American,4900,5765,5765,
,14/04/2017,7,American,5485,5800,5531,
,15/04/2017,3,American,5800,5800,5800,
,18/04/2017,6.5,American,5760,5765,5761,
,20/04/2017,3.1,American,5750,5750,5750,
,24/04/2017,30,American,4500,5805,5775,
,25/04/2017,7.1,American,5740,5740,5740,
,26/04/2017,2.5,American,5770,5770,5770,
,27/04/2017,11.3,American,5770,5770,5770,
,28/04/2017,14.2,American,5700,5700,5700,
,29/04/2017,15,American,5720,5720,5720,
kalanwali,05/04/2017,7.2,Desi,5850,6125,6000,
,13/04/2017,13.5, ,NR,NR,NR,
Narwana,01/04/2017,0.43, ,NR,NR,NR,
,03/04/2017,1.56,Other,6000,6131,6065.5,
,04/04/2017,0.7,Other,6050,6050,6050,
,06/04/2017,0.1,Other,6059,6059,6059,
,08/04/2017,0.4,Other,5500,5850,5675,
Sirsa,01/04/2017,107.2,American,5883,6009,6000,
,,,Desi,5290,5290,5290,
,04/04/2017,76.3,American,5800,6135,6000,
,,,Desi,5000,5000,5000,
,05/04/2017,117.1,American,5894,6012,5985,
,,,Desi,5211,5231,5211,
,06/04/2017,85.3,American,5700,6010,5850,
,,,Desi,5211,5225,5225,
,07/04/2017,128.9,American,5881,5950,5920,
,,,Desi,5441,5481,5441,
,08/04/2017,137.4,American,5672,5839,5800,
,,,Desi,5320,5421,5320,
,11/04/2017,55.5,American,5800,5960,5850,
,12/04/2017,54.5,American,5830,5965,5850,
,15/04/2017,24,American,5800,5941,5800,
,17/04/2017,46,American,5800,6074,5825,
,18/04/2017,36,American,5500,5900,5700,
,19/04/2017,33,American,5805,5984,5855,
,25/04/2017,20.7,American,5780,5890,5825,
,26/04/2017,6.5,American,5825,5880,5825,
,27/04/2017,19.3,American,5825,5900,5850,
,28/04/2017,27.5,American,5825,5880,5870,
Uchana,04/04/2017,29,American,5901,6167,6000,
,05/04/2017,3.5,American,6000,6003,6001,
Uklana,05/04/2017,0.5,American,5960,5960,5960,
