Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Adampur,01/12/2017,760.2,Other,4450,4735,4695,
,02/12/2017,808.4,Other,4140,4730,4700,
,04/12/2017,563.6,Other,4155,4770,4750,
,05/12/2017,668.5,Other,4300,4790,4760,
,06/12/2017,518.8,Other,4300,4790,4760,
,07/12/2017,432.4,Other,4200,4795,4715,
,08/12/2017,316,Other,4670,4770,4710,
,09/12/2017,392.5,Other,3900,4775,4750,
,11/12/2017,432.7,Other,4150,4781,4750,
,12/12/2017,141.9,Other,4140,4806,4790,
,13/12/2017,339.4,Other,4140,4800,4790,
,14/12/2017,673.9,Other,4300,4870,4850,
,15/12/2017,362.8,Other,4400,4960,4950,
,16/12/2017,272.5,Other,4670,5057,5050,
,18/12/2017,150.9,Other,4230,5045,4950,
,19/12/2017,125.9,Other,4800,4965,4950,
,20/12/2017,122,Other,4400,5000,4960,
,21/12/2017,115.5,Other,4500,5070,5040,
,22/12/2017,67,Other,4600,5260,5250,
,23/12/2017,89.1,Other,4500,5260,5170,
,25/12/2017,44.7,Other,4800,5300,5280,
,27/12/2017,77.2,Other,4721,5415,5325,
,28/12/2017,180.5,Other,4450,5405,5330,
,29/12/2017,60.8,Other,4770,5361,5340,
,30/12/2017,46.8,Other,4660,5380,5355,
Ballabhgarh,02/12/2017,21,Desi,4200,4500,4350,
,03/12/2017,15,Desi,3901,4641,4321,
Barwala(Hisar),04/12/2017,2713,Other,4000,4894,4615,
,05/12/2017,2739,Other,4200,4880,4701,
,06/12/2017,2101,Other,4211,4851,4700,
,07/12/2017,1558,Other,4600,4850,4700,
,08/12/2017,1732,Other,4641,4864,4700,
,09/12/2017,2282,Other,4650,4917,4736,
,11/12/2017,2579,Other,4600,4866,4760,
,12/12/2017,256,Other,4691,4781,4731,
,13/12/2017,676,Other,4650,4850,4700,
,14/12/2017,1725,Other,4500,4947,4836,
,15/12/2017,2128,Other,4600,5071,4800,
,16/12/2017,2536,Other,4700,5150,4800,
,18/12/2017,1560,Other,4425,5042,4850,
,19/12/2017,892,Other,4851,5061,4950,
,20/12/2017,954,Other,4000,5057,4860,
,21/12/2017,769,Other,4950,5184,5000,
,22/12/2017,1570,Other,4450,5400,5350,
,25/12/2017,775,Other,4826,5369,5200,
,26/12/2017,634,Other,5230,5550,5389,
,27/12/2017,542,Other,5125,5471,5300,
,28/12/2017,275,Other,5300,5431,5400,
,29/12/2017,1082,Other,5211,5461,5300,
,30/12/2017,395,Other,5126,5471,5300,
Bhattu Kalan,01/12/2017,114.2,American,4570,4700,4690,
,,,Desi,5711,5711,5711,
,02/12/2017,134.3,American,4575,4700,4660,
,,,Desi,5711,5760,5760,
,04/12/2017,192.3,American,4590,4775,4680,
,05/12/2017,126.3,American,4610,4752,4735,
,06/12/2017,188.2,American,4650,4780,4730,
,07/12/2017,223.7,American,4600,4740,4700,
,12/12/2017,122.2,American,4610,4781,4730,
,13/12/2017,173.4,American,4625,4780,4710,
,,,Desi,5890,5950,5920,
,14/12/2017,134.4,American,4630,4844,4780,
,15/12/2017,168.1,American,4730,4942,4850,
,,,Desi,6000,6000,6000,
,16/12/2017,171.1,American,4920,5050,4960,
,,,Desi,5950,6002,6002,
,18/12/2017,192,American,4750,5000,4920,
,19/12/2017,109.3,American,4830,4961,4900,
,,,Desi,5825,5825,5825,
,20/12/2017,101.6,American,4820,4980,4920,
,,,Desi,5850,5850,5850,
,21/12/2017,74.7,American,4840,5064,4980,
,,,Desi,5825,5900,5900,
,22/12/2017,86.8,American,5020,5210,5100,
,,,Desi,5950,5950,5950,
,25/12/2017,136.1,American,4950,5250,5150,
,26/12/2017,25.8,American,5100,5355,5330,
,,,Desi,6100,6100,6100,
,27/12/2017,71.3,American,5070,5340,5300,
,28/12/2017,60.3,American,5115,5340,5250,
,,,Desi,5950,5950,5950,
,29/12/2017,96.1,American,4800,5340,5140,
,30/12/2017,17.1,American,5200,5325,5300,
Dabwali,01/12/2017,133.4,Desi,3920,4550,4250,
,02/12/2017,89.7,Desi,3450,4635,4350,
,04/12/2017,143.5,Desi,3800,4750,4350,
,05/12/2017,125.6,Desi,4210,4640,4350,
,06/12/2017,135.9,Desi,4120,4695,4450,
,07/12/2017,105.7,Desi,3980,4650,4400,
,30/12/2017,85,Desi,4025,5365,4450,
Ding,01/12/2017,99.4,American,4500,4638,4600,
,,,Desi,5500,5500,5500,
,02/12/2017,97,American,4308,4650,4500,
,04/12/2017,157.9,American,4600,4700,4650,
,05/12/2017,132.4,American,4475,4715,4600,
,,,Desi,5500,5500,5500,
,06/12/2017,151.6,American,4500,4700,4650,
,07/12/2017,110.8,American,4500,4700,4600,
,08/12/2017,114.9,American,4090,4700,4600,
,,,Desi,5200,5200,5200,
,09/12/2017,105.6,American,4680,4725,4700,
,,,Desi,5450,5450,5450,
,11/12/2017,123.7,American,4600,4706,4671,
