Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Adampur,01/11/2017,382,Other,4425,4761,4720,
,02/11/2017,390.9,Other,4350,4800,4750,
,03/11/2017,385.8,Other,4680,4800,4750,
,04/11/2017,516.3,Other,4625,4767,4750,
,06/11/2017,517.9,Other,4450,4751,4720,
,07/11/2017,368,Other,4360,4750,4680,
,08/11/2017,468.6,Other,4400,4720,4650,
,09/11/2017,309.4,Other,4500,4715,4650,
,10/11/2017,355.3,Other,4560,4650,4610,
,11/11/2017,441.5,Other,4430,4661,4650,
,13/11/2017,473.4,Other,4375,4660,4550,
,14/11/2017,485.1,Other,4622,4665,4650,
,15/11/2017,373.3,Other,4250,4675,4640,
,16/11/2017,358,Other,4300,4670,4640,
,17/11/2017,434.9,Other,4550,4674,4640,
,18/11/2017,654, ,NR,NR,NR,
,20/11/2017,631.9, ,NR,NR,NR,
,21/11/2017,435, ,NR,NR,NR,
,22/11/2017,446.7, ,NR,NR,NR,
,23/11/2017,416.1, ,NR,NR,NR,
,24/11/2017,285, ,NR,NR,NR,
,25/11/2017,645.8, ,NR,NR,NR,
,27/11/2017,633.5,Other,4130,4664,4650,
,28/11/2017,548.8,Other,4225,4668,4640,
,29/11/2017,547.1,Other,4251,4655,4630,
,30/11/2017,610.7,Other,4590,4707,4690,
Ballabhgarh,03/11/2017,75,Desi,4500,4550,4521,
,04/11/2017,7,Desi,4500,4600,4550,
,07/11/2017,25,Desi,4500,4550,4525,
,08/11/2017,4,Desi,4500,4550,4520,
,09/11/2017,4,Desi,4500,4500,4500,
,11/11/2017,23,Desi,4200,4501,4351,
,12/11/2017,3,Desi,4501,4550,4520,
,17/11/2017,195,Desi,4401,4651,4521,
,19/11/2017,100,Desi,4425,4625,4521,
,20/11/2017,157,Desi,4201,4600,4451,
,24/11/2017,75,Desi,4401,4631,4530,
,29/11/2017,10,Desi,4200,4400,4300,
Barwala(Hisar),01/11/2017,760,Other,4660,4845,4700,
,02/11/2017,944,Other,4621,4863,4850,
,03/11/2017,928,Other,4600,4840,4735,
,08/11/2017,971,Other,4355,4751,4600,
,09/11/2017,693,Other,4502,4745,4630,
,10/11/2017,966,Other,4560,4772,4640,
,11/11/2017,932,Other,4358,4772,4480,
,14/11/2017,1341,Other,4101,4769,4500,
,15/11/2017,852,Other,4400,4810,4550,
,20/11/2017,1539,Other,4500,4840,4600,
,21/11/2017,1519,Other,4400,4800,4500,
,22/11/2017,1643,Other,4425,4820,4650,
,23/11/2017,2385,Other,4502,4834,4740,
,24/11/2017,2126,Other,4499,4835,4740,
,25/11/2017,2403,Other,4551,4778,4650,
,29/11/2017,1600,Other,4501,4731,4600,
Bhattu Kalan,01/11/2017,58.5,American,4560,4741,4680,
,,,Desi,5700,5725,5700,
,02/11/2017,111.3,American,4640,4770,4720,
,,,Desi,5550,5550,5550,
,03/11/2017,159.3,American,4635,4754,4675,
,,,Desi,5724,5751,5746,
,04/11/2017,88.8,American,4665,4740,4695,
,,,Desi,5715,5715,5715,
,06/11/2017,128.3,American,4600,4745,4730,
,,,Desi,5772,5772,5772,
,07/11/2017,84.3,American,4620,4795,4720,
,08/11/2017,140.3,American,4520,4730,4600,
,,,Desi,5750,5775,5775,
,09/11/2017,145.9,American,4600,4795,4600,
,,,Desi,5650,5760,5650,
,10/11/2017,152.3,American,4545,4656,4610,
,,,Desi,5721,5775,5760,
,11/11/2017,143.8,American,4545,4655,4605,
,13/11/2017,102.7,American,4615,4671,4670,
,,,Desi,5570,5800,5700,
,14/11/2017,96.8,American,4515,4665,4620,
,15/11/2017,54.5,American,4570,4690,4650,
,18/11/2017,102.9,American,4580,4721,4670,
,,,Desi,5741,5741,5741,
,20/11/2017,145.2,American,4595,4710,4695,
,,,Desi,5700,5721,5710,
,21/11/2017,147.8,American,4580,4682,4600,
,,,Desi,5680,5725,5713,
,22/11/2017,98.9,American,4560,4695,4655,
,23/11/2017,113.4,American,4600,4695,4640,
,,,Desi,5721,5740,5721,
,24/11/2017,102.5,American,4600,4685,4630,
,,,Desi,5640,5711,5640,
,25/11/2017,94.8,American,4600,4675,4640,
,,,Desi,5720,5720,5720,
,27/11/2017,244.9,American,4575,4665,4605,
,,,Desi,5750,5750,5750,
,28/11/2017,154.8,American,4550,4660,4605,
,,,Desi,5700,5711,5706,
,29/11/2017,110.3,American,4560,4650,4615,
,,,Desi,5700,5725,5725,
,30/11/2017,107.3,American,4590,4680,4640,
,,,Desi,5725,5730,5725,
Ch. Dadri,01/11/2017,79.5,Other,4600,4818,4770,
,02/11/2017,98.6,Other,4600,4750,4680,
Dabwali,13/11/2017,82.3,Desi,4000,4575,4250,
,14/11/2017,94.3,Desi,3850,4550,4200,
,15/11/2017,14.2,Desi,4355,4565,4500,
,16/11/2017,93.9,Desi,4100,4580,4350,
,17/11/2017,97.7,Desi,4100,4590,4350,
,18/11/2017,102.8,Desi,3950,4655,4360,
,19/11/2017,18.6,Desi,4560,4605,4590,
Ding,02/11/2017,7.2,American,4668,4735,4700,
,03/11/2017,16.6,American,4530,4741,4685,
,,,Desi,5350,5350,5350,
,04/11/2017,29.2,American,4650,4799,4715,
,,,Desi,5300,5380,5373,
,06/11/2017,29.2,American,4219,4750,4680,
,,,Desi,5750,5750,5750,
,07/11/2017,22.3,American,4465,4680,4600,
,,,Desi,5450,5450,5450,
,08/11/2017,18.3,American,4300,4625,4550,
,09/11/2017,15.7,American,4537,4625,4600,
,,,Desi,5400,5400,5400,
,10/11/2017,32.4,American,4400,4630,4530,
,,,Desi,5200,5400,5300,
,11/11/2017,11.4,American,4200,4600,4490,
,13/11/2017,126,American,4400,4600,4533,
,14/11/2017,45,American,4057,4654,4582,
,15/11/2017,45.9,American,4200,4671,4550,
,16/11/2017,77.3,American,4300,4688,4500,
,17/11/2017,161.6,American,4250,4640,4525,
,18/11/2017,192.3,American,4400,4667,4550,
,,,Desi,5450,5450,5450,
,20/11/2017,200.5,American,4450,4660,4550,
,,,Desi,5400,5400,5400,
,21/11/2017,149.4,American,4500,4660,4600,
,,,Desi,5200,5411,5200,
,22/11/2017,120,American,4449,4650,4613,
,23/11/2017,116.5,American,4100,4610,4500,
,24/11/2017,120,American,4400,4635,4550,
,,,Desi,5450,5450,5450,
,25/11/2017,96.3,American,4500,4617,4585,
,27/11/2017,157.4,American,4450,4625,4500,
,,,Desi,5100,5400,5200,
,28/11/2017,52.9,American,4435,4600,4500,
,29/11/2017,51.2,American,4500,4576,4550,
,30/11/2017,77.9,American,4400,4610,4580,
,,,Desi,5100,5200,5100,
Ellanabad,01/11/2017,307.2,American,4525,4612,4605,
,,,Desi,5800,5800,5800,
,02/11/2017,352.5,American,4500,4621,4615,
,03/11/2017,275.6,American,4420,4610,4600,
,11/11/2017,320.4,American,4175,4532,4505,
,13/11/2017,331.4,American,4175,4530,4505,
,14/11/2017,394.4,American,3200,4526,4425,
,15/11/2017,326.6,American,4000,4530,4490,
,,,Desi,5800,5800,5800,
,16/11/2017,562.1,American,4000,4540,4538,
,17/11/2017,520.1,American,4050,4538,4535,
,18/11/2017,579,American,3800,4545,4475,
,20/11/2017,615.7,American,3800,4545,4000,
,21/11/2017,529.2,American,4125,4539,4425,
,22/11/2017,465.5,American,3925,4530,4500,
,27/11/2017,810,American,4200,4545,4535,
,28/11/2017,598,American,4240,4506,4500,
,29/11/2017,615.2,American,4215,4510,4490,
,30/11/2017,510,American,4100,4545,4480,
Fatehabad,01/11/2017,101.4,Other,4445,5838,5600,
,02/11/2017,94,Other,4600,5785,4792,
,03/11/2017,92.5,Other,4722,5936,4833,
,04/11/2017,116,Other,3977,6041,6022,
,06/11/2017,115.3,Other,4601,5982,4800,
,07/11/2017,105.7,Other,3750,5700,4777,
,09/11/2017,96,Other,4472,5800,4689,
,10/11/2017,117.3,Other,4500,5821,5556,
,11/11/2017,77,Other,4482,5751,5718,
,13/11/2017,76,Other,4546,4749,4699,
,14/11/2017,109.8,Other,4623,5754,5750,
,15/11/2017,63.4,Other,4643,4773,4694,
,16/11/2017,99,Other,4618,5938,4788,
,17/11/2017,140,Other,4495,5980,4788,
,18/11/2017,143.9,Other,4575,5914,4851,
,20/11/2017,121.9,Other,4660,5833,4812,
,21/11/2017,137.5,Other,4551,5700,4783,
,22/11/2017,168,Other,4390,4751,4688,
,23/11/2017,99.1,Other,4551,5850,5650,
,24/11/2017,106.5,Other,4501,5855,4757,
,25/11/2017,143.2,Other,4654,5907,4780,
,27/11/2017,193.7,Other,4500,5915,4758,
,28/11/2017,184.4,Other,4305,5916,4693,
,29/11/2017,163.5,Other,4564,4715,4600,
,30/11/2017,142,Other,4461,5760,4725,
Hansi,14/11/2017,46,Other,4450,4716,4600,
,15/11/2017,68.5,Other,4500,4716,4650,
,16/11/2017,25.5,Other,4450,4740,4550,
,17/11/2017,39,Other,4400,4790,4650,
,18/11/2017,60,Other,4390,4710,4500,
,19/11/2017,26,Other,4390,4700,4500,
Hissar,13/11/2017,130.1,American,4615,4665,4615,
,14/11/2017,67.8,American,4615,4650,4615,
,15/11/2017,70.8,American,4625,4670,4625,
,16/11/2017,70.1,American,4626,4670,4626,
,20/11/2017,239.3,American,4650,4700,4650,
,22/11/2017,89.2,American,4625,4690,4625,
,23/11/2017,91.7,American,4620,4690,4620,
,25/11/2017,70.5,American,4630,4665,4630,
,28/11/2017,130,American,4600,4650,4600,
Jakhal,05/11/2017,3,Other,4400,4400,4400,
,16/11/2017,27,Other,4450,4600,4500,
,17/11/2017,8,Other,4300,4600,4450,
,18/11/2017,15,Other,4270,4690,4450,
