Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Adampur,01/09/2017,28,Other,4850,4910,4890,
,02/09/2017,75.2,Other,4325,4880,4450,
,05/09/2017,70.1,Other,4400,4955,4875,
,06/09/2017,79.1,Other,4300,4980,4420,
,07/09/2017,72.9,Other,4100,4996,4925,
,08/09/2017,81.8,Other,3500,4925,4830,
,09/09/2017,148.4,Other,4100,4925,4805,
,11/09/2017,189.8,Other,4125,4825,4550,
,12/09/2017,164.1,Other,4125,4690,4400,
,14/09/2017,170.5,Other,3893,4611,4450,
,15/09/2017,108,Other,3911,4400,4320,
,16/09/2017,180.4,Other,4100,4690,4360,
,18/09/2017,225.8,Other,4200,4471,4350,
,19/09/2017,192,Other,4099,4400,4300,
,20/09/2017,163.3,Other,3950,4400,4230,
,21/09/2017,94.3,Other,4136,4380,4210,
,22/09/2017,123.3,Other,3950,4380,4235,
,23/09/2017,152.8,Other,4080,4380,4300,
,25/09/2017,271.9,Other,4000,4400,4160,
,26/09/2017,210.2,Other,4070,4340,4200,
,27/09/2017,275.3,Other,4141,4210,4180,
,28/09/2017,275,Other,4080,4260,4230,
,29/09/2017,264.9,Other,4135,4290,4250,
,30/09/2017,336.6,Other,4150,4360,4290,
Ballabhgarh,19/09/2017,49,Desi,4020,4020,4020,
,20/09/2017,129,Desi,4020,4151,4090,
,21/09/2017,144,Desi,4020,4121,4070,
,22/09/2017,26,Desi,4050,4151,4100,
,23/09/2017,22,Desi,4141,4151,4145,
,24/09/2017,12,Desi,4010,4151,4080,
,25/09/2017,89,Desi,4100,4150,4120,
,26/09/2017,183,Desi,4020,4150,4090,
,27/09/2017,184,Desi,4020,4151,4100,
,28/09/2017,124,Desi,4020,4121,4100,
,29/09/2017,231,Desi,4020,4152,4100,
,30/09/2017,115,Desi,4100,4261,4200,
Barwala(Hisar),01/09/2017,32,Other,4350,4861,4861,
,02/09/2017,157,Other,4371,4700,4600,
,03/09/2017,210,Other,4201,4411,4400,
,04/09/2017,20,Other,4465,4465,4465,
,05/09/2017,439,Other,4200,4500,4351,
,07/09/2017,318,Other,4200,4400,4300,
,08/09/2017,403,Other,4100,4851,4301,
,11/09/2017,660,Other,4100,4800,4400,
,12/09/2017,583,Other,4221,4820,4331,
,14/09/2017,712,Other,4200,4531,4400,
,15/09/2017,711,Other,4200,4500,4300,
,16/09/2017,699,Other,4200,4541,4381,
,18/09/2017,1059,Other,4100,4375,4300,
,19/09/2017,838,Other,4031,4511,4191,
,20/09/2017,361,Other,4050,4201,4111,
,21/09/2017,280,Other,3963,4195,4195,
,22/09/2017,301,Other,4053,4280,4150,
,23/09/2017,140,Other,4126,4287,4166,
,24/09/2017,68,Other,4240,4250,4250,
,25/09/2017,500,Other,3900,4250,4151,
,26/09/2017,784,Other,3960,4898,4321,
,27/09/2017,763,Other,3916,4241,4210,
,28/09/2017,774,Other,4201,4346,4250,
,29/09/2017,1094,Other,4070,4388,4200,
,30/09/2017,1078,Other,4170,4450,4232,
Bhattu Kalan,14/09/2017,10.8,Desi,4525,4525,4525,
,16/09/2017,11.9,American,4350,4355,4355,
,,,Desi,4525,4525,4525,
,18/09/2017,18.2,American,4200,4320,4291,
,,,Desi,4551,4551,4551,
,19/09/2017,12.8,American,4290,4320,4291,
,20/09/2017,13.4,American,4190,4248,4200,
,21/09/2017,20.4,American,4150,4275,4200,
,,,Desi,4571,4571,4571,
,22/09/2017,31.9,American,4175,4251,4210,
,23/09/2017,30.7,American,4150,4318,4225,
,,,Desi,4900,4900,4900,
,25/09/2017,65.4,American,4100,4280,4225,
,,,Desi,4786,4786,4786,
,26/09/2017,36.6,American,4100,4230,4207,
,27/09/2017,30.9,American,4165,4255,4225,
,,,Desi,5100,5100,5100,
,28/09/2017,19.4,American,4144,4302,4280,
,,,Desi,5100,5100,5100,
,30/09/2017,29.6,American,4190,4332,4230,
Ch. Dadri,01/09/2017,67.9,Other,4250,4420,4300,
,02/09/2017,70.8,Other,4250,4450,4300,
,03/09/2017,41.6,Other,4200,4420,4300,
,04/09/2017,80.8,Other,4211,4460,4300,
,05/09/2017,91.3,Other,4200,4440,4300,
,06/09/2017,115.1,Other,4200,4450,4300,
,14/09/2017,214.3,Other,4300,4450,4350,
Dabwali,02/09/2017,2.7,Desi,4400,4460,4445,
,04/09/2017,5,Desi,4055,4401,4351,
,05/09/2017,8.4,Desi,4200,4465,4385,
,06/09/2017,7.5,Desi,4200,4525,4380,
,07/09/2017,4.9,Desi,4400,4590,4510,
,08/09/2017,4.7,Desi,4275,4585,4505,
,09/09/2017,7.3,Desi,4370,4665,4537,
,11/09/2017,23.1,Desi,4495,4665,4540,
,12/09/2017,17.9,Desi,4300,4660,4555,
,14/09/2017,38.3,Desi,4200,4420,4350,
,15/09/2017,28.9,Desi,4200,4520,4400,
,16/09/2017,20.5,Desi,3950,4565,4400,
,18/09/2017,75.9,Desi,4150,4430,4345,
,19/09/2017,74,Desi,3905,4390,4260,
,20/09/2017,66.5,Desi,3600,4285,4180,
,21/09/2017,90,Desi,4000,4265,4175,
,22/09/2017,72.3,Desi,3705,4375,4200,
,23/09/2017,83.2,Desi,3905,4360,4270,
,25/09/2017,209.4,Desi,3900,4300,4170,
,26/09/2017,114.8,Desi,3920,4290,4180,
,27/09/2017,147.7,Desi,3800,4260,4185,
,28/09/2017,101.2,Desi,4025,4335,4290,
,29/09/2017,136.5,Desi,4140,4335,4260,
,30/09/2017,98.7,Desi,3340,4335,4260,
Ding,18/09/2017,0.5,American,4251,4272,4251,
,22/09/2017,9.2,American,4195,4195,4195,
,,,Desi,4200,4625,4200,
