Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Ankleshwar,02/07/2016,1.07,Garlic,8900,10700,9800,
,06/07/2016,0.93,Garlic,9300,11100,10200,
,08/07/2016,0.94,Garlic,6250,7150,6700,
,11/07/2016,1.33,Garlic,8800,11500,9700,
,14/07/2016,1.45,Garlic,8650,10000,9100,
,18/07/2016,1.49,Garlic,8600,9500,9050,
,23/07/2016,1.45,Garlic,9100,10000,9550,
,30/07/2016,1.16,Garlic,8900,10700,9800,
Dahod(Veg. Market),01/07/2016,1.1,Other,9000,11000,10000,
,02/07/2016,1.45,Other,8000,10000,9500,
,03/07/2016,1.75,Other,8000,10000,8500,
,04/07/2016,1.13,Other,9000,11000,10000,
,05/07/2016,0.64,Other,8000,11000,10000,
,06/07/2016,0.42,Other,9000,11000,10000,
,07/07/2016,0.23,Other,9000,11000,10000,
,08/07/2016,0.48,Other,7500,12000,10000,
,09/07/2016,0.85,Other,7500,10000,9000,
,10/07/2016,0.68,Other,7500,11000,9000,
,11/07/2016,0.98,Other,7500,10000,9000,
,12/07/2016,0.62,Other,7500,10000,8000,
,13/07/2016,0.74,Other,7000,10000,9000,
,14/07/2016,1.38,Other,8000,12000,9000,
,15/07/2016,0.86,Other,9000,11000,10000,
,16/07/2016,1.25,Other,7500,11000,10000,
,17/07/2016,0.85,Other,7500,11000,9500,
,18/07/2016,1.05,Other,9000,11000,9500,
,21/07/2016,1.3,Other,9000,11000,9500,
,22/07/2016,0.76,Other,10000,12000,10000,
,23/07/2016,1.3,Other,10000,12000,11000,
,24/07/2016,0.97,Other,9000,11000,9500,
,25/07/2016,0.73,Other,9000,12000,10000,
,26/07/2016,0.76,Other,7000,12000,10000,
,27/07/2016,0.9,Other,10000,12000,11000,
,28/07/2016,0.89,Other,10000,11000,10500,
,29/07/2016,1.31,Other,8000,11000,10000,
,30/07/2016,0.88,Other,8000,11000,9000,
,31/07/2016,1.05,Other,8000,11000,10000,
Gondal,01/07/2016,24.9,Desi,4055,7755,6205,
,02/07/2016,12,Desi,3555,7105,6155,
,04/07/2016,26.4,Desi,3500,6705,6055,
,05/07/2016,22.6,Desi,4000,6955,6105,
,08/07/2016,27.5,Desi,3500,7305,6205,
,09/07/2016,18,Desi,4000,7805,6005,
,11/07/2016,20.4,Desi,3885,7805,6205,
,12/07/2016,14.1,Desi,3655,7305,5905,
,13/07/2016,13.8,Desi,4505,8205,6055,
,14/07/2016,28,Desi,4655,10005,6405,
,15/07/2016,35,Desi,4305,9755,6605,
,16/07/2016,32.5,Desi,4500,10455,7055,
,18/07/2016,37.8,Desi,4705,9805,7105,
,19/07/2016,44.4,Desi,5000,10705,7555,
,20/07/2016,46.5,Desi,3105,10705,7705,
,21/07/2016,59.1,Desi,3500,10455,7205,
,23/07/2016,70.8,Desi,3055,10105,7555,
,25/07/2016,37.9,Desi,2905,10155,7705,
,26/07/2016,45.9,Desi,3000,9455,7705,
,27/07/2016,40.1,Desi,3000,9855,7655,
,28/07/2016,44.5,Desi,3500,11205,7855,
,29/07/2016,45.4,Desi,3705,10455,7655,
,30/07/2016,42.3,Desi,3205,11005,7905,
Jamnagar,01/07/2016,6.8,Other,3200,8500,5850,
,02/07/2016,9.6,Other,3625,8200,5913,
,04/07/2016,14.9,Other,3800,8550,6175,
,07/07/2016,9.1,Other,3000,9075,6038,
,08/07/2016,12.5,Other,2750,8900,5825,
,11/07/2016,10.5,Other,2250,7500,4875,
,12/07/2016,8.6,Other,3850,7725,5788,
,13/07/2016,7.4,Other,3800,8375,6088,
,14/07/2016,15.6,Other,2000,7325,4663,
,18/07/2016,20.8,Other,2500,9400,5950,
Jasdan,01/07/2016,0.1,Garlic,7230,7230,7230,
,04/07/2016,0.1,Garlic,4660,4660,4660,
,07/07/2016,0.4,Garlic,7200,7750,7500,
,09/07/2016,0.1,Garlic,3500,8000,5000,
,11/07/2016,0.1,Garlic,7375,7375,7375,
,12/07/2016,0.2,Garlic,8050,8050,8050,
,13/07/2016,0.2,Garlic,8255,8255,8255,
,18/07/2016,0.1,Garlic,4500,4500,4500,
,19/07/2016,0.1,Garlic,4500,8375,6000,
,20/07/2016,0.1,Garlic,6000,6000,6000,
,21/07/2016,0.1,Garlic,4000,4000,4000,
,23/07/2016,0.1,Garlic,7660,7660,7660,
,27/07/2016,0.1,Garlic,6250,6250,6250,
,28/07/2016,0.1,Garlic,6240,8090,7000,
,30/07/2016,0.1,Garlic,7755,7755,7755,
Jetpur(Dist.Rajkot),07/07/2016,0.3,Garlic,3750,6875,4750,
,12/07/2016,2.6,Garlic,4455,7655,6250,
,13/07/2016,3.2,Garlic,3750,7500,4500,
,16/07/2016,1.2,Garlic,3750,8805,4750,
,18/07/2016,7.8,Garlic,4005,8780,7375,
,20/07/2016,4.8,Garlic,4750,10005,7375,
,21/07/2016,7.1,Garlic,4500,8805,7055,
,22/07/2016,8.7,Garlic,5855,10230,8000,
,23/07/2016,4.2,Garlic,5005,9750,7875,
,26/07/2016,4.8,Garlic,3980,9030,7875,
,27/07/2016,8.7,Garlic,4005,8005,6750,
Junagadh,14/07/2016,1.3,Other,3000,4575,3900,
,16/07/2016,0.8,Other,2500,3750,3250,
Rajkot,01/07/2016,17.5,Garlic,4625,8250,6250,
,02/07/2016,17.5,Garlic,4450,7750,6400,
,04/07/2016,15.5,Garlic,4600,8250,6075,
,07/07/2016,12.5,Garlic,4575,8125,6000,
,09/07/2016,14.5,Garlic,5000,7875,6275,
,11/07/2016,22.5,Garlic,5250,8710,7050,
,12/07/2016,20.5,Garlic,4750,8125,7000,
,13/07/2016,22.5,Garlic,4875,8250,6000,
,14/07/2016,14.5,Garlic,4875,8150,6375,
,16/07/2016,25.1,Garlic,4750,8510,6875,
,18/07/2016,22.5,Garlic,4875,8525,6750,
,19/07/2016,20,Garlic,4875,8705,7075,
,20/07/2016,15.5,Garlic,5125,9355,8275,
,21/07/2016,11.5,Garlic,5625,10000,8625,
,22/07/2016,47.5,Garlic,5125,10055,8875,
,23/07/2016,52,Garlic,5625,9625,8400,
,25/07/2016,41.5,Garlic,5525,9600,6625,
,26/07/2016,38,Garlic,5250,11000,7010,
,27/07/2016,28,Garlic,5500,10000,8625,
,28/07/2016,57.5,Garlic,5625,10105,8525,
,30/07/2016,31.5,Garlic,5525,9000,8375,
Vadhvan,18/07/2016,0.5,Garlic,3500,5000,4250,
Vadodara,11/07/2016,149.4,Other,5000,8000,8000,
,12/07/2016,149.48,Other,5000,8000,8000,
,20/07/2016,37.28,Other,8000,12000,12000,
,22/07/2016,0.6,Other,8000,12000,12000,
,25/07/2016,1.99,Other,8000,12000,12000,
Visavadar,04/07/2016,2.28,Other,3610,6670,5140,
,05/07/2016,0.86,Other,4250,6500,5375,
,09/07/2016,2.82,Other,3720,4560,4140,
,11/07/2016,2.16,Other,4000,5300,4650,
,12/07/2016,0.72,Other,3615,6955,5285,
,14/07/2016,0.78,Other,3250,6150,4700,
,15/07/2016,1.14,Other,3500,5000,4500,
,16/07/2016,2.58,Other,3500,6500,5000,
,18/07/2016,6,Other,3115,6775,4945,
,20/07/2016,3.54,Other,4115,7875,5995,
,26/07/2016,4.1,Other,4250,6750,5500,
,27/07/2016,1.34,Other,4545,8875,6710,
,28/07/2016,4.46,Other,4765,8395,6580,
,30/07/2016,3.18,Other,4000,8160,6080,
