Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Dahod(Veg. Market),01/11/2016,0.83,Other,8000,12000,10000,
,02/11/2016,1.63,Other,8000,12000,11000,
,03/11/2016,1.15,Other,8000,12000,10000,
,04/11/2016,1.25,Other,8000,12000,10000,
,05/11/2016,1.13,Other,8000,12000,11000,
,06/11/2016,0.95,Other,8000,12000,11000,
,07/11/2016,2.02,Other,8000,12000,11000,
,08/11/2016,0.85,Other,7500,12000,11000,
,09/11/2016,1.45,Other,9000,13000,12000,
,10/11/2016,1.05,Other,9000,13000,12000,
,11/11/2016,1.55,Other,9000,13000,12000,
,12/11/2016,0.85,Other,9000,13000,11500,
,13/11/2016,1.45,Other,9000,13000,12000,
,15/11/2016,1.65,Other,8500,13000,12000,
,16/11/2016,1.35,Other,9000,13000,12000,
,17/11/2016,1.15,Other,8000,13000,12000,
,18/11/2016,1.03,Other,9000,12000,9500,
,19/11/2016,0.82,Other,9000,13000,11000,
,20/11/2016,0.93,Other,9000,13000,12000,
,21/11/2016,2.2,Other,10000,13000,12000,
,22/11/2016,0.88,Other,8000,12000,11000,
,23/11/2016,1.25,Other,8000,12000,11500,
,24/11/2016,1.44,Other,8000,12000,11500,
,25/11/2016,1.85,Other,9500,13000,12000,
,26/11/2016,1.6,Other,9000,11500,10000,
,27/11/2016,1.35,Other,9000,12000,10000,
,28/11/2016,1.06,Other,8000,12000,11000,
,29/11/2016,1.6,Other,9000,11750,10000,
,30/11/2016,2.05,Other,9000,11500,10000,
Gondal,05/11/2016,187.2,Desi,4855,8955,7655,
,08/11/2016,223.2,Desi,5000,10055,8255,
,09/11/2016,251.4,Desi,5005,9505,7855,
,15/11/2016,214.8,Desi,4500,9255,7555,
,16/11/2016,255.1,Desi,5505,9805,7905,
,17/11/2016,276.6,Desi,5505,10005,8055,
,18/11/2016,238.8,Desi,5555,9355,7905,
,19/11/2016,226.2,Desi,5255,9405,7255,
,21/11/2016,321,Desi,4755,9355,7105,
,22/11/2016,315.7,Desi,4500,8885,7055,
,23/11/2016,255.9,Desi,5000,9155,7155,
,24/11/2016,252,Desi,4755,8885,7005,
,25/11/2016,226.8,Desi,4505,8705,6705,
,26/11/2016,242.6,Desi,4105,8005,6605,
,28/11/2016,229.2,Desi,3750,8055,6405,
,30/11/2016,299.4,Desi,3750,7955,6805,
Jamnagar,05/11/2016,39.5,Other,4700,10600,7650,
,06/11/2016,60.5,Other,4500,9100,6800,
,08/11/2016,31.3,Other,4500,9200,6850,
,24/11/2016,84.5,Other,4500,8025,5263,
Jasdan,07/11/2016,0.3,Garlic,3500,6750,6000,
,09/11/2016,0.3,Garlic,5000,7000,6250,
,30/11/2016,0.1,Garlic,5425,5425,5425,
Jetpur(Dist.Rajkot),05/11/2016,1.4,Garlic,4750,7880,6500,
,07/11/2016,5.8,Garlic,5750,8105,6750,
,29/11/2016,8.1,Garlic,3750,7355,5250,
Junagadh,04/11/2016,0.1, ,NR,NR,NR,
,07/11/2016,0.1,Other,6355,6355,6355,
,08/11/2016,0.1,Other,6650,6650,6650,
,18/11/2016,0.1, ,NR,NR,NR,
,24/11/2016,0.1,Other,6100,6100,6100,
Nadiyad(Chaklasi),29/11/2016,0.02,Average,7500,8500,8000,
,30/11/2016,0.8,Average,6000,7500,6750,
Nadiyad(Piplag),10/11/2016,2.5, ,NR,NR,NR,
,17/11/2016,1.4, ,NR,NR,NR,
,26/11/2016,0.2, ,NR,NR,NR,
,29/11/2016,0.4, ,NR,NR,NR,
,30/11/2016,0.6, ,NR,NR,NR,
Rajkot,05/11/2016,182.5,Garlic,6250,9125,8500,
,24/11/2016,107.2,Garlic,5500,8125,7000,
,28/11/2016,110,Garlic,6125,8750,7750,
,29/11/2016,120.5,Garlic,5875,8675,7750,
,30/11/2016,74.2,Garlic,5250,7755,6250,
Vadodara,09/11/2016,1.4,Other,5600,8000,8000,
,14/11/2016,1.29,Other,5600,8000,8000,
,18/11/2016,1.4,Other,5600,8000,8000,
,22/11/2016,1.48,Other,5600,8000,8000,
,23/11/2016,61.19,Other,5600,8000,8000,
,28/11/2016,1.4,Other,5500,8000,8000,
Visavadar,05/11/2016,17.88,Other,5000,7500,6250,
,07/11/2016,17.52,Other,5100,7500,6300,
,08/11/2016,15.96,Other,4760,7820,6290,
