Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Bharuch,01/04/2019,12.46,Average,1500,2250,2000,
,04/04/2019,3.54,Average,1500,2200,2000,
,05/04/2019,21.46,Average,1500,3000,2000,
Dahod(Veg. Market),01/04/2019,2.73,Other,2500,5000,4000,
,02/04/2019,2.94,Other,2500,4500,3500,
,03/04/2019,3.13,Other,2500,4500,3700,
,04/04/2019,3.25,Other,2500,4500,3750,
,05/04/2019,3.45,Other,3000,4500,4000,
,07/04/2019,3.15,Other,2500,4300,4000,
,08/04/2019,2.65,Other,2500,5500,4500,
,09/04/2019,2.85,Other,2500,5000,4500,
,10/04/2019,3.35,Other,3500,5000,4300,
,11/04/2019,2.85,Other,3500,5500,5000,
,12/04/2019,3.15,Other,4000,5500,4500,
,13/04/2019,2.85,Other,4500,6000,5000,
,14/04/2019,2.55,Other,4000,6000,5000,
,15/04/2019,2.85,Other,4000,6000,5000,
,16/04/2019,3.35,Other,4000,6000,5200,
,17/04/2019,2.8,Other,4000,6000,5000,
,18/04/2019,3.45,Other,4000,5500,5000,
,20/04/2019,3.25,Other,3500,5000,4500,
,21/04/2019,2.55,Other,3500,5000,4000,
,22/04/2019,3.03,Other,4000,7000,5500,
,24/04/2019,3.15,Other,3500,8000,6500,
,25/04/2019,3.28,Other,3500,7800,7000,
,26/04/2019,3.33,Other,4000,7500,5000,
,27/04/2019,3.09,Other,4500,8000,7000,
,28/04/2019,2.92,Other,4000,8000,7000,
,29/04/2019,2.75,Other,4000,8000,6000,
,30/04/2019,3.06,Other,5000,8000,7000,
Jamnagar,01/04/2019,23.4,Other,750,3250,2000,
,02/04/2019,79.9,Other,750,2230,1490,
,03/04/2019,55,Other,750,3700,2225,
,04/04/2019,110.9,Other,500,2900,1700,
,05/04/2019,88.2,Other,500,3875,2188,
,06/04/2019,97.4,Other,750,4400,2575,
,08/04/2019,89.9,Other,500,4250,2375,
,10/04/2019,71.6, ,NR,NR,NR,
,12/04/2019,66.7,Other,500,5325,2913,
,15/04/2019,105.7,Other,500,5700,3100,
,16/04/2019,113.2, ,NR,NR,NR,
,18/04/2019,175, ,NR,NR,NR,
,22/04/2019,200, ,NR,NR,NR,
,24/04/2019,137.6, ,NR,NR,NR,
,25/04/2019,217.3, ,NR,NR,NR,
,26/04/2019,200.3, ,NR,NR,NR,
,27/04/2019,154.7, ,NR,NR,NR,
,29/04/2019,183.5,Other,2500,5600,4050,
,30/04/2019,179.3,Other,2500,5550,4025,
Jasdan,02/04/2019,0.1,Garlic,1505,1505,1505,
,03/04/2019,0.1,Garlic,875,875,875,
,08/04/2019,0.1,Garlic,500,500,500,
,09/04/2019,0.1,Garlic,1775,1775,1775,
,11/04/2019,0.1,Garlic,335,335,335,
,12/04/2019,0.1,Garlic,3090,3090,3090,
,13/04/2019,0.1,Garlic,1500,1500,1500,
,24/04/2019,0.1,Garlic,475,475,475,
,30/04/2019,0.1,Garlic,3975,3975,3975,
Kalawad,15/04/2019,0.7,Other,3000,NR,4187,
,16/04/2019,1.1,Other,3465,5350,4407,
,17/04/2019,0.3,Other,1555,3990,2772,
,22/04/2019,0.9,Other,2990,4835,3912,
,24/04/2019,0.5,Other,2665,4400,3532,
Nadiyad(Piplag),23/04/2019,5.5,Average,2500,3000,2800,
Rajkot,01/04/2019,95,Garlic,550,2750,2375,
,02/04/2019,78,Garlic,685,3500,2925,
,03/04/2019,110,Garlic,690,3525,2950,
,04/04/2019,105,Garlic,1075,3700,3400,
,05/04/2019,111.5,Garlic,1600,4000,3400,
,06/04/2019,82.5,Garlic,1525,3875,3125,
,08/04/2019,77.5,Garlic,1350,3900,3450,
,09/04/2019,156,Garlic,1625,5250,4450,
,10/04/2019,100,Garlic,1750,5125,4125,
,11/04/2019,111.5,Garlic,1750,5025,3950,
,12/04/2019,95,Garlic,1760,4755,3950,
,13/04/2019,112.5,Garlic,1750,5400,4025,
,15/04/2019,150.5,Garlic,1750,5125,4050,
,16/04/2019,175,Garlic,1800,5200,4300,
,17/04/2019,111.5,Garlic,1825,5310,4450,
,18/04/2019,102.5,Garlic,1850,5250,4160,
,22/04/2019,420,Garlic,2500,5105,4700,
,24/04/2019,111,Garlic,2000,5100,3575,
,25/04/2019,135,Garlic,2625,5575,3525,
,26/04/2019,110.5,Garlic,2600,5400,4750,
,27/04/2019,148,Garlic,2550,5375,4175,
,29/04/2019,108,Garlic,2780,5475,4265,
,30/04/2019,142.5,Garlic,2575,5250,3950,
Vadodara,04/04/2019,1,Other,2000,3000,3000,
,06/04/2019,5.76,Other,2000,3000,3000,
,08/04/2019,2.36,Other,2000,3000,3000,
