Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Bilaspur,21/11/2016,0.3,Other,1500,2300,2100,
,23/11/2016,0.2,Other,1800,2500,2100,
,30/11/2016,0.2,Other,1800,3000,2500,
Chamba,01/11/2016,0.2,Other,3000,3200,3100,
,04/11/2016,0.15,Other,3700,3900,3800,
,05/11/2016,0.12,Other,2800,4000,3600,
,07/11/2016,0.14,Other,3000,4000,3500,
,08/11/2016,0.43,Other,3000,4000,3500,
,15/11/2016,0.2,Other,2500,2700,2600,
,16/11/2016,0.19,Other,2700,3500,3100,
,19/11/2016,0.2,Other,3200,4000,3600,
,21/11/2016,0.21,Other,3100,3300,3200,
,25/11/2016,0.1,Other,3000,3500,3250,
,26/11/2016,0.2,Other,3000,4000,3500,
Dhanotu (Mandi),01/11/2016,4,Other,2500,3000,2750,
,03/11/2016,0.4,Other,2500,3500,3000,
,15/11/2016,1,Other,1500,2500,2000,
,16/11/2016,10,Other,1500,3000,2250,
Hamirpur,04/11/2016,0.2,Other,4000,4500,4200,
,15/11/2016,0.2,Other,3500,4500,4000,
,16/11/2016,0.25,Other,4000,4500,4200,
,19/11/2016,0.15,Other,3500,4000,3800,
Hamirpur(Nadaun),02/11/2016,0.3, ,NR,NR,NR,
,04/11/2016,0.1,Other,4000,4500,4200,
,16/11/2016,0.15,Other,3800,4500,4200,
Nahan,16/11/2016,0.01,Other,2500,3000,2800,
,30/11/2016,0.02,Other,2000,2500,2300,
Namhol(Bilaspur),02/11/2016,3,Other,2000,3500,2500,
Paonta Sahib,01/11/2016,0.03,Other,3500,4000,3800,
,02/11/2016,0.11,Other,3500,4000,3800,
,04/11/2016,0.05,Other,3000,4000,3500,
,05/11/2016,0.17,Other,2500,4000,3000,
,07/11/2016,0.05,Other,2500,3000,2800,
,16/11/2016,0.18,Other,2300,2500,2400,
,29/11/2016,0.16,Other,2000,2500,2300,
Una,15/11/2016,0.27,Green Ginger,3500,5000,4200,
,16/11/2016,0.3,Green Ginger,3500,5000,4500,
,17/11/2016,0.34,Green Ginger,3000,5000,4000,
,19/11/2016,0.33,Green Ginger,3000,5000,4000,
,21/11/2016,0.4,Green Ginger,3000,5000,4000,
,22/11/2016,0.3,Other,3000,5000,4000,
,23/11/2016,0.3,Green Ginger,3000,5000,4000,
,24/11/2016,0.3,Green Ginger,3000,5000,4000,
,28/11/2016,0.25,Green Ginger,4000,5000,4500,
,29/11/2016,0.3,Green Ginger,3000,5000,4000,
