Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Bilaspur,01/10/2016,0.3,Other,2300,4500,2500,
,24/10/2016,0.3,Other,2300,4000,2800,
,27/10/2016,0.3,Other,1800,3900,3200,
Chamba,05/10/2016,0.1,Other,2800,3000,2900,
,06/10/2016,0.2,Other,2700,2900,2800,
,13/10/2016,0.15,Other,2600,2800,2700,
,21/10/2016,0.2,Other,3400,3600,3500,
,24/10/2016,0.04,Other,3900,4100,4000,
,25/10/2016,0.14,Other,2900,4000,3450,
,26/10/2016,0.1,Other,2700,2900,2800,
,27/10/2016,0.1,Other,2800,3000,2900,
,28/10/2016,0.04,Other,3400,3600,3500,
,29/10/2016,0.04,Other,3400,3600,3500,
Dhanotu (Mandi),29/10/2016,5,Other,2500,3500,3000,
Hamirpur,17/10/2016,0.5,Other,4000,4500,4200,
,26/10/2016,0.2,Other,4000,4500,4200,
Hamirpur(Nadaun),03/10/2016,0.2,Other,4000,4500,4200,
,15/10/2016,0.1,Other,4000,4000,4000,
,17/10/2016,0.22,Other,4000,5000,4500,
,18/10/2016,0.22,Other,4000,4500,4200,
,22/10/2016,0.2,Other,4000,4500,4200,
,24/10/2016,0.16,Other,4000,4500,4500,
,26/10/2016,0.2,Other,3800,4500,4200,
Nahan,01/10/2016,0.03,Other,3000,3500,3300,
,26/10/2016,0.02,Other,1800,2000,1900,
Namhol(Bilaspur),05/10/2016,4,Other,2100,4000,2800,
,07/10/2016,5,Other,2100,4200,2900,
,22/10/2016,5,Other,2300,4000,3200,
,24/10/2016,3,Other,2200,3200,2400,
,27/10/2016,3,Other,1800,3900,2100,
,28/10/2016,5,Other,2100,3500,2500,
Paonta Sahib,01/10/2016,0.02,Other,3500,4000,3800,
,03/10/2016,0.06,Other,3000,4000,3500,
,06/10/2016,0.1,Other,2000,2500,2300,
,10/10/2016,0.03,Other,4000,5000,4500,
,13/10/2016,0.09,Other,2000,3000,2500,
,14/10/2016,0.04,Other,3000,3500,3300,
,26/10/2016,0.04,Other,2500,3000,2800,
,27/10/2016,0.06,Other,3000,3500,3300,
,28/10/2016,0.1,Other,2500,3000,2800,
Una,01/10/2016,0.3,Other,4000,6000,5000,
,03/10/2016,0.5,Green Ginger,3000,5500,4500,
,06/10/2016,0.3,Green Ginger,3000,5000,4000,
,14/10/2016,0.3,Green Ginger,4000,5000,4500,
,15/10/2016,0.2,Green Ginger,3000,5000,4000,
,17/10/2016,0.4,Green Ginger,4000,5000,4500,
,18/10/2016,0.3,Green Ginger,3000,5000,4000,
,19/10/2016,0.2,Green Ginger,3500,6500,4500,
,20/10/2016,0.26,Green Ginger,4000,6000,5000,
,21/10/2016,0.39,Green Ginger,4000,6000,5000,
,22/10/2016,0.4,Green Ginger,4000,6000,5000,
,24/10/2016,0.3,Green Ginger,4000,6000,5000,
,27/10/2016,0.14,Green Ginger,3500,5000,4500,
