Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Bilaspur,13/09/2017,0.3,Other,3500,5500,4500,
Chamba,01/09/2017,0.14,Other,4000,4400,4200,
,04/09/2017,0.12,Other,3700,3900,3800,
,06/09/2017,0.05,Other,5000,5200,5100,
,07/09/2017,0.06,Other,4500,4700,4600,
,08/09/2017,0.02,Other,4400,4600,4500,
,09/09/2017,0.02,Other,3800,4000,3900,
,11/09/2017,0.09,Other,3100,3500,3300,
,14/09/2017,0.06,Other,2600,2800,2700,
,16/09/2017,0.06,Other,1800,2000,1900,
,18/09/2017,0.06,Other,5000,5200,5100,
,21/09/2017,0.02,Other,4400,4600,4500,
,22/09/2017,0.13,Other,2800,3000,2900,
,23/09/2017,0.02,Other,3000,3500,3250,
,25/09/2017,0.1,Other,2300,2500,2400,
,26/09/2017,0.1,Other,2800,3000,2900,
,27/09/2017,0.12,Other,2800,3000,2900,
,28/09/2017,0.12,Other,2800,3000,2900,
,29/09/2017,0.02,Other,3200,3400,3300,
Hamirpur,01/09/2017,0.05,Other,6000,7000,6500,
,04/09/2017,0.1,Other,5000,7000,6000,
,05/09/2017,0.15,Other,6000,7000,6500,
,06/09/2017,0.07,Other,4000,6000,5000,
,07/09/2017,0.13,Other,5500,7000,6250,
,08/09/2017,0.08,Other,5500,6500,6000,
,11/09/2017,0.13,Other,5000,6000,5500,
,12/09/2017,0.14,Other,5500,7000,6250,
,13/09/2017,0.16,Other,5000,6000,5500,
,14/09/2017,0.13,Other,4500,6000,5250,
,15/09/2017,0.16,Other,4500,6000,5250,
,16/09/2017,0.02,Other,5000,6000,5500,
,18/09/2017,0.2,Other,5000,6000,5500,
,19/09/2017,0.11,Other,5000,6000,5500,
,20/09/2017,0.11,Other,5000,6500,5750,
,21/09/2017,0.16,Other,5000,6500,5750,
,22/09/2017,0.15,Other,5000,6500,5750,
,23/09/2017,0.14,Other,5000,6500,5750,
,25/09/2017,0.11,Other,5500,6000,5750,
,26/09/2017,0.25,Other,5000,6000,5500,
,27/09/2017,0.21,Other,5000,6000,5500,
,28/09/2017,0.16,Other,4000,6000,5000,
,29/09/2017,0.17,Other,5000,5500,5250,
Hamirpur(Nadaun),11/09/2017,0.04,Other,5000,6000,5500,
,15/09/2017,0.07,Other,4500,6000,5250,
,18/09/2017,0.12,Other,5000,6000,5500,
,21/09/2017,0.06,Other,5000,6500,5750,
,26/09/2017,0.13,Other,5000,6000,5500,
,29/09/2017,0.07,Other,5000,6000,5500,
Kangra,01/09/2017,0.5,Other,7000,7500,7250,
,04/09/2017,0.9,Other,6000,7000,6500,
,05/09/2017,0.9,Other,4500,5000,4750,
,06/09/2017,0.9,Other,5000,6000,5500,
,07/09/2017,0.8,Other,4500,5000,4750,
,08/09/2017,0.7,Other,6000,7000,6500,
,11/09/2017,0.8,Other,5000,6000,5500,
,12/09/2017,1,Other,5000,5500,5250,
,13/09/2017,0.8,Other,6000,6500,6250,
,14/09/2017,0.9,Other,6000,6500,6250,
,15/09/2017,1.1,Other,5500,6000,5750,
,18/09/2017,1,Other,5000,6000,5500,
,19/09/2017,1,Other,3500,4000,3750,
,20/09/2017,1.1,Other,5000,5500,5250,
,21/09/2017,1.1,Other,4500,5000,4750,
,22/09/2017,1.1,Other,4000,4500,4250,
,23/09/2017,0.9,Other,5000,6000,5500,
,25/09/2017,1,Other,4000,4500,4250,
,26/09/2017,1,Other,4500,5000,4750,
,27/09/2017,1,Other,4500,5000,4750,
,28/09/2017,0.8,Other,5000,6000,5500,
,29/09/2017,1.1,Other,4500,5000,4750,
Kullu,01/09/2017,0.3,Other,4000,6000,4800,
,04/09/2017,0.1,Other,4000,6000,4900,
,06/09/2017,0.3,Other,3000,6500,4500,
,07/09/2017,0.2,Other,5500,6000,5700,
,08/09/2017,0.3,Other,4000,5000,4300,
,10/09/2017,0.2,Other,5000,6000,5200,
,11/09/2017,0.1,Other,3000,5000,4200,
,12/09/2017,0.3,Other,3500,4000,3800,
,13/09/2017,0.1,Other,4000,5000,4700,
,14/09/2017,0.2,Other,4000,5000,4300,
,15/09/2017,0.1,Other,4000,5000,4700,
,18/09/2017,0.3,Other,3500,5000,4200,
,19/09/2017,0.1,Other,4000,5000,4200,
,20/09/2017,0.1,Other,4000,5000,4300,
,21/09/2017,0.1,Other,4000,4500,4200,
,22/09/2017,0.3,Other,4000,5000,4300,
,25/09/2017,0.2,Other,4000,6000,5200,
,26/09/2017,0.1,Other,4000,6000,5200,
,28/09/2017,0.2,Other,4000,5000,4300,
,29/09/2017,0.2,Other,3500,5000,4200,
Nahan,22/09/2017,0.03,Other,3000,3500,3300,
,26/09/2017,0.03,Other,2500,3000,2800,
Palampur,07/09/2017,0.2,Other,3000,5000,4000,
,08/09/2017,0.05,Other,4000,5000,4500,
,11/09/2017,0.1,Other,3500,4500,4000,
,13/09/2017,0.05,Other,3000,5000,4000,
,15/09/2017,0.06,Other,4000,5000,4500,
,18/09/2017,0.05,Other,3000,4000,3500,
,19/09/2017,0.04,Other,3000,5000,4000,
,20/09/2017,0.1,Other,4000,5000,4500,
,21/09/2017,0.3,Other,5000,5500,5250,
,22/09/2017,0.2,Other,4000,5000,4500,
,26/09/2017,0.2,Other,4000,5000,4500,
,27/09/2017,0.3,Other,4000,5000,4500,
,29/09/2017,0.5,Other,3000,4000,3500,
Paonta Sahib,04/09/2017,0.07,Other,4000,5000,4500,
,05/09/2017,0.1,Other,4000,5000,4500,
,11/09/2017,0.04,Other,2500,3000,2800,
,12/09/2017,0.03,Other,3000,3500,3300,
,13/09/2017,0.13,Other,3000,4000,3500,
,14/09/2017,0.09,Other,2500,3000,2800,
,19/09/2017,0.13,Other,3000,4000,3500,
,20/09/2017,0.13,Other,3500,4000,3800,
,21/09/2017,0.07,Other,3500,4000,3800,
,23/09/2017,0.04,Other,2500,3000,2800,
,26/09/2017,0.1,Other,3000,4000,3500,
,27/09/2017,0.03,Other,3500,4000,3800,
Solan,04/09/2017,0.9,Other,3500,4000,3750,
,05/09/2017,0.1,Other,3000,5000,4000,
,06/09/2017,0.1,Other,4500,5000,4750,
,07/09/2017,0.3,Other,4500,5500,5000,
,08/09/2017,3.9,Other,4500,5000,4750,
,11/09/2017,4.8,Other,4000,5000,4500,
,12/09/2017,1,Other,3500,4000,3750,
,14/09/2017,0.9,Other,2700,3000,2850,
,15/09/2017,0.3,Other,2500,3000,2750,
,16/09/2017,1.3,Other,4500,5500,5000,
,18/09/2017,0.5,Other,2800,3000,2900,
,20/09/2017,0.2,Other,2000,4000,3000,
,21/09/2017,0.1,Other,2000,4000,3000,
,22/09/2017,0.2,Other,3000,4000,3500,
,23/09/2017,0.7,Other,2500,4000,3250,
,25/09/2017,0.6,Other,2500,3000,2750,
,26/09/2017,1.6,Other,3000,4000,3500,
,27/09/2017,0.2,Other,2000,2500,2250,
,29/09/2017,0.06,Other,2000,4000,3000,
Una,01/09/2017,0.2,Green Ginger,4500,8000,6000,
,05/09/2017,0.3,Green Ginger,6000,8000,7000,
,15/09/2017,0.3,Green Ginger,2000,6000,4000,
,18/09/2017,0.2,Green Ginger,4000,6000,5000,
,21/09/2017,0.3,Green Ginger,4500,6000,5000,
,22/09/2017,0.3,Green Ginger,3000,6000,4000,
,26/09/2017,0.4,Green Ginger,4000,5000,4500,
,27/09/2017,0.3,Green Ginger,3500,5000,4500,
,28/09/2017,0.4,Green Ginger,4000,5000,4500,
,29/09/2017,0.4,Green Ginger,4000,5000,4500,
