Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Chamba,01/02/2018,0.2,Other,2800,3700,3250,
,02/02/2018,0.29,Other,2500,2700,2600,
,03/02/2018,0.14,Other,2800,3000,2900,
,05/02/2018,0.37,Other,2800,3400,3100,
,06/02/2018,0.34,Other,2800,3500,3150,
,08/02/2018,0.26,Other,2800,3000,2900,
,09/02/2018,0.16,Other,2600,2800,2700,
,13/02/2018,0.23,Other,2900,3100,3000,
,15/02/2018,0.13,Other,2600,2800,2700,
,16/02/2018,0.15,Other,2700,3200,2950,
,17/02/2018,0.22,Other,2800,3500,3150,
,19/02/2018,0.19,Other,2900,3100,3000,
,20/02/2018,0.1,Other,2700,2900,2800,
,22/02/2018,0.14,Other,3000,4000,3500,
,23/02/2018,0.11,Other,2600,2800,2700,
,24/02/2018,0.21,Other,3200,3500,3350,
,26/02/2018,0.22,Other,3200,4000,3600,
,28/02/2018,0.26,Other,3100,3300,3200,
Hamirpur,01/02/2018,0.13,Other,3500,4000,3750,
,02/02/2018,0.08,Other,3500,4000,3750,
,03/02/2018,0.08,Other,3500,4000,3750,
,05/02/2018,0.09,Other,3500,4000,3750,
,06/02/2018,0.08,Other,3500,4000,3750,
,07/02/2018,0.08,Other,3500,4000,3750,
,08/02/2018,0.09,Other,3500,4000,3750,
,09/02/2018,0.09,Other,3500,4000,3750,
,12/02/2018,0.08,Other,3500,4000,3750,
,13/02/2018,0.17,Other,3500,4000,3750,
,15/02/2018,0.09,Other,3800,4200,4000,
,16/02/2018,0.07,Other,3000,4000,3500,
,17/02/2018,0.08,Other,3500,4000,3750,
,19/02/2018,0.1,Other,3500,4000,3750,
,20/02/2018,0.1,Other,3000,4000,3500,
,21/02/2018,0.05,Other,3000,4000,3500,
,22/02/2018,0.04,Other,3500,4000,3750,
,23/02/2018,0.09,Other,3500,4000,3750,
,24/02/2018,0.02,Other,4000,4200,4100,
,26/02/2018,0.1,Other,3800,4000,3900,
,27/02/2018,0.24,Other,3500,4000,3750,
,28/02/2018,0.1,Other,3600,4000,3800,
Hamirpur(Nadaun),01/02/2018,0.07,Other,3500,4000,3750,
,03/02/2018,0.03,Other,3500,4000,3750,
,05/02/2018,0.08,Other,3500,4000,3750,
,07/02/2018,0.06,Other,3500,4000,3750,
,08/02/2018,0.04,Other,3500,4000,3750,
,09/02/2018,0.04,Other,3500,4000,3750,
,12/02/2018,0.04,Other,3500,4000,3750,
,13/02/2018,0.07,Other,3500,4000,3750,
,15/02/2018,0.04, ,NR,NR,NR,
,16/02/2018,0.04,Other,3000,4000,3500,
,19/02/2018,0.04,Other,3500,4000,3750,
,20/02/2018,0.03,Other,3000,4000,3500,
