Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Bilaspur,02/01/2018,0.3,Other,1600,2900,2100,
Chamba,01/01/2018,0.16,Other,2900,3100,3000,
,02/01/2018,0.1,Other,2600,2800,2700,
,03/01/2018,0.1,Other,2600,2800,2700,
,05/01/2018,0.14,Other,2700,3200,2950,
,06/01/2018,0.1,Other,2100,2300,2200,
,08/01/2018,0.18,Other,2500,3000,2750,
,09/01/2018,0.16,Other,2700,2900,2800,
,10/01/2018,0.2,Other,2800,3300,3050,
,11/01/2018,0.36,Other,2400,2600,2500,
,12/01/2018,0.17,Other,2600,3400,3000,
,15/01/2018,0.29,Other,2700,3400,3050,
,16/01/2018,0.04,Other,3200,3400,3300,
,17/01/2018,0.17,Other,2500,2700,2600,
,18/01/2018,0.18,Other,2600,2800,2700,
,19/01/2018,0.17,Other,2700,3300,3000,
,20/01/2018,0.18,Other,2500,3500,3000,
,22/01/2018,0.14,Other,2700,3300,3000,
,23/01/2018,0.17,Other,2600,2800,2700,
,24/01/2018,0.33,Other,2700,3200,2950,
,29/01/2018,0.19,Other,2600,3300,2950,
,30/01/2018,0.1,Other,2600,2800,2700,
,31/01/2018,0.19,Other,2700,3500,3100,
Hamirpur,01/01/2018,0.1,Other,3500,4000,3750,
,02/01/2018,0.1,Other,3500,4000,3750,
,03/01/2018,0.08,Other,3500,4000,3750,
,04/01/2018,0.1,Other,3500,4000,3750,
,05/01/2018,0.08,Other,3000,4000,3500,
,06/01/2018,0.1,Other,4000,4500,4250,
,08/01/2018,0.23,Other,3000,4000,3500,
,09/01/2018,0.1,Other,3500,4000,3750,
,10/01/2018,0.12,Other,3500,4000,3750,
,11/01/2018,0.11,Other,3500,4000,3750,
,12/01/2018,0.11,Other,3500,4000,3750,
,16/01/2018,0.09,Other,3500,4000,3750,
,17/01/2018,0.16,Other,3500,4000,3750,
,18/01/2018,0.13,Other,3500,4000,3750,
,19/01/2018,0.2,Other,3500,4000,3750,
,20/01/2018,0.08,Other,3500,4000,3750,
,22/01/2018,0.06,Other,3500,4000,3750,
,23/01/2018,0.1,Other,3500,4000,3750,
,24/01/2018,0.06,Other,3500,4000,3750,
,27/01/2018,0.1,Other,3500,4000,3750,
,29/01/2018,0.16,Other,3500,4000,3750,
,30/01/2018,0.17,Other,3500,4000,3750,
