Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Bilaspur,03/08/2019,0.3,Other,15000,19000,16000,
,13/08/2019,0.3,Other,9500,19000,15000,
,15/08/2019,0.5,Other,15000,19000,17000,
,16/08/2019,0.2,Other,15000,19000,18000,
,31/08/2019,0.5,Other,12000,15000,14000,
Chamba,01/08/2019,0.03,Other,16900,17100,17000,
,06/08/2019,0.02,Other,13500,14500,14000,
,21/08/2019,0.03,Other,8900,9100,9000,
,22/08/2019,0.02,Other,9400,9600,9500,
,26/08/2019,0.02,Other,6900,7100,7000,
,29/08/2019,0.04,Other,8900,9100,9000,
,31/08/2019,0.03,Other,6900,7100,7000,
Hamirpur,08/08/2019,0.02,Other,15000,16000,15500,
,09/08/2019,0.01,Other,12000,18000,15000,
,13/08/2019,0.01,Other,15000,17000,16000,
,14/08/2019,0.03,Other,15000,17000,16000,
,16/08/2019,0.03,Other,15000,16000,15500,
,17/08/2019,0.01,Other,15000,18000,16500,
,19/08/2019,0.03,Other,15000,18000,16500,
,20/08/2019,0.01,Other,15000,16000,15500,
,27/08/2019,0.03,Other,11000,18000,14500,
,28/08/2019,0.03,Other,16000,18000,17000,
,29/08/2019,0.02,Other,14000,18000,16000,
Kangra,01/08/2019,0.1,Other,19000,20000,19500,
,02/08/2019,0.1,Other,19000,20000,19500,
,03/08/2019,0.1,Other,15000,18000,16500,
,05/08/2019,0.1,Other,18000,20000,19000,
,06/08/2019,0.1,Other,15000,16000,15500,
,07/08/2019,0.1,Other,15000,16000,15500,
,08/08/2019,0.1,Other,14000,15000,14500,
,09/08/2019,0.1,Other,14000,15000,14500,
,13/08/2019,0.1,Other,13000,14000,13500,
,14/08/2019,0.1,Other,14000,16000,15000,
,17/08/2019,0.1,Other,14000,15000,14500,
,19/08/2019,0.1,Other,14000,16000,15000,
,20/08/2019,0.1,Other,13000,14000,13500,
,21/08/2019,0.1,Other,14000,15000,14500,
,23/08/2019,0.1,Other,13000,15000,14000,
,26/08/2019,0.1,Other,15000,16000,15500,
,27/08/2019,0.2,Other,15000,16000,15500,
,28/08/2019,0.1,Other,15000,16000,15500,
,29/08/2019,0.1,Other,15000,16000,15500,
,31/08/2019,0.1,Other,14000,15000,14500,
Kangra(Jaisinghpur),09/08/2019,0.05,Green Ginger,18000,18000,18000,
,16/08/2019,0.05,Green Ginger,16000,16000,16000,
,19/08/2019,0.05,Green Ginger,15000,15000,15000,
Kangra(Jassour),01/08/2019,0.3,Other,18000,20000,19000,
,05/08/2019,0.2,Other,18000,19000,18500,
,06/08/2019,0.2,Other,18000,20000,19000,
,07/08/2019,0.2,Other,18000,20000,19000,
,08/08/2019,0.2,Other,15000,16000,15500,
,09/08/2019,0.3,Other,15000,16000,15500,
,13/08/2019,0.2,Other,18000,20000,19000,
,14/08/2019,0.3,Other,15000,16000,15500,
,16/08/2019,0.1,Other,15000,16000,15500,
,17/08/2019,0.1,Other,1500,1600,1550,
,20/08/2019,0.2,Other,9000,10000,9500,
,21/08/2019,0.3,Other,8000,9000,8500,
,22/08/2019,0.4,Other,8000,9000,8500,
,23/08/2019,0.3,Other,9000,10000,9500,
,26/08/2019,0.4,Other,9000,10000,9500,
,27/08/2019,0.4,Other,9000,10000,9500,
,28/08/2019,0.4,Other,9000,10000,9500,
,29/08/2019,0.4,Other,9000,10000,9500,
,30/08/2019,0.4,Other,9000,10000,9500,
Kullu,01/08/2019,0.2,Other,15000,17000,16000,
,02/08/2019,0.2,Other,15000,17000,16000,
,03/08/2019,0.1,Other,16000,17000,16500,
,05/08/2019,0.1,Other,16000,17000,16500,
,06/08/2019,0.2,Other,18000,20000,19000,
,07/08/2019,0.1,Other,17000,20000,19000,
,08/08/2019,0.1,Other,18000,20000,19000,
,10/08/2019,0.1,Other,13000,18000,14000,
