Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Palamaner,01/12/2017,1.76,Green Chilly,1500,2500,2000,
,05/12/2017,0.2,Green Chilly,1000,3000,2000,
,06/12/2017,4.12,Green Chilly,1000,3000,2000,
,07/12/2017,0.08,Green Chilly,1000,3000,2000,
,08/12/2017,0.4,Green Chilly,1000,3000,2000,
,09/12/2017,0.2,Green Chilly,1000,2000,1500,
,10/12/2017,0.54,Green Chilly,1000,2000,1500,
,11/12/2017,0.04,Green Chilly,1000,3000,2000,
,12/12/2017,2.165,Green Chilly,800,1800,1200,
,13/12/2017,0.26,Green Chilly,800,1800,1400,
,14/12/2017,0.34,Green Chilly,1000,2000,1500,
,15/12/2017,0.2,Green Chilly,1000,2000,1500,
,16/12/2017,0.9,Green Chilly,1500,2500,2000,
,18/12/2017,0.74,Green Chilly,1000,2000,1500,
,19/12/2017,0.4,Green Chilly,1000,2500,1500,
,20/12/2017,0.6,Green Chilly,1000,2000,1500,
,21/12/2017,0.52,Green Chilly,1000,2000,1500,
,23/12/2017,0.14,Green Chilly,1000,2000,1500,
,24/12/2017,1.94,Green Chilly,1000,2000,1500,
,25/12/2017,1.12,Green Chilly,1000,2000,1500,
,26/12/2017,1.6,Green Chilly,1000,2000,1500,
,27/12/2017,0.56,Green Chilly,1500,2500,2000,
,29/12/2017,0.66,Green Chilly,1500,2500,2000,
