Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Palamaner,01/07/2017,1,Green Chilly,3000,5000,4000,
,02/07/2017,1.3,Green Chilly,2000,4000,3000,
,03/07/2017,0.42,Green Chilly,3000,5000,4000,
,04/07/2017,2.4,Green Chilly,2500,4500,3500,
,05/07/2017,2.2,Green Chilly,1800,3800,2800,
,06/07/2017,1.2,Green Chilly,2000,4000,3000,
,07/07/2017,1.3,Green Chilly,2500,4500,3500,
,08/07/2017,0.8,Green Chilly,3000,5000,4000,
,09/07/2017,2.1,Green Chilly,2500,4500,3500,
,10/07/2017,0.8,Green Chilly,3000,5000,4000,
,12/07/2017,0.6,Green Chilly,3000,5000,4000,
,13/07/2017,0.2,Green Chilly,2500,4500,3500,
,14/07/2017,0.14,Green Chilly,2000,4000,3000,
,15/07/2017,1.4,Green Chilly,1500,4500,2500,
,16/07/2017,0.3,Green Chilly,1500,3500,2500,
,17/07/2017,0.3,Green Chilly,2500,4500,3500,
,18/07/2017,0.7,Green Chilly,1500,3500,2500,
,19/07/2017,0.3,Green Chilly,3000,5000,4000,
,20/07/2017,0.3,Green Chilly,2000,4000,3000,
,21/07/2017,0.8,Green Chilly,2000,4000,3000,
,22/07/2017,0.8,Green Chilly,2000,4000,3000,
,23/07/2017,1.3,Green Chilly,3000,5000,4000,
,24/07/2017,0.5,Green Chilly,2500,4500,3500,
,26/07/2017,0.4,Green Chilly,2000,5000,3500,
,27/07/2017,0.8,Green Chilly,2000,4000,3000,
,28/07/2017,0.7,Green Chilly,2000,4000,3500,
,29/07/2017,0.3,Green Chilly,2000,4000,3000,
,30/07/2017,0.6,Green Chilly,2000,4000,3000,
,31/07/2017,0.8,Green Chilly,3000,5000,4000,
Vijayawada,01/07/2017,15,Green Chilly,3000,3200,3100,
,02/07/2017,15,Green Chilly,5000,5200,5100,
,03/07/2017,15,Green Chilly,5900,6100,6000,
,04/07/2017,15,Green Chilly,5700,5900,5800,
,05/07/2017,15,Green Chilly,5200,5400,5300,
,06/07/2017,15,Green Chilly,4500,4700,4600,
,08/07/2017,15,Green Chilly,4000,4200,4100,
,09/07/2017,15,Green Chilly,4000,4200,4100,
,10/07/2017,16,Green Chilly,4300,4500,4400,
,11/07/2017,15,Green Chilly,4300,4500,4400,
,12/07/2017,15,Green Chilly,3200,3400,3300,
,13/07/2017,16,Green Chilly,3200,3400,3300,
,14/07/2017,15,Green Chilly,3200,3400,3300,
,15/07/2017,15,Green Chilly,3000,3200,3100,
,16/07/2017,15,Green Chilly,3000,3200,3100,
,17/07/2017,15,Green Chilly,2700,2900,2800,
,18/07/2017,16,Green Chilly,2200,2400,2300,
,19/07/2017,15,Green Chilly,2100,2300,2200,
,20/07/2017,15,Green Chilly,2300,2500,2400,
,22/07/2017,15,Green Chilly,2800,3000,2900,
