Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Martur,01/11/2018,4, ,NR,NR,NR,
,02/11/2018,5, ,NR,NR,NR,
,03/11/2018,4, ,NR,NR,NR,
,04/11/2018,4, ,NR,NR,NR,
,05/11/2018,4, ,NR,NR,NR,
,07/11/2018,4,Green Chilly,1000,1200,1100,
,08/11/2018,4,Green Chilly,1000,1200,1100,
Palamaner,01/11/2018,0.28,Green Chilly,1000,2000,1500,
,05/11/2018,1.02, ,NR,NR,NR,
,06/11/2018,0.94,Green Chilly,800,1800,1300,
,07/11/2018,0.58,Green Chilly,1000,2000,1500,
,08/11/2018,0.16,Green Chilly,1500,2500,2000,
,09/11/2018,0.7,Green Chilly,1500,2500,2000,
,10/11/2018,0.2,Green Chilly,1600,2600,2100,
,12/11/2018,0.96, ,NR,NR,NR,
,13/11/2018,0.66, ,NR,NR,NR,
,14/11/2018,1.08, ,NR,NR,NR,
,16/11/2018,0.32, ,NR,NR,NR,
,17/11/2018,2.72, ,NR,NR,NR,
,19/11/2018,1.62,Green Chilly,1000,2000,1500,
,20/11/2018,1.38, ,NR,NR,NR,
,21/11/2018,1,Green Chilly,1500,2500,2000,
,22/11/2018,0.96,Green Chilly,1500,2500,2000,
,23/11/2018,0.64,Green Chilly,1500,2500,2000,
,24/11/2018,0.38,Green Chilly,1500,2500,2000,
,25/11/2018,0.52, ,NR,NR,NR,
,26/11/2018,0.96, ,NR,NR,NR,
,27/11/2018,1.62,Green Chilly,1500,2500,2000,
,28/11/2018,0.9,Green Chilly,1000,2000,1500,
,29/11/2018,1.8,Green Chilly,1500,2500,2000,
,30/11/2018,0.76,Green Chilly,1500,2500,2000,
