Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Palamaner,01/02/2019,1.72,Green Chilly,1000,2000,1500,
,02/02/2019,0.42,Green Chilly,1000,2000,1500,
,03/02/2019,0.62,Green Chilly,1000,2000,1500,
,04/02/2019,1.3,Green Chilly,1000,2000,1500,
,05/02/2019,0.24, ,NR,NR,NR,
,06/02/2019,0.88,Green Chilly,1000,2000,1500,
,07/02/2019,0.52,Green Chilly,1000,2000,1500,
,08/02/2019,1.1,Green Chilly,1000,2000,1500,
,09/02/2019,0.14,Green Chilly,1000,2000,1500,
,10/02/2019,0.7,Green Chilly,1000,2000,1500,
,11/02/2019,0.98, ,NR,NR,NR,
,12/02/2019,0.18,Green Chilly,1000,2000,1500,
,13/02/2019,0.8,Green Chilly,1000,2000,1500,
,14/02/2019,0.68,Green Chilly,500,1500,1000,
,15/02/2019,1.4,Green Chilly,1000,2000,1500,
,16/02/2019,1.2,Green Chilly,1000,2000,1500,
,18/02/2019,0.86,Green Chilly,1000,2000,1500,
,19/02/2019,0.14,Green Chilly,1000,2000,1500,
,20/02/2019,0.44,Green Chilly,1500,2500,2000,
,21/02/2019,0.54,Green Chilly,1000,2000,1500,
,22/02/2019,0.5,Green Chilly,1000,2000,1500,
,23/02/2019,0.34,Green Chilly,1000,2000,1500,
,24/02/2019,1.16,Green Chilly,1000,2000,1500,
,25/02/2019,0.6,Green Chilly,1000,2500,1500,
,26/02/2019,0.32,Green Chilly,1000,2000,1500,
,27/02/2019,0.6,Green Chilly,1700,2700,2200,
,28/02/2019,0.44,Green Chilly,1000,2000,1500,
