Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Palamaner,03/09/2019,0.26,Green Chilly,1000,2000,1500,
,04/09/2019,2.22,Green Chilly,1000,3000,2000,
,05/09/2019,0.48,Green Chilly,1000,2000,1500,
,06/09/2019,1,Green Chilly,1000,3000,2000,
,08/09/2019,0.44,Green Chilly,1500,2500,2000,
,09/09/2019,0.38,Green Chilly,1000,3000,2000,
,10/09/2019,0.5,Green Chilly,1000,3000,2000,
,11/09/2019,0.4,Green Chilly,2000,4000,3000,
,14/09/2019,0.34,Green Chilly,1000,2000,1500,
,15/09/2019,0.9,Green Chilly,500,1500,1000,
,16/09/2019,1.04,Green Chilly,1500,2500,2000,
,17/09/2019,0.64,Green Chilly,2000,3000,2500,
,18/09/2019,0.66,Green Chilly,1000,2000,1500,
,19/09/2019,0.38,Green Chilly,1000,3000,2000,
,20/09/2019,0.7,Green Chilly,1000,2500,1500,
,21/09/2019,1.9,Green Chilly,1000,3000,2000,
,22/09/2019,0.7,Green Chilly,1000,3000,2000,
,23/09/2019,0.8,Green Chilly,1000,2000,1500,
,24/09/2019,0.44,Green Chilly,1000,2000,1500,
,25/09/2019,0.92,Green Chilly,1500,3000,2250,
,26/09/2019,0.72,Green Chilly,1500,3000,2250,
,27/09/2019,0.68,Green Chilly,1000,3000,2000,
,28/09/2019,1.12,Green Chilly,1000,3000,2000,
,29/09/2019,0.78,Green Chilly,1000,3000,2000,
,30/09/2019,1.26,Green Chilly,1000,3000,2000,
