Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Arakalgud,02/02/2017,3,Green Chilly,800,800,800,
,09/02/2017,3,Green Chilly,500,500,500,
,16/02/2017,2,Green Chilly,2060,2060,2060,
,23/02/2017,3,Green Chilly,240,240,240,
Bagepalli,01/02/2017,1,Green Chilly,1200,1800,1540,
,02/02/2017,1,Green Chilly,1200,1800,1560,
,06/02/2017,1,Green Chilly,1200,1800,1440,
,08/02/2017,1,Green Chilly,1200,1800,1560,
,14/02/2017,1,Green Chilly,1200,2200,1710,
,15/02/2017,1,Green Chilly,1200,1800,1540,
,21/02/2017,1,Green Chilly,1000,1800,1410,
,25/02/2017,1,Green Chilly,840,1680,1320,
,27/02/2017,1,Green Chilly,900,1400,1210,
,28/02/2017,1,Green Chilly,1000,1550,1350,
Binny Mill (F&V), Bangalore,01/02/2017,25,Green Chilly,1600,3200,2200,
,02/02/2017,29,Green Chilly,1800,3200,2200,
,03/02/2017,9,Green Chilly,1800,3300,2200,
,04/02/2017,25,Green Chilly,2000,4000,2600,
,06/02/2017,30,Green Chilly,2000,4000,2400,
,07/02/2017,25,Green Chilly,2000,3600,2400,
,08/02/2017,17,Green Chilly,2200,4000,2500,
,09/02/2017,27,Green Chilly,2300,4000,2500,
,10/02/2017,21,Green Chilly,2000,4000,2500,
,13/02/2017,10,Green Chilly,2000,4000,2500,
,14/02/2017,33,Green Chilly,2000,4000,2800,
,15/02/2017,37,Green Chilly,2200,4000,2800,
,16/02/2017,28,Green Chilly,2200,3800,2600,
,17/02/2017,41,Green Chilly,2000,3800,2800,
,18/02/2017,21,Green Chilly,2000,3800,2600,
,21/02/2017,31,Green Chilly,2400,4000,2800,
,22/02/2017,17,Green Chilly,2000,4000,2800,
,23/02/2017,26,Green Chilly,2200,4200,3000,
,27/02/2017,26,Green Chilly,2200,4000,2800,
,28/02/2017,25,Green Chilly,2300,4000,2800,
Chickkaballapura,01/02/2017,3,Green Chilly,1300,2500,2000,
,03/02/2017,2,Green Chilly,1300,2400,1900,
,04/02/2017,2,Green Chilly,2000,3500,2900,
,05/02/2017,3,Green Chilly,2000,3500,2800,
,06/02/2017,2,Green Chilly,2000,3400,2900,
,07/02/2017,1,Green Chilly,2000,3600,3000,
,08/02/2017,3,Green Chilly,2000,3500,2900,
,11/02/2017,2,Green Chilly,2000,3500,2900,
,13/02/2017,2,Green Chilly,2000,3400,2900,
,14/02/2017,2,Green Chilly,2200,3400,2800,
,15/02/2017,2,Green Chilly,1800,3500,2500,
,17/02/2017,1,Green Chilly,2000,3400,2900,
,22/02/2017,2,Green Chilly,2200,3500,2900,
,24/02/2017,1,Green Chilly,2200,4000,3000,
