Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Belur,02/11/2017,1,Green Chilly,1666,1666,1666,
,05/11/2017,2,Green Chilly,1800,1800,1800,
,06/11/2017,1,Green Chilly,1801,1801,1801,
,16/11/2017,1,Green Chilly,1000,1000,1000,
,20/11/2017,1,Green Chilly,1800,1800,1800,
,23/11/2017,500,Green Chilly,2000,2000,2000,
,27/11/2017,1,Green Chilly,1000,1000,1000,
,30/11/2017,1,Green Chilly,1000,1000,1000,
Binny Mill (F&V), Bangalore,02/11/2017,27,Green Chilly,2000,3000,2500,
,03/11/2017,19,Green Chilly,2000,2800,2400,
,04/11/2017,29,Green Chilly,2000,3000,2500,
,07/11/2017,29,Green Chilly,2000,3000,2500,
,08/11/2017,9,Green Chilly,2000,3000,2500,
,09/11/2017,23,Green Chilly,2500,3000,2800,
,10/11/2017,8,Green Chilly,2000,3000,2500,
,13/11/2017,29,Green Chilly,2000,2800,2400,
,14/11/2017,20,Green Chilly,2200,2800,2400,
,15/11/2017,29,Green Chilly,2200,3000,2500,
,16/11/2017,31,Green Chilly,2200,2800,2500,
,18/11/2017,33,Green Chilly,1600,2200,1800,
,20/11/2017,21,Green Chilly,2400,2800,2600,
,21/11/2017,28,Green Chilly,2000,2600,2300,
,22/11/2017,31,Green Chilly,2000,2800,2400,
,23/11/2017,28,Green Chilly,2300,3000,2800,
,24/11/2017,30,Green Chilly,2200,3000,2500,
,25/11/2017,23,Green Chilly,2200,3000,2600,
,27/11/2017,14,Green Chilly,2000,2600,2300,
,28/11/2017,19,Green Chilly,2000,2600,2300,
,29/11/2017,25,Green Chilly,2000,2600,2300,
,30/11/2017,36,Green Chilly,2000,2600,2300,
Chickkaballapura,10/11/2017,2,Green Chilly,1500,3500,2500,
Chikkamagalore,02/11/2017,10,Green Chilly,1909,2109,2009,
,03/11/2017,6,Green Chilly,1900,2100,2000,
,04/11/2017,6,Green Chilly,1963,2163,2063,
,07/11/2017,18,Green Chilly,1938,2138,2038,
,08/11/2017,4,Green Chilly,1923,2123,2023,
,09/11/2017,2,Green Chilly,2083,2083,2083,
,10/11/2017,3,Green Chilly,2677,2877,2777,
,13/11/2017,17,Green Chilly,1894,2094,1994,
,15/11/2017,8,Green Chilly,1912,2112,2012,
,16/11/2017,3,Green Chilly,1958,2158,2058,
,17/11/2017,6,Green Chilly,2221,2421,2321,
,18/11/2017,6,Green Chilly,1931,2131,2031,
,20/11/2017,11,Green Chilly,1917,2117,2017,
,21/11/2017,5,Green Chilly,1919,2119,2019,
,22/11/2017,11,Green Chilly,1918,2118,2018,
,23/11/2017,3,Green Chilly,1968,2168,2068,
,24/11/2017,9,Green Chilly,1900,2100,2000,
,25/11/2017,9,Green Chilly,1866,2066,1966,
,27/11/2017,5,Green Chilly,2307,2507,2407,
,28/11/2017,5,Green Chilly,1566,1766,1666,
,29/11/2017,7,Green Chilly,1869,2069,1969,
,30/11/2017,4,Green Chilly,1900,2100,2000,
Davangere,02/11/2017,3,Green Chilly,1500,1800,1650,
,03/11/2017,3,Green Chilly,1500,1900,1700,
,04/11/2017,3,Green Chilly,1500,1900,1700,
,07/11/2017,3,Green Chilly,1500,1800,1650,
,08/11/2017,3,Green Chilly,1600,1800,1700,
,09/11/2017,3,Green Chilly,1600,1800,1700,
,10/11/2017,3,Green Chilly,1500,2000,1750,
,14/11/2017,3,Green Chilly,2000,2500,2250,
,15/11/2017,3,Green Chilly,2000,2500,2250,
,16/11/2017,3,Green Chilly,1500,1800,1650,
,17/11/2017,3,Green Chilly,1500,2000,1750,
,18/11/2017,3,Green Chilly,2000,2200,2100,
,21/11/2017,3,Green Chilly,1500,1900,1700,
,22/11/2017,4,Green Chilly,800,1000,900,
,23/11/2017,3,Green Chilly,600,1200,900,
,24/11/2017,3,Green Chilly,600,1200,900,
,25/11/2017,3,Green Chilly,1500,1900,1700,
,28/11/2017,3,Green Chilly,1000,1500,1250,
,29/11/2017,3,Green Chilly,1000,1200,1100,
,30/11/2017,2,Green Chilly,1000,1200,1100,
Doddaballa Pur,02/11/2017,1,Green Chilly,2000,3000,2500,
,04/11/2017,1,Green Chilly,2000,3000,2500,
,07/11/2017,1,Green Chilly,2000,3000,2500,
,08/11/2017,1,Green Chilly,2000,3000,2500,
,09/11/2017,1,Green Chilly,2000,3000,2500,
,10/11/2017,1,Green Chilly,2000,3000,2500,
,13/11/2017,1,Green Chilly,2000,3000,2500,
,14/11/2017,1,Green Chilly,2000,3000,2500,
,15/11/2017,1,Green Chilly,2000,3000,2500,
,20/11/2017,1,Green Chilly,2000,3000,2500,
,22/11/2017,1,Green Chilly,2000,3000,2500,
,24/11/2017,1,Green Chilly,2000,3000,2500,
,27/11/2017,1,Green Chilly,2000,3000,2500,
,30/11/2017,1,Green Chilly,2000,3000,2500,
Hassan,02/11/2017,5,Green Chilly,1000,1500,1500,
,08/11/2017,12,Green Chilly,2000,3000,3000,
,15/11/2017,4,Green Chilly,2500,2500,2500,
,21/11/2017,1,Green Chilly,2000,2000,2000,
