Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Arasikere,27/10/2018,1,Green Chilly,1500,1500,1500,
Bagepalli,01/10/2018,1,Green Chilly,1600,2200,1840,
Belur,04/10/2018,2,Green Chilly,1000,1000,1000,
,08/10/2018,4,Green Chilly,1000,1000,1000,
,11/10/2018,1,Green Chilly,1000,1000,1000,
,12/10/2018,1,Green Chilly,1000,1000,1000,
,18/10/2018,1,Green Chilly,1000,1000,1000,
,22/10/2018,1,Green Chilly,1400,1400,1400,
,25/10/2018,4,Green Chilly,1000,1500,1000,
Binny Mill (F&V), Bangalore,01/10/2018,39,Green Chilly,1600,2200,1800,
,03/10/2018,40,Green Chilly,1600,2200,1800,
,05/10/2018,40,Green Chilly,1400,2000,1800,
,06/10/2018,20,Green Chilly,1800,2400,2200,
,10/10/2018,31,Green Chilly,1200,1500,1300,
,11/10/2018,22,Green Chilly,1200,1500,1300,
,12/10/2018,20,Green Chilly,1200,1500,1300,
,15/10/2018,31,Green Chilly,1300,1600,1500,
,16/10/2018,22,Green Chilly,1400,1800,1600,
,22/10/2018,21,Green Chilly,2000,3000,2500,
,23/10/2018,31,Green Chilly,2000,3200,2600,
,25/10/2018,26,Green Chilly,2000,3000,2500,
,26/10/2018,30,Green Chilly,2000,2500,2200,
,27/10/2018,32,Green Chilly,2000,2800,2400,
,29/10/2018,28,Green Chilly,1600,2200,1800,
,30/10/2018,27,Green Chilly,1600,2000,1800,
,31/10/2018,35,Green Chilly,1600,2000,1800,
Channapatana,03/10/2018,1,Green Chilly,1000,1400,1200,
,05/10/2018,1,Green Chilly,1000,1200,1100,
,06/10/2018,1,Green Chilly,1000,1200,1100,
,08/10/2018,1,Green Chilly,1000,1300,1100,
,17/10/2018,1,Green Chilly,1100,1500,1300,
,29/10/2018,1,Green Chilly,1000,1300,1100,
Channarayapatna,03/10/2018,2,Green Chilly,1500,1500,1500,
Chickkaballapura,01/10/2018,3,Green Chilly,1200,1800,1500,
,03/10/2018,5,Green Chilly,1400,1800,1600,
,05/10/2018,2,Green Chilly,1700,2400,2050,
,06/10/2018,3,Green Chilly,1400,1800,1600,
