Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Arakalgud,29/01/2020,2,Green Chilly,1000,1000,1000,
Arasikere,01/01/2020,2,Green Chilly,1000,1000,1000,
,09/01/2020,1,Green Chilly,1000,1000,1000,
,28/01/2020,1,Green Chilly,1100,2000,1100,
,31/01/2020,1,Green Chilly,1800,1800,1800,
Bagepalli,29/01/2020,2,Green Chilly,2000,3500,2840,
Belur,29/01/2020,47,Green Chilly,2200,2200,2200,
Binny Mill (F&V), Bangalore,01/01/2020,22,Green Chilly,2000,3000,2500,
,02/01/2020,23,Green Chilly,2200,2800,2600,
,03/01/2020,12,Green Chilly,2400,3000,2800,
,04/01/2020,22,Green Chilly,2500,3000,2800,
,06/01/2020,34,Green Chilly,2000,2600,2300,
,07/01/2020,22,Green Chilly,2000,2600,2300,
,08/01/2020,18,Green Chilly,2200,2600,2400,
,09/01/2020,21,Green Chilly,2600,2800,2700,
,10/01/2020,21,Green Chilly,1800,2200,2000,
,13/01/2020,30,Green Chilly,2000,2800,2400,
,14/01/2020,21,Green Chilly,2500,3200,2800,
,16/01/2020,33,Green Chilly,2600,3400,3000,
,17/01/2020,11,Green Chilly,2000,2500,2300,
,18/01/2020,19,Green Chilly,2000,2600,2300,
,20/01/2020,21,Green Chilly,2000,2500,2300,
,21/01/2020,15,Green Chilly,1600,2000,1800,
,22/01/2020,21,Green Chilly,1400,2000,1600,
,23/01/2020,24,Green Chilly,1400,2000,1800,
,24/01/2020,25,Green Chilly,1400,2000,1800,
,27/01/2020,34,Green Chilly,2000,2800,2400,
,28/01/2020,23,Green Chilly,2200,2800,2500,
,29/01/2020,24,Green Chilly,1400,2000,1800,
,30/01/2020,26,Green Chilly,2200,2800,2500,
,31/01/2020,21,Green Chilly,2200,2800,2500,
Channarayapatna,02/01/2020,1,Green Chilly,3000,3000,3000,
,03/01/2020,3,Green Chilly,2211,2211,2211,
,04/01/2020,1,Green Chilly,2250,2250,2250,
,18/01/2020,1,Green Chilly,1500,1500,1500,
,20/01/2020,1,Green Chilly,1501,1501,1501,
,30/01/2020,1,Green Chilly,3000,3000,3000,
Chickkaballapura,01/01/2020,1,Green Chilly,1000,2000,1500,
,04/01/2020,2,Green Chilly,1400,2500,2000,
,05/01/2020,3,Green Chilly,1500,2500,2000,
,06/01/2020,3,Green Chilly,1500,2500,1800,
,07/01/2020,3,Green Chilly,1500,2500,1800,
,08/01/2020,2,Green Chilly,1500,3000,2000,
,10/01/2020,2,Green Chilly,1500,2800,2000,
,11/01/2020,2,Green Chilly,1500,2500,2000,
,12/01/2020,2,Green Chilly,1500,2500,2000,
,13/01/2020,2,Green Chilly,1800,3000,2000,
,14/01/2020,3,Green Chilly,1400,2500,2000,
,17/01/2020,8,Green Chilly,1500,1800,1700,
,18/01/2020,3,Green Chilly,1500,1800,1600,
,19/01/2020,3,Green Chilly,1800,3000,2500,
,20/01/2020,2,Green Chilly,1800,2800,2400,
,21/01/2020,3,Green Chilly,1520,2500,2000,
,22/01/2020,3,Green Chilly,1500,2500,2000,
,24/01/2020,1,Green Chilly,1500,2500,2000,
,25/01/2020,1,Green Chilly,1500,2000,1800,
,26/01/2020,2,Green Chilly,1800,2500,2200,
,27/01/2020,2,Green Chilly,1800,2500,2000,
,28/01/2020,1,Green Chilly,1800,2500,2000,
,29/01/2020,2,Green Chilly,1800,3000,2500,
,31/01/2020,4,Green Chilly,1800,3000,2500,
Chikkamagalore,01/01/2020,6,Green Chilly,2000,2222,2031,
,02/01/2020,3,Green Chilly,2000,2000,2000,
,03/01/2020,3,Green Chilly,2000,2500,2222,
,04/01/2020,6,Green Chilly,1818,2000,1930,
,06/01/2020,9,Green Chilly,1875,2273,2079,
,07/01/2020,3,Green Chilly,1923,2000,1935,
,08/01/2020,4,Green Chilly,2000,2500,2195,
,09/01/2020,3,Green Chilly,2000,2174,2143,
,10/01/2020,6,Green Chilly,1563,2000,1842,
,13/01/2020,14,Green Chilly,1500,2083,1818,
,14/01/2020,2,Green Chilly,1944,1944,1944,
,16/01/2020,8,Green Chilly,1500,2000,1835,
