Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Bagepalli,01/07/2020,3,Green Chilly,2000,3000,2615,
,02/07/2020,2,Green Chilly,2000,2400,2150,
,04/07/2020,4,Green Chilly,2400,3000,2500,
,06/07/2020,3,Green Chilly,2500,3500,3000,
,07/07/2020,4,Green Chilly,2500,3200,2950,
,08/07/2020,2,Green Chilly,1900,2200,2000,
Bangarpet,21/07/2020,1,Green Chilly,2500,3500,3000,
Belur,01/07/2020,33,Green Chilly,1500,1600,1500,
,02/07/2020,33,Green Chilly,1500,1500,1500,
,03/07/2020,22,Green Chilly,1400,1500,1400,
,04/07/2020,14,Green Chilly,1500,1500,1500,
,06/07/2020,19,Green Chilly,1800,1800,1800,
,07/07/2020,24,Green Chilly,1250,1875,1800,
,08/07/2020,18,Green Chilly,1600,1700,1600,
,09/07/2020,13,Green Chilly,1600,1600,1600,
,10/07/2020,10,Green Chilly,1400,1500,1400,
,11/07/2020,4,Green Chilly,2000,2000,2000,
,12/07/2020,4,Green Chilly,2000,2000,2000,
,13/07/2020,8,Green Chilly,1500,1500,1500,
,14/07/2020,23,Green Chilly,1500,1500,1500,
,15/07/2020,13,Green Chilly,1500,1600,1500,
,16/07/2020,5,Green Chilly,1500,1600,1500,
,17/07/2020,3,Green Chilly,1600,1600,1600,
,19/07/2020,8,Green Chilly,1500,1800,1500,
,20/07/2020,7,Green Chilly,1500,1600,1500,
,21/07/2020,18,Green Chilly,1300,1500,1300,
,22/07/2020,13,Green Chilly,1000,1300,1200,
,23/07/2020,5,Green Chilly,1000,1000,1000,
,24/07/2020,2,Green Chilly,1000,1000,1000,
,26/07/2020,2,Green Chilly,1000,1000,1000,
,27/07/2020,6,Green Chilly,1000,1000,1000,
,28/07/2020,2,Green Chilly,1200,1200,1200,
,29/07/2020,2,Green Chilly,1000,1000,1000,
Binny Mill (F&V), Bangalore,01/07/2020,14,Green Chilly,2500,2800,2600,
,02/07/2020,54,Green Chilly,2000,2600,2300,
,03/07/2020,30,Green Chilly,1700,2000,1800,
,04/07/2020,25,Green Chilly,2500,2800,2700,
,06/07/2020,11,Green Chilly,4800,5000,4900,
,07/07/2020,6,Green Chilly,3000,3200,3100,
,08/07/2020,25,Green Chilly,2600,2800,2600,
,09/07/2020,18,Green Chilly,2200,2400,2300,
,10/07/2020,20,Green Chilly,1800,2000,1900,
,13/07/2020,20,Green Chilly,2600,2800,2700,
,14/07/2020,83,Green Chilly,2800,3000,2900,
,15/07/2020,63,Green Chilly,2600,2800,2700,
,16/07/2020,56,Green Chilly,2600,2800,2700,
,17/07/2020,3,Green Chilly,2200,2400,2300,
,18/07/2020,43,Green Chilly,2400,2600,2500,
,20/07/2020,44,Green Chilly,2400,2600,2500,
,21/07/2020,40,Green Chilly,1600,1800,1700,
,22/07/2020,59,Green Chilly,2200,2400,2300,
,23/07/2020,37,Green Chilly,1400,1600,1500,
,24/07/2020,41,Green Chilly,1600,1800,1700,
,27/07/2020,22,Green Chilly,2400,2600,2500,
,28/07/2020,41,Green Chilly,2400,2600,2500,
,29/07/2020,44,Green Chilly,2800,3000,2900,
,30/07/2020,30,Green Chilly,2400,2600,2500,
,31/07/2020,5,Green Chilly,2200,2400,2300,
Chamaraj Nagar,02/07/2020,1,Green Chilly,1500,1700,1500,
,08/07/2020,1,Green Chilly,1200,2000,1200,
,09/07/2020,1,Green Chilly,1200,2000,1200,
,10/07/2020,1,Green Chilly,1500,2000,1500,
,17/07/2020,1,Green Chilly,1500,1800,1500,
,20/07/2020,1,Green Chilly,1300,1700,1300,
,21/07/2020,1,Green Chilly,1200,1700,1200,
,23/07/2020,1,Green Chilly,1500,1800,1500,
,24/07/2020,1,Green Chilly,1500,2000,1500,
,25/07/2020,1,Green Chilly,1500,1800,1500,
,27/07/2020,1,Green Chilly,1800,2600,1800,
Channarayapatna,04/07/2020,1,Green Chilly,2000,2000,2000,
,15/07/2020,1,Green Chilly,2500,2500,2500,
Chickkaballapura,01/07/2020,9,Green Chilly,2500,3500,3000,
,03/07/2020,6,Green Chilly,2500,3000,2750,
,04/07/2020,2,Green Chilly,2000,2500,2250,
,06/07/2020,1,Green Chilly,3000,4000,3500,
,07/07/2020,8,Green Chilly,2500,3000,2750,
,08/07/2020,3,Green Chilly,2500,2600,2550,
,10/07/2020,4,Green Chilly,2300,2500,2400,
,11/07/2020,5,Green Chilly,2400,2500,2450,
,13/07/2020,4,Green Chilly,2000,2500,2250,
,14/07/2020,6,Green Chilly,2000,2400,2200,
,15/07/2020,8,Green Chilly,2000,2500,2250,
,16/07/2020,2,Green Chilly,2000,2500,2250,
,17/07/2020,4,Green Chilly,2400,3000,2700,
,18/07/2020,5,Green Chilly,2400,2500,2450,
,20/07/2020,3,Green Chilly,2400,2500,2450,
,21/07/2020,4,Green Chilly,2500,2900,2700,
,22/07/2020,7,Green Chilly,2400,2800,2600,
,23/07/2020,1,Green Chilly,2400,2600,2500,
,24/07/2020,4,Green Chilly,1800,2000,1900,
,25/07/2020,3,Green Chilly,2000,2800,2400,
,27/07/2020,5,Green Chilly,2500,3000,2750,
,28/07/2020,6,Green Chilly,2500,3000,2750,
,29/07/2020,5,Green Chilly,1800,2000,1900,
,30/07/2020,1,Green Chilly,2000,2500,2250,
,31/07/2020,2,Green Chilly,2000,2400,2200,
Chikkamagalore,01/07/2020,3,Green Chilly,1800,2200,2000,
,02/07/2020,2,Green Chilly,1482,1818,1782,
,03/07/2020,6,Green Chilly,1562,1562,1562,
,04/07/2020,3,Green Chilly,1428,1428,1428,
,06/07/2020,21,Green Chilly,1482,1882,1682,
,07/07/2020,6,Green Chilly,2163,2463,2363,
,08/07/2020,9,Green Chilly,1520,1920,1720,
,09/07/2020,6,Green Chilly,1829,2029,1929,
,10/07/2020,13,Green Chilly,1823,2123,1923,
,13/07/2020,17,Green Chilly,1656,2056,1856,
,14/07/2020,13,Green Chilly,1689,2089,1889,
,15/07/2020,15,Green Chilly,1685,1885,1785,
,16/07/2020,6,Green Chilly,1624,1824,1724,
