Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Bhopal(F&V),02/04/2016,32.7,Other,1500,2500,2000,
,05/04/2016,10,Other,1500,2500,2000,
,10/04/2016,36,Other,1500,2500,2000,
,11/04/2016,16.2,Other,2000,3000,2500,
,12/04/2016,15.6, ,NR,NR,NR,
,13/04/2016,27.1,Other,2000,3000,2500,
,14/04/2016,15.5,Other,1500,2500,2000,
,15/04/2016,24.6,Other,2000,3000,2500,
,16/04/2016,26,Other,1500,2500,2000,
,17/04/2016,11,Other,2000,3000,2500,
,18/04/2016,11.5,Other,1500,2500,2000,
,20/04/2016,18,Other,2000,3000,2500,
,22/04/2016,39.1,Other,2000,4000,3000,
,23/04/2016,29,Other,2000,4000,3000,
,25/04/2016,15,Other,1000,1500,1200,
,26/04/2016,33,Other,1500,2500,2000,
,27/04/2016,33,Other,1000,2000,1500,
,28/04/2016,30.5,Other,1000,2000,1500,
,29/04/2016,21,Other,1500,2500,2000,
,30/04/2016,37.5,Other,2000,3000,2500,
Burhanpur(F&V),01/04/2016,0.4, ,NR,NR,NR,
,02/04/2016,0.3,Other,3000,5000,4000,
,03/04/2016,0.5,Other,3500,4500,4000,
,04/04/2016,0.4,Other,3800,4500,4000,
,05/04/2016,0.3,Other,5000,7000,6000,
,06/04/2016,0.4,Other,4000,6000,5000,
,07/04/2016,0.4, ,NR,NR,NR,
,08/04/2016,0.4,Other,3000,5000,4000,
,09/04/2016,0.5,Other,4000,6000,5000,
,10/04/2016,0.5,Other,3500,5000,4200,
,11/04/2016,0.2,Other,3500,5000,4000,
,12/04/2016,0.6,Other,3000,5000,4000,
,13/04/2016,0.5, ,NR,NR,NR,
,14/04/2016,0.3,Other,4000,6000,5000,
,15/04/2016,0.4,Other,4000,6000,5000,
,16/04/2016,0.2,Other,4000,7000,5000,
,17/04/2016,0.1,Other,5000,7000,6000,
,18/04/2016,0.2,Other,4000,7000,6000,
,19/04/2016,0.3,Other,4000,5000,4500,
,20/04/2016,0.4,Other,4000,6000,5000,
,21/04/2016,0.7,Other,3000,4500,3500,
,22/04/2016,0.4,Other,3000,4000,3500,
,23/04/2016,0.4,Other,3000,4000,3500,
,25/04/2016,0.3,Other,3000,4000,3500,
,26/04/2016,0.3,Other,2000,4000,3500,
