Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Betul,09/11/2016,0.1,Green Chilly,1500,1800,1650,
,18/11/2016,0.2,Green Chilly,1000,2000,1500,
,26/11/2016,1.7,Green Chilly,1400,1600,1550,
Bhopal(F&V),01/11/2016,10.5,Other,400,800,600,
,02/11/2016,34,Other,400,800,600,
,03/11/2016,94,Other,400,800,600,
,04/11/2016,17.2,Other,400,800,600,
,05/11/2016,68,Other,400,800,600,
,06/11/2016,26.8,Other,400,800,600,
,07/11/2016,30,Other,400,800,600,
,08/11/2016,56,Other,400,800,600,
,09/11/2016,25.5,Other,400,800,600,
,10/11/2016,53.5,Other,400,800,600,
,11/11/2016,18,Other,400,800,600,
,12/11/2016,57,Other,400,800,600,
,13/11/2016,50.9,Other,400,800,600,
,14/11/2016,33.9,Other,400,800,600,
,15/11/2016,34,Other,400,800,600,
,17/11/2016,50.5,Other,400,800,600,
,18/11/2016,56.5,Other,400,800,600,
,19/11/2016,70.5,Other,400,800,600,
,20/11/2016,33,Other,400,800,600,
,21/11/2016,28.9,Other,400,800,600,
,22/11/2016,30.5,Other,400,800,600,
,23/11/2016,43.5,Other,400,800,600,
,25/11/2016,47.7,Other,400,800,600,
,26/11/2016,23.7,Other,400,800,600,
,28/11/2016,17,Other,400,800,600,
,29/11/2016,34,Other,400,800,600,
,30/11/2016,23.5,Other,400,800,600,
Burhanpur(F&V),01/11/2016,1.2,Other,1000,1400,1200,
,02/11/2016,1,Other,1400,1800,1500,
,03/11/2016,1.1,Other,1400,2000,1800,
,04/11/2016,1,Other,1200,2000,1800,
,05/11/2016,1.4,Other,1400,2000,1800,
,06/11/2016,1.4,Other,1200,2000,1800,
,07/11/2016,0.6,Other,1000,1400,1200,
,08/11/2016,2.2,Other,600,1200,800,
,09/11/2016,1.4,Other,1400,1800,1600,
,10/11/2016,0.9,Other,800,1500,1000,
,11/11/2016,1.1,Other,800,1200,1000,
,12/11/2016,1.1,Other,800,1200,1000,
,13/11/2016,1.3,Other,800,1200,1000,
,14/11/2016,0.8,Other,800,1200,1000,
,15/11/2016,1.1,Other,800,1100,1000,
,16/11/2016,1,Other,1000,1600,1400,
,17/11/2016,0.8,Other,1000,1600,1400,
,18/11/2016,0.8,Other,900,1300,1100,
,19/11/2016,0.7,Other,800,1200,1000,
,20/11/2016,0.9,Other,1200,1600,1400,
,21/11/2016,1.4,Other,800,1200,1000,
,22/11/2016,0.8,Other,800,1500,1200,
,23/11/2016,0.9,Other,1000,1400,1200,
,24/11/2016,1.1,Other,600,1200,800,
,25/11/2016,0.8,Other,800,1200,1000,
,26/11/2016,0.8,Other,1000,1500,1200,
,27/11/2016,0.6,Other,1000,1400,1200,
,28/11/2016,0.4,Other,700,1000,800,
,29/11/2016,0.4,Other,500,1000,800,
,30/11/2016,1,Other,600,1000,800,
Chhindwara(F&V),01/11/2016,0.3,Other,600,800,700,
,02/11/2016,0.2,Other,600,800,700,
,03/11/2016,0.2,Other,600,800,700,
,04/11/2016,0.2,Other,600,800,700,
,07/11/2016,0.4,Other,1000,1200,1100,
,09/11/2016,0.2,Other,600,800,700,
,12/11/2016,0.2,Other,600,800,700,
,15/11/2016,0.8,Other,600,800,700,
,16/11/2016,0.2,Other,600,800,700,
,17/11/2016,0.6, ,NR,NR,NR,
,18/11/2016,0.3,Other,500,700,600,
,23/11/2016,0.2,Other,500,700,600,
,24/11/2016,0.1,Other,800,1000,900,
,25/11/2016,0.2,Other,1000,1200,1100,
,28/11/2016,1.4,Other,800,900,850,
,30/11/2016,0.2,Other,800,900,850,
Damoh(F&V),15/11/2016,1,Other,2000,2000,2000,
Dewas(F&V),01/11/2016,0.2,Other,800,1400,1100,
,02/11/2016,0.1,Other,700,1300,1000,
,03/11/2016,0.3,Other,600,1200,900,
,04/11/2016,0.3,Other,800,1200,1000,
,05/11/2016,0.1,Other,800,1200,1000,
,06/11/2016,0.1,Other,1000,1400,1200,
,07/11/2016,0.1,Other,1000,1400,1200,
,08/11/2016,0.1,Other,1000,1400,1200,
,09/11/2016,0.2,Other,1000,1400,1200,
,10/11/2016,0.1,Other,1000,1400,1200,
,11/11/2016,0.2,Other,1000,1600,1300,
,12/11/2016,0.2,Other,1000,1400,1200,
,13/11/2016,0.1,Other,1200,1600,1400,
,14/11/2016,0.2,Other,1000,1400,1200,
,15/11/2016,0.2,Other,800,1000,900,
,16/11/2016,0.3,Other,700,900,800,
,17/11/2016,0.5,Other,600,1000,800,
,18/11/2016,0.8,Other,700,1100,900,
,19/11/2016,0.3,Other,800,1200,1000,
,20/11/2016,0.4,Other,800,1200,1000,
,21/11/2016,0.2,Other,1000,1200,1100,
,22/11/2016,0.3,Other,1000,1200,1100,
,23/11/2016,0.2,Other,1000,1200,1100,
,24/11/2016,0.4,Other,1000,1200,1100,
,25/11/2016,0.5,Other,800,1200,1000,
,26/11/2016,0.6,Other,700,1300,1000,
,29/11/2016,0.3,Other,1000,1400,1200,
,30/11/2016,0.4,Other,1200,1600,1400,
Haatpipliya,01/11/2016,0.04,Green Chilly,2000,2500,2200,
,02/11/2016,0.07,Green Chilly,1500,2500,2000,
,03/11/2016,0.04,Green Chilly,2000,3000,2500,
,04/11/2016,0.07,Green Chilly,1500,2500,2200,
,05/11/2016,0.07,Green Chilly,1500,2500,2000,
,06/11/2016,0.07,Green Chilly,1500,2500,2000,
,07/11/2016,0.13,Green Chilly,1000,2000,1500,
,08/11/2016,0.07,Green Chilly,1200,2000,1500,
,09/11/2016,0.11,Green Chilly,1000,2000,1400,
,10/11/2016,0.07,Green Chilly,1200,1600,1500,
,11/11/2016,0.17,Green Chilly,1000,1500,1200,
,12/11/2016,0.1,Green Chilly,800,1200,1000,
,13/11/2016,0.1,Green Chilly,800,1300,1000,
,14/11/2016,0.08,Green Chilly,1000,1500,1200,
,15/11/2016,0.08,Green Chilly,1000,1800,1300,
,16/11/2016,0.07,Green Chilly,1000,2000,1400,
,17/11/2016,0.09,Green Chilly,1000,1800,1600,
,18/11/2016,0.11,Green Chilly,1000,1600,1400,
,19/11/2016,0.17,Green Chilly,600,1000,900,
,20/11/2016,0.11,Green Chilly,500,1000,900,
,21/11/2016,0.15,Green Chilly,600,1200,1000,
,22/11/2016,0.15,Green Chilly,700,1200,1000,
,23/11/2016,0.17,Green Chilly,600,1000,900,
,24/11/2016,0.15,Green Chilly,500,1500,1000,
,25/11/2016,0.13,Green Chilly,600,1400,1200,
,26/11/2016,0.13,Green Chilly,600,1500,1200,
