Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Betul,02/06/2017,0.3,Green Chilly,2500,3800,2800,
,03/06/2017,5,Green Chilly,3500,4500,4000,
,06/06/2017,2.9,Green Chilly,2000,3500,3000,
,10/06/2017,1,Green Chilly,2000,3500,3000,
,13/06/2017,0.4,Green Chilly,2500,3500,3000,
,14/06/2017,2.2,Green Chilly,2800,3200,3000,
,15/06/2017,1.9,Green Chilly,2500,3500,3200,
,16/06/2017,0.2,Green Chilly,2200,2800,2500,
,18/06/2017,1,Green Chilly,2500,3500,3000,
,20/06/2017,0.3,Green Chilly,3200,3600,3400,
,24/06/2017,0.3,Green Chilly,3000,3500,3200,
,25/06/2017,0.5,Green Chilly,2500,3500,3000,
,27/06/2017,3,Green Chilly,3000,4000,3500,
Bhopal(F&V),01/06/2017,34,Other,600,1000,800,
,02/06/2017,24.5,Other,600,1000,800,
,03/06/2017,19,Other,600,1000,800,
,04/06/2017,38.7,Other,600,1000,800,
,05/06/2017,74.5,Other,600,1000,800,
,06/06/2017,4,Other,600,1000,800,
,08/06/2017,28.5,Other,600,1000,800,
,09/06/2017,4.9,Other,600,1000,800,
,10/06/2017,40,Other,600,1000,800,
,12/06/2017,71.5,Other,600,1000,800,
,13/06/2017,54.5,Other,600,1000,800,
,15/06/2017,33,Other,600,1000,800,
,16/06/2017,16,Other,600,1000,800,
,17/06/2017,15,Other,400,800,600,
,18/06/2017,38.6,Other,600,1000,800,
,19/06/2017,20.5,Other,600,1000,800,
,20/06/2017,22.5,Other,600,1000,800,
,21/06/2017,47.5,Other,600,1000,800,
,23/06/2017,20,Other,600,1000,800,
,25/06/2017,13.5,Other,800,1200,1000,
,26/06/2017,25,Other,800,1200,1000,
,27/06/2017,22,Other,1000,1500,1200,
,28/06/2017,31,Other,1000,2000,1500,
,29/06/2017,11,Other,2000,3000,2500,
Burhanpur(F&V),01/06/2017,0.7,Other,1000,2100,1500,
,02/06/2017,0.9,Other,1400,2000,1500,
,03/06/2017,0.2,Other,1500,3000,2000,
,04/06/2017,1,Other,1000,2500,2000,
,05/06/2017,0.4,Other,1000,3000,2000,
,06/06/2017,0.8,Other,1000,2500,2000,
,07/06/2017,0.9,Other,1200,1700,1500,
,08/06/2017,0.5,Other,1000,2000,1500,
,09/06/2017,0.4,Other,1000,2500,2000,
,11/06/2017,0.6,Other,1000,2000,1500,
,12/06/2017,0.5,Other,1000,2000,1600,
,13/06/2017,1.5,Other,1000,2500,2000,
,14/06/2017,0.6,Other,2000,6000,2500,
,15/06/2017,0.5,Other,2000,3000,2500,
,16/06/2017,0.8,Other,1500,3000,2500,
,17/06/2017,0.3,Other,1000,2500,2000,
,18/06/2017,0.5,Other,1500,3000,2000,
,19/06/2017,0.6,Other,1000,3000,2000,
,20/06/2017,0.4,Other,1000,3000,2000,
,21/06/2017,0.6,Other,1500,3000,2500,
,22/06/2017,0.3,Other,1500,3000,2000,
,23/06/2017,0.3,Other,1500,3000,2500,
,24/06/2017,0.4,Other,1400,2000,1500,
,25/06/2017,0.2,Other,1000,2500,1500,
,27/06/2017,0.7,Other,1300,3000,2000,
,28/06/2017,0.4,Other,1500,2000,1600,
,29/06/2017,0.8,Other,1600,2500,2000,
,30/06/2017,0.9,Other,1000,2500,1500,
Chhindwara(F&V),01/06/2017,5.6,Other,700,800,750,
,02/06/2017,2,Other,600,800,700,
,03/06/2017,2.7,Other,1200,1500,1350,
,04/06/2017,3.1,Other,1200,1500,1350,
,05/06/2017,1.6,Other,700,900,800,
,06/06/2017,1.6,Other,800,1000,900,
,07/06/2017,2.2,Other,800,1000,900,
,08/06/2017,1.7,Other,700,900,800,
,09/06/2017,2.5,Other,800,1000,900,
,10/06/2017,3,Other,1000,1200,1100,
,11/06/2017,2.2,Other,1000,1200,1100,
,13/06/2017,1.5,Other,800,1000,900,
,14/06/2017,2.5,Other,800,1000,900,
,15/06/2017,0.3,Other,800,1000,900,
,16/06/2017,1.2,Other,800,1000,900,
,17/06/2017,3.1,Other,1000,1300,1150,
,18/06/2017,1.3,Other,1000,1500,1250,
,20/06/2017,0.6,Other,800,1000,900,
,21/06/2017,0.7,Other,800,1000,900,
,22/06/2017,0.3,Other,800,1000,900,
,23/06/2017,1.4,Other,800,1000,900,
,24/06/2017,0.3,Other,900,1100,1000,
,25/06/2017,0.9,Other,900,1100,1000,
,27/06/2017,0.5,Other,800,1000,900,
,28/06/2017,0.1,Other,900,1100,1000,
,29/06/2017,0.1,Other,800,1000,900,
,30/06/2017,0.1,Other,1000,1200,1100,
Damoh(F&V),02/06/2017,1,Other,1000,1500,1500,
,20/06/2017,1,Other,1000,1000,1000,
Dewas(F&V),06/06/2017,0.2,Other,3050,4000,3525,
,08/06/2017,0.1,Other,2850,3650,3250,
,09/06/2017,0.1,Other,3050,3550,3300,
,10/06/2017,0.1,Other,3250,3850,3550,
,11/06/2017,0.1,Other,3050,3650,3350,
,12/06/2017,0.1,Other,2850,3250,3050,
,13/06/2017,0.1,Other,2900,3500,3200,
,14/06/2017,0.1,Other,2850,3350,3100,
,15/06/2017,0.1,Other,3000,3600,3300,
,16/06/2017,0.1,Other,3250,4050,3650,
,17/06/2017,0.1,Other,3000,3600,3300,
,18/06/2017,0.1,Other,3200,3500,3350,
,19/06/2017,0.1,Other,3000,3400,3200,
,20/06/2017,0.1,Other,3250,3850,3550,
,21/06/2017,0.1,Other,3250,3850,3550,
,22/06/2017,0.1,Other,3500,4000,3750,
,23/06/2017,0.1,Other,3000,4000,3500,
,24/06/2017,0.1,Other,3250,3850,3550,
,28/06/2017,0.1,Other,3250,3950,3600,
Harda(F&V),11/06/2017,1,Other,2500,3500,3000,
,12/06/2017,1.5,Other,1500,2500,2200,
,13/06/2017,1.6,Other,2000,2600,2500,
,14/06/2017,1.7,Other,1500,2200,2000,
,15/06/2017,1,Other,1500,3500,2500,
,16/06/2017,1.9,Other,2000,4000,3000,
,17/06/2017,1.8,Other,2500,4200,4000,
,18/06/2017,1.2,Other,3000,5000,4000,
,19/06/2017,1.2,Other,3200,5000,4200,
,20/06/2017,1.4,Other,2500,3000,2800,
,21/06/2017,1.6,Other,2500,3600,3000,
,22/06/2017,1.5,Other,2000,2400,2300,
,23/06/2017,1.2,Other,2800,3800,3400,
,24/06/2017,2.1,Other,2500,3600,3000,
,26/06/2017,1,Other,1500,2200,2000,
Indore(F&V),01/06/2017,42.5,Green Chilly,600,2500,2000,
,10/06/2017,7,Green Chilly,3000,4000,3500,
,11/06/2017,41.5,Green Chilly,800,2000,1500,
,13/06/2017,87.7,Green Chilly,500,1500,1000,
,14/06/2017,43.4,Green Chilly,800,1200,800,
,15/06/2017,98.6,Green Chilly,800,1500,1200,
,16/06/2017,22.5,Green Chilly,1500,4000,3000,
,17/06/2017,32.5,Green Chilly,1500,4000,3000,
,19/06/2017,39,Green Chilly,1500,3000,2500,
,21/06/2017,10,Green Chilly,2000,4000,3000,
