Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Ahmednagar,01/10/2017,7,Other,1000,3200,2100,
,03/10/2017,8,Other,1000,3500,2250,
,10/10/2017,5,Other,1000,3500,2250,
,14/10/2017,5,Other,1000,3500,2250,
,15/10/2017,6,Other,1000,3000,2000,
,16/10/2017,7,Other,1000,3000,2000,
,24/10/2017,5,Other,1000,3500,2250,
,29/10/2017,5,Other,1000,3000,2000,
,30/10/2017,6,Other,1000,3000,2000,
,31/10/2017,5,Other,1000,3000,2000,
Amrawati(Frui & Veg. Market),01/10/2017,1,Other,2600,2800,2700,
,02/10/2017,1,Other,2400,2800,2600,
,03/10/2017,1,Other,2800,3000,2900,
,04/10/2017,1,Other,2800,3000,2900,
,06/10/2017,1,Other,2200,2600,2400,
,07/10/2017,1,Other,3500,4000,3750,
,08/10/2017,1,Other,3000,3500,3250,
,09/10/2017,1,Other,3200,3500,3350,
,10/10/2017,1,Other,3200,3400,3300,
,11/10/2017,1,Other,3000,3200,3100,
,13/10/2017,1,Other,3000,3200,3100,
,14/10/2017,1,Other,3000,3200,3100,
,16/10/2017,1,Other,2600,3000,2800,
,17/10/2017,1,Other,2400,2600,2500,
,18/10/2017,1,Other,2400,2600,2500,
,20/10/2017,1,Other,2400,2600,2500,
,21/10/2017,1,Other,2800,3000,2900,
,22/10/2017,1,Other,2800,3000,2900,
,23/10/2017,1,Other,2800,3000,2900,
,24/10/2017,1,Other,3000,3200,3100,
,25/10/2017,1,Other,3000,3200,3100,
,28/10/2017,1,Other,3000,3200,3100,
,29/10/2017,1,Other,2800,3000,2900,
,30/10/2017,1,Other,3000,3500,3250,
,31/10/2017,1,Other,3000,3500,3250,
Aurangabad,01/10/2017,5,Other,2500,3500,3000,
,02/10/2017,3,Other,2500,3000,2750,
,03/10/2017,4,Other,3000,3500,3250,
,04/10/2017,6,Other,2500,3500,3000,
,05/10/2017,7,Other,2200,3400,2800,
,07/10/2017,3,Other,2500,4500,3500,
,08/10/2017,9,Other,2500,4500,3500,
,09/10/2017,10,Other,1600,2500,2050,
,10/10/2017,12,Other,1500,2800,2150,
,11/10/2017,13,Other,1400,2500,1950,
,12/10/2017,11,Other,2000,2500,2250,
,14/10/2017,11,Other,2000,2500,2250,
,15/10/2017,9,Other,1600,2500,2050,
,16/10/2017,4,Other,1600,2500,2050,
,17/10/2017,5,Other,2200,2800,2500,
,18/10/2017,3,Other,2000,2600,2300,
,19/10/2017,8,Other,2500,3000,2750,
,21/10/2017,2,Other,2800,3000,2900,
,22/10/2017,5,Other,3500,3700,3600,
,23/10/2017,4,Other,3000,3200,3100,
,24/10/2017,5,Other,3000,3500,3250,
,25/10/2017,7,Other,2500,3200,2850,
,26/10/2017,5,Other,2600,3200,2900,
,28/10/2017,9,Other,2000,2500,2250,
,29/10/2017,4,Other,2000,2500,2250,
,30/10/2017,6,Other,2200,2700,2450,
,31/10/2017,5,Other,1500,2700,2100,
