Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Ahmednagar,01/12/2018,8,Other,1000,2500,1750,
,02/12/2018,9,Other,1000,1900,1450,
,03/12/2018,5,Other,1000,3000,2000,
,04/12/2018,9,Other,1000,3000,2000,
,06/12/2018,7,Other,1000,3000,2000,
,07/12/2018,7,Other,1000,3000,2000,
,08/12/2018,7,Other,1000,3000,2000,
,09/12/2018,7,Other,1000,3000,2000,
,13/12/2018,7,Other,1000,3000,2000,
,15/12/2018,4,Other,1000,3000,2000,
,16/12/2018,3,Other,1000,2500,1750,
,17/12/2018,3,Other,1000,2500,1750,
,18/12/2018,4,Other,1000,2000,1500,
,20/12/2018,5,Other,1500,3500,2500,
,21/12/2018,3,Other,2000,3200,2600,
,22/12/2018,3,Other,1500,2500,2000,
,23/12/2018,4,Other,1500,3500,2500,
,24/12/2018,5,Other,1500,3500,2500,
,27/12/2018,6,Other,1500,3500,2500,
Amrawati(Frui & Veg. Market),01/12/2018,1,Other,1800,2000,1900,
,02/12/2018,1,Other,1800,2000,1900,
,03/12/2018,1,Other,1000,1200,1100,
,04/12/2018,1,Other,1000,1200,1100,
,05/12/2018,2,Other,1000,1200,1100,
,07/12/2018,1,Other,1000,1200,1100,
,08/12/2018,2,Other,800,1000,900,
,09/12/2018,1,Other,1000,1200,1100,
,10/12/2018,1,Other,1000,1200,1100,
,11/12/2018,1,Other,1000,1200,1100,
,12/12/2018,1,Other,1600,1700,1650,
,14/12/2018,1,Other,1200,1400,1300,
,15/12/2018,1,Other,1800,2000,1900,
,18/12/2018,1,Other,1200,1400,1300,
,21/12/2018,1,Other,1400,1600,1500,
,24/12/2018,1,Other,1400,1600,1500,
,25/12/2018,1,Other,1400,1600,1500,
,26/12/2018,1,Other,1400,1600,1500,
,28/12/2018,1,Other,1800,2000,1900,
Aurangabad,01/12/2018,15,Other,1000,1200,1100,
,02/12/2018,13,Other,1000,1100,1050,
,03/12/2018,14,Other,1000,1600,1300,
,04/12/2018,15,Other,1000,1400,1200,
,05/12/2018,8,Other,1000,1400,1200,
