Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Ahmednagar,14/01/2018,12,Other,1800,3200,3000,
,19/01/2018,7,Other,2000,4500,3500,
,21/01/2018,8,Other,2200,3800,3500,
,28/01/2018,6,Other,3000,4500,4000,
,30/01/2018,6,Other,3000,4500,3500,
Amrawati(Frui & Veg. Market),01/01/2018,1,Other,2800,3000,2900,
,03/01/2018,1,Other,2600,2800,2700,
,04/01/2018,1,Other,3000,3200,3100,
,05/01/2018,1,Other,3400,3600,3500,
,06/01/2018,1,Other,3000,3200,3100,
,08/01/2018,1,Other,3000,3200,3100,
,09/01/2018,1,Other,2600,2800,2700,
,10/01/2018,1,Other,3000,3200,3100,
,12/01/2018,1,Other,3000,3200,3100,
,13/01/2018,1,Other,2800,3000,2900,
,15/01/2018,1,Other,2800,3000,2900,
,16/01/2018,1,Other,2800,3000,2900,
,17/01/2018,1,Other,2600,2800,2700,
,19/01/2018,1,Other,3200,3400,3300,
,20/01/2018,1,Other,3200,3400,3300,
,22/01/2018,1,Other,3200,3400,3300,
,23/01/2018,1,Other,2400,2800,2600,
,24/01/2018,1,Other,2400,2600,2500,
,27/01/2018,1,Other,2400,2600,2500,
,29/01/2018,1,Other,3000,3200,3100,
,30/01/2018,1,Other,3000,3200,3100,
Aurangabad,01/01/2018,3,Other,2000,3500,2750,
,02/01/2018,3,Other,3000,3500,3250,
,03/01/2018,4,Other,3000,3600,3300,
,04/01/2018,3,Other,3500,5000,4250,
,06/01/2018,2,Other,2500,5000,3750,
,07/01/2018,3,Other,2500,3000,2750,
,08/01/2018,3,Other,3000,3500,3250,
,09/01/2018,5,Other,3200,3700,3450,
,10/01/2018,6,Other,3200,4000,3600,
,11/01/2018,5,Other,3500,5000,4250,
,13/01/2018,5,Other,3500,5000,4250,
,14/01/2018,2,Other,3000,4000,3500,
,15/01/2018,4,Other,2500,4000,3250,
,17/01/2018,5,Other,4000,5000,4500,
,18/01/2018,5,Other,2500,5000,3750,
,20/01/2018,9,Other,3500,5000,4250,
,21/01/2018,7,Other,3000,5000,4000,
,22/01/2018,6,Other,3000,4500,3750,
,23/01/2018,7,Other,3500,5000,4250,
,24/01/2018,10,Other,2800,4500,3650,
,25/01/2018,11,Other,1500,3500,2500,
,27/01/2018,9,Other,3500,5000,4250,
,28/01/2018,6,Other,1500,3500,2500,
,29/01/2018,6,Other,2000,3500,2750,
,30/01/2018,6,Other,2000,4000,3000,
,31/01/2018,7,Other,3500,4000,3750,
Bhiwapur,02/01/2018,12,Other,1550,1560,1555,
,06/01/2018,21,Other,1601,1635,1625,
,09/01/2018,13,Other,1601,1611,1605,
,16/01/2018,2,Other,1821,1831,1826,
,30/01/2018,23,Other,1981,2001,1991,
Chandrapur(Ganjwad),01/01/2018,5,Other,1500,2500,1800,
,02/01/2018,3,Other,1500,2500,1800,
,03/01/2018,5,Other,1500,2000,1700,
,04/01/2018,5,Other,1000,2000,1600,
,05/01/2018,5,Other,1200,2000,1500,
