Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Amrawati(Frui & Veg. Market),01/04/2020,39,Other,1600,1800,1700,
,03/04/2020,42,Other,1800,2000,1900,
,04/04/2020,17,Other,1800,2000,1900,
Aurangabad,01/04/2020,3,Other,1000,1600,1300,
,02/04/2020,1,Other,1500,2000,1750,
,04/04/2020,13,Other,1000,1500,1250,
,05/04/2020,9,Other,1000,1400,1200,
,07/04/2020,8,Other,1000,1500,1250,
,16/04/2020,18,Other,1000,1400,1200,
,18/04/2020,15,Other,800,1600,1200,
,19/04/2020,13,Other,1000,1400,1200,
,29/04/2020,3,Other,1200,2000,1600,
Chandrapur(Ganjwad),01/04/2020,6,Other,600,1500,1000,
,03/04/2020,5,Other,1000,1500,1200,
,10/04/2020,5,Other,1000,1500,1200,
,18/04/2020,20,Other,1000,1500,1200,
Islampur,14/04/2020,1,Other,1500,3100,3000,
,17/04/2020,1,Other,3000,4100,4000,
,18/04/2020,1,Other,2000,2600,2500,
,19/04/2020,2,Other,2000,3100,3000,
Jalgaon,01/04/2020,2,Other,800,1200,1000,
,02/04/2020,1,Other,1000,2000,1500,
,03/04/2020,9,Other,800,1000,900,
,04/04/2020,8,Other,500,1500,1000,
,06/04/2020,9,Other,500,1500,1000,
,07/04/2020,11,Other,500,1600,1000,
,18/04/2020,18,Other,700,1500,1100,
Kalmeshwar,01/04/2020,2,Other,2650,3000,2840,
,02/04/2020,2,Other,2345,2600,2555,
,03/04/2020,2,Other,1465,1900,1825,
,04/04/2020,1,Other,1545,1800,1725,
,05/04/2020,2,Other,1435,1800,1725,
,07/04/2020,2,Other,1325,1800,1695,
,18/04/2020,2,Other,2525,2800,2735,
,19/04/2020,2,Other,1855,2200,2115,
Kamthi,02/04/2020,1,Other,2500,3000,2800,
,04/04/2020,1,Other,2500,3000,2800,
,06/04/2020,1,Other,2500,3000,2800,
Karad,01/04/2020,5,Other,2000,3000,3000,
,02/04/2020,6,Other,4500,5500,5500,
,04/04/2020,5,Other,3000,3500,3500,
,05/04/2020,4,Other,1500,2500,2500,
,06/04/2020,2,Other,1000,1200,1200,
,07/04/2020,4,Other,2000,2500,2500,
,18/04/2020,6,Other,1300,1700,1700,
,19/04/2020,4,Other,1500,2000,2000,
Khed,24/04/2020,1,Other,3000,4000,3500,
Khed(Chakan),02/04/2020,7,Other,2000,3500,3000,
Kolhapur,01/04/2020,20,Other,500,2000,1250,
,02/04/2020,20,Other,1000,1800,1400,
,04/04/2020,18,Other,2500,3500,3000,
,05/04/2020,12,Other,2000,3000,2500,
,06/04/2020,26,Other,1000,3000,2000,
,07/04/2020,20,Other,1000,2500,1750,
,18/04/2020,18,Other,1500,3000,2250,
,19/04/2020,21,Other,1000,2500,1750,
,26/04/2020,34,Other,1000,2500,1750,
,30/04/2020,20,Other,1000,2500,1750,
Maanachar,30/04/2020,3,Other,800,2000,1650,
Mangal Wedha,01/04/2020,2,Other,1500,2200,2000,
