Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Angul,01/01/2016,1,Other,2000,2800,2500,
,02/01/2016,1, ,NR,NR,NR,
,03/01/2016,2.2,Other,2000,3000,2500,
,04/01/2016,1,Other,2000,3000,2500,
,05/01/2016,1,Other,2000,3000,2500,
,06/01/2016,1,Other,2000,3000,2500,
,07/01/2016,1.2,Other,2000,3000,2500,
,08/01/2016,1,Other,2500,3500,3000,
,09/01/2016,1,Other,2500,3500,3000,
,10/01/2016,2,Other,2000,3000,2500,
,11/01/2016,1,Other,2500,3000,2800,
,12/01/2016,1, ,NR,NR,NR,
,13/01/2016,2,Other,2000,3000,2500,
,14/01/2016,2,Other,2000,3000,2500,
,17/01/2016,2.3,Other,2000,3000,2500,
,18/01/2016,1.5,Other,2000,4000,3000,
,19/01/2016,2,Other,2000,4000,3000,
,20/01/2016,1, ,NR,NR,NR,
,21/01/2016,1.5,Other,2000,4000,3000,
,23/01/2016,1,Other,2000,4000,3000,
,24/01/2016,2.1,Other,2500,3500,3000,
,25/01/2016,1,Other,2000,4000,3000,
,26/01/2016,1, ,NR,NR,NR,
,27/01/2016,1,Other,3000,5000,4000,
,28/01/2016,1, ,NR,NR,NR,
,29/01/2016,1, ,NR,NR,NR,
,31/01/2016,1,Other,2000,4000,3000,
Angul(Jarapada),04/01/2016,1,Other,2000,3000,2500,
,06/01/2016,1,Other,2000,3000,2500,
,08/01/2016,1,Other,2000,3000,2500,
,11/01/2016,1,Other,2000,3000,2500,
,12/01/2016,1, ,NR,NR,NR,
,13/01/2016,1,Other,2500,3500,3000,
,14/01/2016,1.2,Other,2500,3500,3000,
,15/01/2016,1.2,Other,2500,3500,3000,
,18/01/2016,1.2,Other,2000,4000,3000,
,19/01/2016,1.2,Other,2000,4000,3000,
,20/01/2016,1, ,NR,NR,NR,
,21/01/2016,1,Other,2000,4000,3000,
,22/01/2016,1,Other,2000,4000,3000,
,25/01/2016,2, ,NR,NR,NR,
,26/01/2016,1, ,NR,NR,NR,
,27/01/2016,1.2, ,NR,NR,NR,
,28/01/2016,1.2, ,NR,NR,NR,
,29/01/2016,1, ,NR,NR,NR,
Attabira,04/01/2016,0.2,Other,3500,4000,4000,
,11/01/2016,0.4,Other,3500,4000,4000,
,18/01/2016,0.4,Other,3500,4000,4000,
,25/01/2016,0.6, ,NR,NR,NR,
Bampada,06/01/2016,4,Other,3000,4000,3500,
,10/01/2016,5,Other,3500,4000,3800,
,16/01/2016,3,Other,3000,3600,3400,
,17/01/2016,3,Other,3000,3400,3200,
Banki,01/01/2016,0.5,Other,3500,4000,3800,
,02/01/2016,0.5,Other,2800,3000,2900,
,04/01/2016,0.5,Other,3500,4000,3800,
,05/01/2016,0.5,Other,3500,4000,3800,
,08/01/2016,0.5,Other,3500,4000,3800,
,09/01/2016,0.5,Other,3500,4000,3800,
,12/01/2016,0.5,Other,3500,4000,3800,
,16/01/2016,0.5,Other,3500,4000,3800,
,17/01/2016,0.5,Other,3500,4000,3800,
,18/01/2016,0.5,Other,3500,4000,3800,
,19/01/2016,0.5,Other,3500,4000,3800,
,22/01/2016,0.5,Other,3500,4000,3800,
,23/01/2016,0.5,Other,3500,4000,3800,
,30/01/2016,0.5,Other,3500,4000,3800,
,31/01/2016,0.5, ,NR,NR,NR,
Barikpur,16/01/2016,4,Other,3000,4000,3400,
,30/01/2016,4, ,NR,NR,NR,
,31/01/2016,4, ,NR,NR,NR,
Baripada,03/01/2016,0.3,Green Chilly,4000,5500,5000,
,24/01/2016,0.3,Green Chilly,5000,6000,5500,
,28/01/2016,0.4,Green Chilly,5000,6500,6000,
,31/01/2016,0.3,Green Chilly,5000,6500,6000,
Bhadrak,18/01/2016,4.8,Other,2000,3000,2500,
,20/01/2016,4.3,Other,1500,2500,2000,
Bhawanipatna,05/01/2016,0.1,Other,4000,5000,4000,
Birmaharajpur,01/01/2016,0.6, ,NR,NR,NR,
,02/01/2016,0.5, ,NR,NR,NR,
,03/01/2016,0.5, ,NR,NR,NR,
,04/01/2016,0.6, ,NR,NR,NR,
,05/01/2016,0.7, ,NR,NR,NR,
,06/01/2016,0.5, ,NR,NR,NR,
,07/01/2016,0.6, ,NR,NR,NR,
,08/01/2016,0.7, ,NR,NR,NR,
,09/01/2016,0.8, ,NR,NR,NR,
,10/01/2016,0.6, ,NR,NR,NR,
,11/01/2016,0.5, ,NR,NR,NR,
,12/01/2016,0.8, ,NR,NR,NR,
,13/01/2016,0.6, ,NR,NR,NR,
,14/01/2016,0.4, ,NR,NR,NR,
,15/01/2016,1, ,NR,NR,NR,
,16/01/2016,0.4, ,NR,NR,NR,
,17/01/2016,0.5, ,NR,NR,NR,
,18/01/2016,0.6, ,NR,NR,NR,
,19/01/2016,0.8, ,NR,NR,NR,
,20/01/2016,0.6, ,NR,NR,NR,
,23/01/2016,0.5, ,NR,NR,NR,
,24/01/2016,0.5, ,NR,NR,NR,
,25/01/2016,0.5, ,NR,NR,NR,
,26/01/2016,0.6, ,NR,NR,NR,
,27/01/2016,0.8, ,NR,NR,NR,
,29/01/2016,0.6, ,NR,NR,NR,
,30/01/2016,0.5, ,NR,NR,NR,
,31/01/2016,0.4, ,NR,NR,NR,
Bolangir,01/01/2016,1.2,Other,2800,3000,2800,
,02/01/2016,1,Other,3800,4000,3800,
,04/01/2016,1.5, ,NR,NR,NR,
,05/01/2016,1.2,Other,3800,4000,3800,
,06/01/2016,1.5,Other,3800,4000,3800,
,07/01/2016,1.5, ,NR,NR,NR,
,08/01/2016,1.2,Other,3800,4000,3800,
,11/01/2016,1.2,Other,3800,4000,3800,
,12/01/2016,1.5,Other,3800,4000,3800,
,13/01/2016,1.2,Other,3800,4000,3800,
,14/01/2016,1,Other,3800,4000,3800,
,16/01/2016,1,Other,3800,4000,3800,
,18/01/2016,1.2,Other,4800,5000,4800,
,19/01/2016,1,Other,3800,4000,3800,
,20/01/2016,1.2,Other,3800,4000,3800,
,22/01/2016,1.2,Other,3800,4000,3800,
,25/01/2016,1,Other,3800,4000,3800,
,27/01/2016,1.2,Other,3800,4000,3800,
,29/01/2016,1,Other,3800,4000,3800,
,30/01/2016,1.5,Other,5800,6000,5800,
Dhenkanal,01/01/2016,0.06,Other,5000,6000,5500,
,02/01/2016,0.05,Other,5000,6000,5500,
,03/01/2016,0.07,Other,5000,6000,5500,
,04/01/2016,0.06,Other,6000,7000,6500,
,05/01/2016,0.06,Other,6000,7000,6500,
,08/01/2016,0.07,Other,6000,7000,6500,
,09/01/2016,0.06,Other,5000,6000,5500,
,10/01/2016,0.07,Other,6000,7000,6500,
,11/01/2016,0.07,Other,6000,7000,6500,
,12/01/2016,0.06,Other,6000,7000,6500,
,13/01/2016,0.06,Other,6000,7000,6500,
,14/01/2016,0.06,Other,6000,7000,6500,
,15/01/2016,0.07, ,NR,NR,NR,
,16/01/2016,0.07,Other,4000,5000,4500,
,17/01/2016,0.06,Other,5000,6000,5500,
,18/01/2016,0.05,Other,5000,7000,6000,
,19/01/2016,0.07,Other,5000,6000,5500,
,20/01/2016,0.07,Other,5000,6000,5500,
,21/01/2016,0.06,Other,4000,5000,4500,
,22/01/2016,0.06,Other,5000,6000,5500,
,23/01/2016,0.06,Other,5000,6000,5500,
,24/01/2016,0.07,Other,5000,6000,5500,
,25/01/2016,0.05,Other,5000,6000,5500,
,26/01/2016,0.06,Other,5000,6000,5500,
,27/01/2016,0.06,Other,5000,6000,5500,
,28/01/2016,0.07,Other,5000,6000,5500,
,29/01/2016,0.06, ,NR,NR,NR,
,31/01/2016,0.06,Other,5000,6000,5500,
Digapahandi,01/01/2016,6,Other,4800,5000,4900,
,09/01/2016,5,Other,4800,5000,4900,
,14/01/2016,5,Other,4600,5000,4800,
,27/01/2016,6,Other,5000,5500,5200,
Dungurapalli,04/01/2016,0.12,Other,2200,2300,2300,
,08/01/2016,0.08,Other,3500,3600,3550,
,13/01/2016,0.08,Other,2500,2650,2600,
Godabhaga,07/01/2016,0.02, ,NR,NR,NR,
,14/01/2016,0.04,Other,3500,4000,4000,
,21/01/2016,0.02,Other,4000,5000,4500,
,28/01/2016,0.03,Other,600,800,700,
Jajpur,01/01/2016,0.36,Other,3000,4000,3500,
,02/01/2016,0.3,Other,4000,5000,4500,
,03/01/2016,0.4,Other,3000,4000,3500,
,04/01/2016,0.32,Other,3000,4000,3500,
,05/01/2016,0.26,Other,2500,3500,3000,
,06/01/2016,0.4, ,NR,NR,NR,
,07/01/2016,0.3, ,NR,NR,NR,
,08/01/2016,0.4,Other,3000,4000,3500,
,09/01/2016,0.4,Other,3000,4000,3500,
,10/01/2016,0.35,Other,2500,3500,3000,
,11/01/2016,0.35,Other,2500,4000,3000,
,12/01/2016,0.4,Other,2500,3500,3000,
,13/01/2016,0.37,Other,3000,4000,3500,
,14/01/2016,0.4,Other,2500,3000,3000,
,15/01/2016,0.35,Other,3000,3500,3500,
,16/01/2016,0.2, ,NR,NR,NR,
,17/01/2016,0.4,Other,2500,3000,3000,
,18/01/2016,0.36,Other,3000,4000,3500,
,19/01/2016,0.26,Other,3000,4000,3500,
,20/01/2016,0.33, ,NR,NR,NR,
,21/01/2016,0.33, ,NR,NR,NR,
,22/01/2016,0.4,Other,3000,3500,3500,
,23/01/2016,0.38,Other,3000,3500,3500,
,24/01/2016,0.3,Other,3000,3500,3500,
,25/01/2016,0.38,Other,2500,3500,3000,
,26/01/2016,0.3,Other,3000,3500,3500,
,27/01/2016,0.5, ,NR,NR,NR,
,28/01/2016,0.35,Other,2000,3000,2500,
,29/01/2016,0.33,Other,2500,3000,3000,
,30/01/2016,0.37,Other,2500,3000,3000,
,31/01/2016,0.45,Other,2500,3000,3000,
Jhumpura,03/01/2016,0.2,Other,3500,4500,4000,
,06/01/2016,0.15,Other,5000,6000,5500,
,10/01/2016,0.2,Other,2500,4000,3500,
,13/01/2016,0.2,Other,3500,4500,4000,
,17/01/2016,0.2,Other,3000,3500,3500,
,20/01/2016,0.2, ,NR,NR,NR,
,24/01/2016,0.1,Other,2500,3500,3000,
,27/01/2016,0.3, ,NR,NR,NR,
,31/01/2016,0.18,Other,2500,3000,3000,
Junagarh,25/01/2016,0.06,Other,3800,4000,4000,
Kamakhyanagar,01/01/2016,0.5, ,NR,NR,NR,
,02/01/2016,0.5,Green Chilly,9000,10500,10000,
,03/01/2016,0.5,Green Chilly,9000,10500,10000,
,04/01/2016,0.4,Green Chilly,9000,10500,10000,
,05/01/2016,0.5,Green Chilly,9000,10500,10000,
,06/01/2016,0.4,Green Chilly,9000,10500,10000,
,07/01/2016,0.5, ,NR,NR,NR,
,08/01/2016,0.5, ,NR,NR,NR,
,09/01/2016,0.4,Green Chilly,9000,10500,10000,
,10/01/2016,0.4,Green Chilly,9000,10500,10000,
,11/01/2016,3,Green Chilly,9000,10500,10000,
,12/01/2016,0.4,Green Chilly,9000,10500,10000,
,13/01/2016,0.5,Green Chilly,9000,10500,10000,
,14/01/2016,0.5,Green Chilly,9000,10500,10000,
,15/01/2016,0.5,Green Chilly,9000,10500,10000,
,16/01/2016,0.5,Green Chilly,9000,10500,10000,
,17/01/2016,0.5,Green Chilly,9000,10500,10000,
,18/01/2016,1,Green Chilly,9000,10500,10000,
,19/01/2016,0.5,Green Chilly,9000,10500,10000,
,20/01/2016,0.5,Green Chilly,9000,10500,10000,
,21/01/2016,0.4,Green Chilly,9000,10500,10000,
,22/01/2016,0.4,Green Chilly,9000,10500,10000,
,23/01/2016,0.5, ,NR,NR,NR,
,24/01/2016,0.4, ,NR,NR,NR,
,25/01/2016,5, ,NR,NR,NR,
,26/01/2016,0.4, ,NR,NR,NR,
,27/01/2016,0.5, ,NR,NR,NR,
,28/01/2016,0.5,Green Chilly,9000,10500,10000,
,29/01/2016,0.4,Green Chilly,9000,10500,10000,
,30/01/2016,0.4, ,NR,NR,NR,
Khariar,01/01/2016,0.1,Green Chilly,4000,4500,4500,
,03/01/2016,0.15,Green Chilly,4000,4500,4500,
,06/01/2016,0.3,Green Chilly,4000,4500,4500,
,07/01/2016,0.5,Green Chilly,3500,4000,4000,
,08/01/2016,0.15, ,NR,NR,NR,
,10/01/2016,0.2,Green Chilly,4000,4000,4000,
,11/01/2016,0.1,Green Chilly,3500,4000,4000,
,12/01/2016,0.15,Green Chilly,4000,4500,4500,
,13/01/2016,0.3,Green Chilly,3500,4000,3500,
,14/01/2016,0.1,Green Chilly,6000,6500,6500,
,15/01/2016,0.03,Green Chilly,6000,6500,6000,
,18/01/2016,0.03,Green Chilly,4500,5000,5000,
,24/01/2016,0.04,Green Chilly,6000,6500,6500,
,25/01/2016,0.05,Green Chilly,6000,6500,6500,
,26/01/2016,0.05,Green Chilly,5000,5500,5000,
,27/01/2016,0.05,Green Chilly,6000,6500,6500,
,29/01/2016,0.15,Green Chilly,6000,6500,6500,
Khariar Road,02/01/2016,0.05,Green Chilly,4500,5000,5000,
,04/01/2016,0.1,Green Chilly,4000,4500,4500,
,05/01/2016,0.2,Green Chilly,4000,5000,4500,
,06/01/2016,0.2, ,NR,NR,NR,
,07/01/2016,0.15, ,NR,NR,NR,
,10/01/2016,0.15,Green Chilly,4500,5000,5000,
,11/01/2016,0.25,Green Chilly,4000,4000,4000,
,12/01/2016,0.2,Green Chilly,4000,4500,4500,
,13/01/2016,0.15,Green Chilly,4000,4000,4000,
,14/01/2016,0.2,Green Chilly,4000,4500,4500,
,17/01/2016,0.05,Green Chilly,4500,4500,4500,
,18/01/2016,0.02,Green Chilly,4000,4500,4500,
,19/01/2016,0.05,Green Chilly,4000,4500,4000,
,23/01/2016,0.02,Green Chilly,4500,5000,5000,
,24/01/2016,0.03,Green Chilly,5000,5000,5000,
,26/01/2016,0.1,Green Chilly,5000,5000,5000,
,30/01/2016,0.1,Green Chilly,4000,4500,4500,
,31/01/2016,0.2, ,NR,NR,NR,
Koraput,13/01/2016,12,Other,2000,2100,2050,
,18/01/2016,6,Other,2200,2400,2300,
,28/01/2016,14,Other,2500,2700,2600,
Koraput(Semilguda),02/01/2016,6,Other,2300,2340,2320,
,25/01/2016,8,Other,2500,2600,2550,
,30/01/2016,5, ,NR,NR,NR,
Kuchinda,01/01/2016,0.07, ,NR,NR,NR,
,04/01/2016,0.07, ,NR,NR,NR,
,05/01/2016,0.07, ,NR,NR,NR,
,12/01/2016,0.08, ,NR,NR,NR,
,13/01/2016,0.06, ,NR,NR,NR,
,14/01/2016,0.12, ,NR,NR,NR,
,15/01/2016,0.12, ,NR,NR,NR,
,18/01/2016,0.06, ,NR,NR,NR,
,20/01/2016,0.08, ,NR,NR,NR,
,21/01/2016,0.08, ,NR,NR,NR,
,25/01/2016,0.12, ,NR,NR,NR,
,26/01/2016,0.03, ,NR,NR,NR,
,28/01/2016,0.09, ,NR,NR,NR,
,29/01/2016,0.09, ,NR,NR,NR,
Malkanagiri,07/01/2016,0.54,Other,4000,4200,4100,
,08/01/2016,0.33,Other,4000,4200,4100,
,12/01/2016,0.63,Other,4000,4200,4100,
Malkangiri(Korakunda),04/01/2016,0.32,Other,4000,4200,4100,
,07/01/2016,0.32,Other,4000,4200,4100,
,08/01/2016,0.24,Other,4000,4200,4100,
,09/01/2016,0.35,Other,4000,4200,4100,
,10/01/2016,0.2,Other,4000,4200,4100,
,11/01/2016,0.24,Other,4000,4200,4100,
,12/01/2016,0.64,Other,4000,4220,4100,
,13/01/2016,0.33,Other,4000,4200,4100,
,15/01/2016,0.28,Other,4000,4200,4100,
Mottagaon,01/01/2016,0.05,Other,6000,6800,6500,
,02/01/2016,0.06,Other,6000,7000,6500,
,04/01/2016,0.06,Other,6000,7000,6500,
,08/01/2016,0.07,Other,5000,6000,5500,
,09/01/2016,0.06,Other,5000,6000,5500,
,10/01/2016,0.05,Other,5000,6000,5500,
,11/01/2016,0.07,Other,6000,7000,6500,
,12/01/2016,0.06,Other,6000,7000,6500,
,13/01/2016,0.07, ,NR,NR,NR,
,14/01/2016,0.05, ,NR,NR,NR,
,15/01/2016,0.05, ,NR,NR,NR,
,16/01/2016,0.05, ,NR,NR,NR,
,17/01/2016,0.06, ,NR,NR,NR,
,18/01/2016,0.07,Other,4000,5000,4500,
,21/01/2016,0.06,Other,4000,6000,5000,
,22/01/2016,0.06,Other,5000,6000,5500,
