Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Angul,01/07/2016,1,Other,4000,6000,5000,
,03/07/2016,1,Other,4000,6000,5000,
,06/07/2016,1,Other,4000,6000,5000,
,08/07/2016,1,Other,4000,6000,5000,
,09/07/2016,1,Other,4000,6000,5000,
,17/07/2016,2,Other,4000,6000,5000,
,19/07/2016,1,Other,4000,6000,5000,
,20/07/2016,1.2,Other,4000,6000,5000,
,21/07/2016,2,Other,4000,6000,5000,
,23/07/2016,2.3,Other,4000,6000,5000,
,24/07/2016,2.5,Other,4000,6000,5000,
Angul(Jarapada),11/07/2016,1,Other,4000,6000,5000,
Attabira,11/07/2016,0.6,Other,5000,6000,6000,
,18/07/2016,0.7,Other,3500,4000,4000,
,25/07/2016,0.7,Other,6000,7000,7000,
Bampada,16/07/2016,3,Other,6000,7000,6500,
Banki,02/07/2016,0.5,Other,3500,4000,3800,
Baripada,03/07/2016,0.3,Green Chilly,6000,7500,7000,
,10/07/2016,0.3,Green Chilly,6000,7000,6500,
,14/07/2016,0.2,Green Chilly,6000,7000,6500,
,17/07/2016,0.3,Green Chilly,6000,7500,7000,
,21/07/2016,0.2,Green Chilly,6000,7500,7000,
,24/07/2016,0.3,Green Chilly,6000,8500,7000,
,28/07/2016,0.3,Green Chilly,6500,8000,7000,
,31/07/2016,0.2,Green Chilly,8000,12000,9500,
Bhawanipatna,05/07/2016,0.2,Other,10000,13000,10000,
,21/07/2016,0.25,Other,15000,20000,20000,
Birmaharajpur,19/07/2016,0.2,Other,120,130,130,
,20/07/2016,0.2,Other,120,150,130,
,21/07/2016,0.25,Other,130,150,130,
,22/07/2016,0.2,Other,120,140,130,
,23/07/2016,0.2,Other,120,140,120,
,24/07/2016,0.22,Other,130,150,140,
,25/07/2016,0.22,Other,120,150,140,
,26/07/2016,0.23,Other,130,140,140,
,27/07/2016,0.2,Other,120,150,140,
,28/07/2016,0.25,Other,140,160,150,
,29/07/2016,0.28,Other,130,160,150,
,30/07/2016,0.25,Other,120,140,130,
,31/07/2016,0.25,Other,120,140,130,
Bolangir,01/07/2016,0.6,Other,7800,8000,7800,
,04/07/2016,0.7,Other,6800,7000,6800,
,05/07/2016,0.8,Other,6800,7000,6800,
,08/07/2016,0.8,Other,7500,8000,7500,
,11/07/2016,0.5,Other,6800,7000,6800,
,12/07/2016,0.6,Other,7500,8000,7500,
,13/07/2016,0.4,Other,6500,7000,6500,
,25/07/2016,0.5,Other,7800,8000,7800,
,26/07/2016,0.4,Other,7800,8000,7800,
,27/07/2016,0.4,Other,11500,12000,11500,
,28/07/2016,0.5,Other,18000,18500,18000,
Dhenkanal,01/07/2016,0.05,Other,6000,7000,6500,
,02/07/2016,0.06,Other,8000,9500,9000,
,03/07/2016,0.05,Other,5000,6000,5500,
,04/07/2016,0.06,Other,5000,6000,5500,
,05/07/2016,0.06,Other,8000,9000,8500,
,07/07/2016,0.07,Other,8000,9000,9000,
,08/07/2016,0.07,Other,8000,9000,8500,
,09/07/2016,0.06,Other,7000,8500,8000,
,10/07/2016,0.05,Other,7500,8500,8000,
,11/07/2016,0.07,Other,7000,8000,7500,
,12/07/2016,0.06,Other,6000,7000,6500,
,13/07/2016,0.06,Other,6000,7000,6500,
,14/07/2016,0.07,Other,6000,7000,6500,
,15/07/2016,0.07,Other,7000,8000,7500,
,16/07/2016,0.07,Other,5000,6000,5500,
,17/07/2016,0.07,Other,6000,7000,6500,
,18/07/2016,0.06,Other,6000,7000,6500,
,19/07/2016,0.06,Other,6000,7000,6500,
,20/07/2016,0.05,Other,6000,7000,6500,
,21/07/2016,0.06,Other,6000,7000,6500,
,22/07/2016,0.06,Other,6000,7000,6500,
,23/07/2016,0.05,Other,5000,6000,5500,
,24/07/2016,0.06,Other,9000,12000,10000,
,25/07/2016,0.06,Other,9000,12000,10000,
,27/07/2016,0.05,Other,10000,12000,11000,
,28/07/2016,0.07,Other,10000,13000,12000,
Digapahandi,01/07/2016,6,Other,5000,6000,5500,
,09/07/2016,6,Other,4600,5000,4800,
,12/07/2016,4,Other,4000,5000,4500,
,15/07/2016,6,Other,5000,6000,5500,
,26/07/2016,5,Other,5000,5500,5200,
Godabhaga,06/07/2016,0.02,Other,9000,10000,9000,
,14/07/2016,0.02,Other,9000,10000,9000,
,21/07/2016,0.03,Other,9000,12000,10000,
,28/07/2016,0.02,Other,12000,14000,13000,
Jajpur,01/07/2016,0.33,Other,4000,5000,4500,
,02/07/2016,0.3,Other,5000,6000,5500,
,03/07/2016,0.5,Other,6000,7000,6500,
,04/07/2016,0.3,Other,5000,6000,5500,
