Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Angul(Jarapada),03/06/2017,2,Other,2000,4000,3000,
Attabira,05/06/2017,0.2,Other,5000,6000,5000,
,12/06/2017,0.4,Other,3500,4000,4000,
,19/06/2017,0.4,Other,3000,3500,3500,
Bampada,07/06/2017,4,Other,5000,5500,5200,
,11/06/2017,5,Other,5000,6000,5500,
Barikpur,02/06/2017,5,Other,4000,5000,4500,
,09/06/2017,3,Other,5000,5500,5200,
Baripada,01/06/2017,0.3,Green Chilly,4500,6000,5000,
,18/06/2017,0.4,Green Chilly,3500,5000,4000,
,29/06/2017,0.4,Green Chilly,4000,6500,5000,
Birmaharajpur,05/06/2017,0.15, ,NR,NR,NR,
,06/06/2017,0.25, ,NR,NR,NR,
,07/06/2017,0.1, ,NR,NR,NR,
,08/06/2017,0.15, ,NR,NR,NR,
,09/06/2017,0.1, ,NR,NR,NR,
,10/06/2017,0.1, ,NR,NR,NR,
,11/06/2017,0.15, ,NR,NR,NR,
,12/06/2017,0.15, ,NR,NR,NR,
,13/06/2017,0.25, ,NR,NR,NR,
,14/06/2017,0.1, ,NR,NR,NR,
,15/06/2017,0.15, ,NR,NR,NR,
,16/06/2017,0.25, ,NR,NR,NR,
,17/06/2017,0.1, ,NR,NR,NR,
,18/06/2017,0.15, ,NR,NR,NR,
,19/06/2017,0.25, ,NR,NR,NR,
,20/06/2017,0.1, ,NR,NR,NR,
,21/06/2017,0.1, ,NR,NR,NR,
,22/06/2017,0.1, ,NR,NR,NR,
,23/06/2017,0.25, ,NR,NR,NR,
,24/06/2017,0.1, ,NR,NR,NR,
,25/06/2017,0.1, ,NR,NR,NR,
,26/06/2017,0.06, ,NR,NR,NR,
,27/06/2017,0.15, ,NR,NR,NR,
,28/06/2017,0.15, ,NR,NR,NR,
,29/06/2017,0.1, ,NR,NR,NR,
,30/06/2017,0.25, ,NR,NR,NR,
Bolangir,01/06/2017,0.7,Other,3800,4000,3800,
,02/06/2017,0.8,Other,3800,4000,3800,
,03/06/2017,0.7,Other,3800,4000,3800,
,05/06/2017,0.5,Other,2800,3000,2800,
,06/06/2017,0.8,Other,3800,4000,3800,
,07/06/2017,0.7,Other,3800,4000,3800,
,08/06/2017,0.6,Other,2800,3000,2800,
,09/06/2017,0.8,Other,2800,3000,2800,
,12/06/2017,0.7,Other,2800,3000,2800,
,13/06/2017,0.5,Other,3800,4000,3800,
,16/06/2017,0.6,Other,3800,4000,3800,
,17/06/2017,0.7,Other,3800,4000,3800,
,19/06/2017,0.5,Other,3800,4000,3800,
,20/06/2017,0.6,Other,3800,4000,3800,
,21/06/2017,0.7,Other,3800,4000,3800,
,22/06/2017,0.4,Other,7800,8000,7800,
,23/06/2017,0.5,Other,5800,6000,5800,
,24/06/2017,0.6,Other,5800,6000,5800,
,27/06/2017,0.5,Other,7800,8000,7800,
,28/06/2017,0.6,Other,7800,8000,7800,
,30/06/2017,0.3,Other,5800,6000,5800,
Dhenkanal,01/06/2017,0.03,Other,3000,3500,3000,
,02/06/2017,0.04,Other,3000,3200,3000,
,04/06/2017,0.03,Other,3000,3500,3000,
,05/06/2017,0.04,Other,3000,3500,3000,
,06/06/2017,0.04,Other,3500,4000,4000,
,07/06/2017,0.03,Other,3000,3500,3000,
,08/06/2017,0.18,Other,3000,3500,3000,
,09/06/2017,0.04,Other,3000,3500,3000,
,10/06/2017,0.05,Other,3000,4000,3500,
,11/06/2017,0.04,Other,3000,4000,3500,
,12/06/2017,0.03,Other,3000,3500,3000,
,13/06/2017,0.04,Other,3000,3500,3000,
,14/06/2017,0.04,Other,3000,4000,3500,
,16/06/2017,0.05,Other,3000,3500,3500,
,17/06/2017,0.03,Other,3000,3600,3500,
,18/06/2017,0.04,Other,3000,4000,3500,
,19/06/2017,0.03,Other,3000,3500,3000,
,20/06/2017,0.04,Other,3000,4000,3500,
,21/06/2017,0.03,Other,3000,4000,3500,
,22/06/2017,0.03,Other,3000,3500,3000,
,23/06/2017,0.04,Other,3000,3500,3000,
,24/06/2017,0.04,Other,3000,3500,3000,
,25/06/2017,0.04,Other,3000,3500,3000,
,26/06/2017,0.04,Other,3000,3500,3000,
,27/06/2017,0.04,Other,3000,3500,3000,
,29/06/2017,0.04,Other,3000,4000,3500,
,30/06/2017,0.03,Other,3000,4000,3500,
Godabhaga,01/06/2017,0.03,Other,4000,5000,5000,
,08/06/2017,0.02,Other,5000,6000,5000,
,22/06/2017,0.03,Other,5000,6000,5000,
Jajpur,02/06/2017,0.6,Other,3500,4000,4000,
,03/06/2017,0.6,Other,3000,4000,4000,
,04/06/2017,0.5,Other,3000,4000,3500,
,05/06/2017,0.54,Other,3500,4000,3800,
,06/06/2017,0.53,Other,3000,4000,3500,
,07/06/2017,0.43,Other,3000,3500,3500,
,08/06/2017,0.46,Other,3500,4000,4000,
,09/06/2017,0.5,Other,4000,5000,4500,
,10/06/2017,0.6,Other,3500,4500,4000,
,11/06/2017,0.52,Other,4000,5000,4500,
,12/06/2017,0.47,Other,4000,5000,4500,
,13/06/2017,0.4,Other,4000,5000,4500,
,17/06/2017,0.52,Other,3000,4000,3500,
,18/06/2017,0.43,Other,4000,5000,5000,
,19/06/2017,0.3,Other,4000,4500,4500,
,20/06/2017,0.42,Other,5000,6000,5500,
,22/06/2017,0.3,Other,5000,6000,5500,
,23/06/2017,0.3,Other,5000,6000,6000,
,24/06/2017,0.6,Other,6000,8000,7000,
,25/06/2017,0.26,Other,6000,8000,7000,
,26/06/2017,0.2,Other,7000,8000,7500,
,27/06/2017,0.28,Other,6000,8000,7000,
,28/06/2017,0.31,Other,7000,8000,7500,
,29/06/2017,0.28,Other,6000,8000,7000,
,30/06/2017,0.35,Other,7000,8000,8000,
Jhumpura,04/06/2017,0.3,Green Chilly,3000,4000,3500,
,07/06/2017,0.2,Green Chilly,3000,4000,3500,
,11/06/2017,0.15,Green Chilly,3500,5000,4000,
,18/06/2017,0.22,Green Chilly,4000,5000,5000,
,21/06/2017,0.16,Green Chilly,5000,6000,6000,
,25/06/2017,0.1,Green Chilly,7000,8000,7500,
,28/06/2017,0.15,Green Chilly,7000,9000,8000,
Kamakhyanagar,01/06/2017,0.2,Green Chilly,5000,6000,5000,
,02/06/2017,0.2,Green Chilly,5000,6000,5000,
,03/06/2017,0.2,Green Chilly,5000,6000,5000,
,05/06/2017,2,Green Chilly,5000,6000,5000,
,06/06/2017,0.3,Green Chilly,5000,6000,5000,
,07/06/2017,0.2,Green Chilly,5000,6000,5000,
,08/06/2017,0.2,Green Chilly,5000,5500,5000,
,09/06/2017,0.2,Green Chilly,5000,6000,5000,
,12/06/2017,0.3,Green Chilly,5000,6000,5000,
,13/06/2017,0.2,Green Chilly,5000,5500,5000,
,16/06/2017,0.2,Green Chilly,5000,6000,5000,
,17/06/2017,0.3,Green Chilly,5000,6000,5000,
,19/06/2017,0.2,Green Chilly,5000,6000,5000,
,20/06/2017,0.3,Green Chilly,3000,3200,3000,
,21/06/2017,0.2,Green Chilly,5000,6000,5000,
,22/06/2017,0.3,Green Chilly,5000,6000,5000,
,23/06/2017,0.2,Green Chilly,4000,5000,5000,
,24/06/2017,0.3,Green Chilly,5000,6000,5000,
,27/06/2017,0.2,Green Chilly,4000,5000,4000,
,28/06/2017,0.2,Green Chilly,5000,6000,5000,
,29/06/2017,0.2,Green Chilly,5000,6000,5000,
,30/06/2017,0.3,Green Chilly,5000,6000,5000,
Kendupatna,01/06/2017,0.05,Other,750,750,750,
,25/06/2017,0.05,Other,750,750,750,
Kendupatna(Niali),25/06/2017,0.5,Other,800,800,800,
Kesinga,02/06/2017,1,Other,5500,6000,5800,
,07/06/2017,1,Other,6000,6500,6200,
,13/06/2017,1,Other,5000,6000,5500,
,21/06/2017,1,Other,5500,6000,5800,
,25/06/2017,1,Other,4000,5000,4500,
,30/06/2017,1,Other,6000,6500,6200,
Khariar,05/06/2017,1.5,Green Chilly,4000,4500,4500,
,06/06/2017,3,Green Chilly,4500,5000,5000,
,07/06/2017,1.5,Green Chilly,4500,5000,5000,
,08/06/2017,1,Green Chilly,5000,5000,5000,
,09/06/2017,1,Green Chilly,4500,5000,5000,
,11/06/2017,0.5,Green Chilly,4500,5000,5000,
,12/06/2017,0.5,Green Chilly,4500,5000,5000,
,18/06/2017,2,Green Chilly,4000,4500,4500,
,19/06/2017,2,Green Chilly,4500,5000,5000,
,20/06/2017,2,Green Chilly,5000,5500,5500,
,21/06/2017,1.5,Green Chilly,5500,6000,6000,
,22/06/2017,0.5,Green Chilly,7000,7500,7500,
,23/06/2017,1.2,Green Chilly,6000,6500,6500,
,28/06/2017,0.7,Green Chilly,6500,7000,7000,
,29/06/2017,0.2,Green Chilly,8000,9000,9000,
Khariar Road,05/06/2017,1.5,Green Chilly,4000,4500,4500,
,07/06/2017,1,Green Chilly,4500,5000,5000,
,08/06/2017,1.5,Green Chilly,4500,5000,5000,
,11/06/2017,0.5,Green Chilly,4500,5000,5000,
,13/06/2017,0.5,Green Chilly,4500,5000,5000,
,17/06/2017,1.2,Green Chilly,4500,5000,5000,
,18/06/2017,1,Green Chilly,4000,4500,4500,
,19/06/2017,1,Green Chilly,5000,6500,6500,
,20/06/2017,1,Green Chilly,5000,5500,5500,
,21/06/2017,1,Green Chilly,5000,5500,5500,
,24/06/2017,0.5,Green Chilly,5500,6000,6000,
,25/06/2017,1,Green Chilly,7000,7500,7500,
,26/06/2017,1.5,Green Chilly,6000,6500,6500,
,27/06/2017,0.8,Green Chilly,8000,8000,8000,
,28/06/2017,0.7,Green Chilly,6500,7000,7000,
,29/06/2017,0.7,Green Chilly,6000,6500,6500,
Koraput,16/06/2017,8,Other,3500,3700,3600,
Koraput(Semilguda),20/06/2017,5,Other,3500,3600,3550,
,21/06/2017,4,Other,3500,3700,3600,
Kuchinda,08/06/2017,0.05,Other,80,100,90,
,12/06/2017,0.05,Other,50,70,60,
Malkanagiri,01/06/2017,0.15,Other,4000,4200,4100,
,07/06/2017,0.13,Other,4000,4200,4100,
,12/06/2017,0.33,Other,4000,4200,4100,
,17/06/2017,0.33,Other,4000,4200,4100,
,23/06/2017,0.24,Other,4000,4200,4100,
,24/06/2017,0.25,Other,4000,4200,4100,
,27/06/2017,0.13,Other,4000,4200,4100,
,29/06/2017,0.24,Other,4100,4300,4200,
Malkangiri(Korakunda),01/06/2017,0.12,Other,4000,4200,4100,
,07/06/2017,0.13,Other,4000,4200,4100,
,22/06/2017,0.12,Other,4000,4200,4100,
,23/06/2017,0.13,Other,4000,4200,4100,
,27/06/2017,0.13,Other,4000,4200,4100,
Mottagaon,02/06/2017,0.05,Other,3000,4000,3500,
,03/06/2017,0.04,Other,2500,3000,3000,
,04/06/2017,0.03,Other,2500,3000,3000,
,05/06/2017,0.06,Other,2000,3000,2500,
,06/06/2017,0.03,Other,3000,3200,3000,
,07/06/2017,0.04,Other,3000,3500,3000,
,08/06/2017,0.05,Other,3000,3500,3000,
,09/06/2017,0.05,Other,3000,4000,3500,
,10/06/2017,0.05,Other,3000,3500,3000,
,11/06/2017,0.04,Other,3000,3500,3000,
,12/06/2017,0.04,Other,3000,4000,3500,
,14/06/2017,0.11,Other,3000,4000,3500,
,16/06/2017,0.04,Other,2500,3000,3000,
,17/06/2017,0.04,Other,2500,3500,3000,
,18/06/2017,0.03,Other,2500,3000,3000,
,19/06/2017,0.05,Other,3000,3500,3200,
,20/06/2017,0.04,Other,3000,3500,3000,
,21/06/2017,0.03,Other,3000,3500,3000,
,22/06/2017,0.03,Other,3000,4000,3500,
,23/06/2017,0.03,Other,3000,3500,3000,
,24/06/2017,0.04,Other,2500,3000,3000,
,25/06/2017,0.03,Other,3000,3500,3500,
,26/06/2017,0.06,Other,3000,4000,3500,
,27/06/2017,0.03,Other,3000,4000,3500,
,28/06/2017,0.03,Other,3000,4000,3500,
,29/06/2017,0.03,Other,3000,4000,3500,
Nilagiri,01/06/2017,2,Other,300,400,350,
,03/06/2017,3,Other,300,400,350,
,04/06/2017,2,Other,300,400,350,
,06/06/2017,2,Other,300,350,350,
,07/06/2017,2,Other,300,350,350,
,08/06/2017,2,Other,350,400,400,
,09/06/2017,2,Other,300,400,350,
,10/06/2017,2,Other,300,350,300,
,12/06/2017,2,Other,300,350,300,
,14/06/2017,2,Other,300,350,350,
,16/06/2017,2,Other,300,350,350,
,20/06/2017,3,Other,300,400,350,
,21/06/2017,2,Other,400,450,400,
,22/06/2017,2,Other,350,400,350,
,23/06/2017,2,Other,400,450,400,
,25/06/2017,2,Other,350,400,400,
,28/06/2017,2,Other,350,400,400,
,29/06/2017,3,Other,350,400,350,
,30/06/2017,2,Other,300,400,350,
Nimapara,03/06/2017,1,Other,9000,11000,10000,
,04/06/2017,2,Other,9000,11000,10000,
,05/06/2017,1,Other,9000,11000,10000,
,06/06/2017,1.2,Other,9000,11000,10000,
,07/06/2017,2.5,Other,9000,11000,10000,
,10/06/2017,1.2,Other,9000,11000,10000,
,11/06/2017,2.5,Other,9000,11000,10000,
,12/06/2017,1.2,Other,9000,11000,10000,
,13/06/2017,1,Other,9000,11000,10000,
,14/06/2017,2.5,Other,9000,11000,10000,
,16/06/2017,1.2,Other,9000,11000,10000,
,17/06/2017,1,Other,9000,11000,10000,
,18/06/2017,2,Other,9000,11000,10000,
,19/06/2017,1,Other,9000,11000,10000,
,20/06/2017,1,Other,9000,11000,10000,
,21/06/2017,2,Other,9000,11000,10000,
,23/06/2017,1.2,Other,9000,11000,10000,
,24/06/2017,1.2,Other,9000,11000,10000,
,25/06/2017,2,Other,9000,11000,10000,
,26/06/2017,1.2,Other,9000,11000,10000,
,27/06/2017,1.4,Other,9000,11000,10000,
,28/06/2017,2.5,Other,9000,11000,10000,
,30/06/2017,1.2,Other,9000,11000,10000,
Padampur,03/06/2017,1.9,Other,7100,7300,7200,
,05/06/2017,1.3,Other,7100,7200,7200,
,06/06/2017,2.1,Other,7100,7200,7200,
,09/06/2017,4.3,Other,7700,7900,7800,
,16/06/2017,1.5,Other,7000,7100,7100,
,19/06/2017,1.3,Other,5500,5700,5600,
,23/06/2017,1.9,Other,6500,6700,6600,
,24/06/2017,2.1,Other,7000,7200,7100,
,27/06/2017,1.8,Other,7000,7200,7100,
,28/06/2017,1.6,Other,6500,6700,6600,
Parlakhemundi,09/06/2017,1,Other,4000,5000,5000,
,17/06/2017,2,Other,4000,5000,5000,
Saraskana,17/06/2017,0.3,Green Chilly,3500,4500,4000,
Sohela,03/06/2017,1.63,Other,7800,7900,7900,
,05/06/2017,3.1,Other,6500,6600,6600,
,16/06/2017,2.4,Other,7500,7600,7600,
,19/06/2017,2.1,Other,6000,6100,6100,
,23/06/2017,2,Other,6500,7000,6800,
,27/06/2017,1.9,Other,7200,7300,7300,
,28/06/2017,2.2,Other,7000,7100,7100,
Udala,01/06/2017,1,Green Chilly,2500,2800,2500,
,02/06/2017,1,Green Chilly,2800,3200,2800,
,03/06/2017,1,Green Chilly,2800,2900,2800,
,06/06/2017,1,Green Chilly,2600,2700,2600,
,07/06/2017,1,Green Chilly,2800,3000,2800,
,16/06/2017,1,Green Chilly,3500,3800,3500,
,20/06/2017,1,Green Chilly,3500,3700,3500,
,28/06/2017,1,Green Chilly,3800,4000,3800,
