Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Angul,01/05/2017,2,Other,3000,5000,4000,
,03/05/2017,1,Other,3000,5000,4000,
Angul(Jarapada),08/05/2017,2,Other,3000,4000,3500,
,29/05/2017,2,Other,3000,5000,4000,
Attabira,01/05/2017,0.4,Other,3500,4000,4000,
,08/05/2017,0.5,Other,3500,4000,4000,
,15/05/2017,0.4,Other,3500,4000,4000,
,29/05/2017,0.4,Other,5000,6000,5000,
Bampada,25/05/2017,5,Other,4000,5000,4500,
Barikpur,05/05/2017,5,Other,3500,4000,3800,
,26/05/2017,4,Other,4000,5000,4500,
Baripada,11/05/2017,0.3,Green Chilly,4000,5500,5000,
,18/05/2017,0.3,Green Chilly,4000,5000,4500,
,21/05/2017,0.3,Green Chilly,4000,6500,5000,
Birmaharajpur,01/05/2017,0.15, ,NR,NR,NR,
,02/05/2017,0.2, ,NR,NR,NR,
,03/05/2017,0.2, ,NR,NR,NR,
,04/05/2017,0.15, ,NR,NR,NR,
,05/05/2017,0.3, ,NR,NR,NR,
,06/05/2017,0.15, ,NR,NR,NR,
,08/05/2017,0.1, ,NR,NR,NR,
,09/05/2017,0.15, ,NR,NR,NR,
,10/05/2017,0.15, ,NR,NR,NR,
,12/05/2017,0.25, ,NR,NR,NR,
,13/05/2017,0.1, ,NR,NR,NR,
,14/05/2017,0.15, ,NR,NR,NR,
,15/05/2017,0.15, ,NR,NR,NR,
,16/05/2017,0.2, ,NR,NR,NR,
,17/05/2017,0.15, ,NR,NR,NR,
,18/05/2017,0.15, ,NR,NR,NR,
,19/05/2017,0.3, ,NR,NR,NR,
,20/05/2017,0.1, ,NR,NR,NR,
,21/05/2017,0.2, ,NR,NR,NR,
,22/05/2017,0.1, ,NR,NR,NR,
,24/05/2017,0.15, ,NR,NR,NR,
,25/05/2017,0.15, ,NR,NR,NR,
,26/05/2017,0.25, ,NR,NR,NR,
,27/05/2017,0.15, ,NR,NR,NR,
,28/05/2017,0.2, ,NR,NR,NR,
,29/05/2017,0.2, ,NR,NR,NR,
,30/05/2017,0.3, ,NR,NR,NR,
,31/05/2017,0.15, ,NR,NR,NR,
Bolangir,01/05/2017,0.8,Other,2800,3000,2800,
,08/05/2017,1,Other,2800,3000,2800,
,09/05/2017,0.8,Other,3800,4000,3800,
,10/05/2017,0.8,Other,3800,4000,3800,
,11/05/2017,0.6,Other,3800,4000,3800,
,15/05/2017,0.8,Other,3800,4000,3800,
,16/05/2017,0.7,Other,3800,4000,3800,
,18/05/2017,0.5,Other,3800,4000,3800,
,19/05/2017,0.6,Other,3800,4000,3800,
,20/05/2017,0.8,Other,3800,4000,3800,
,22/05/2017,0.7,Other,3800,4000,3800,
,23/05/2017,0.5,Other,2800,3000,2800,
,24/05/2017,0.6,Other,2800,3000,2800,
,26/05/2017,0.8,Other,3800,4000,3800,
,27/05/2017,0.7,Other,3800,4000,3800,
,29/05/2017,0.7,Other,3800,4000,3800,
Dhenkanal,01/05/2017,0.06,Other,2000,2500,2000,
,02/05/2017,0.05,Other,2000,2500,2000,
,03/05/2017,0.07,Other,2000,3000,2500,
,04/05/2017,0.04,Other,2000,3000,2500,
,05/05/2017,0.05,Other,2000,2500,2000,
,08/05/2017,0.05,Other,2000,2500,2000,
,09/05/2017,0.06,Other,2000,3000,2500,
,12/05/2017,0.06,Other,3000,3500,3000,
,13/05/2017,0.05,Other,2000,3000,2500,
,14/05/2017,0.06,Other,2000,3000,2500,
,15/05/2017,0.04,Other,2000,2500,2000,
,16/05/2017,0.05,Other,2000,2500,2000,
,17/05/2017,0.04,Other,2000,3000,3000,
,18/05/2017,0.05,Other,2500,3000,3000,
,19/05/2017,0.04,Other,2000,3000,2500,
,20/05/2017,0.04,Other,2000,3000,2500,
,22/05/2017,0.05,Other,2000,3000,2500,
,27/05/2017,0.04,Other,2500,3500,3000,
,28/05/2017,0.06,Other,2000,3000,3000,
,29/05/2017,0.05,Other,2000,3000,2500,
,30/05/2017,0.05,Other,2000,3000,2500,
,31/05/2017,0.05,Other,2000,2500,2000,
Godabhaga,04/05/2017,0.02,Other,4000,5000,5000,
,11/05/2017,0.03,Other,3500,4000,3500,
,18/05/2017,0.02,Other,5000,6000,6000,
Jajpur,01/05/2017,0.63,Other,2500,3000,3000,
,02/05/2017,0.63,Other,2000,3000,2500,
,03/05/2017,0.43,Other,4000,4500,4500,
,05/05/2017,0.62,Other,2500,3500,3000,
,06/05/2017,0.6,Other,2500,3000,3000,
,07/05/2017,0.62,Other,2000,3000,2500,
,09/05/2017,0.46,Other,2500,3000,2800,
,10/05/2017,0.5,Other,2500,3500,3000,
,11/05/2017,0.58,Other,3000,4000,3500,
,12/05/2017,0.6,Other,2500,3500,3000,
,13/05/2017,0.5,Other,2500,3500,3000,
,14/05/2017,0.6,Other,2500,3500,3000,
,15/05/2017,0.6,Other,2500,3000,3000,
,16/05/2017,0.7,Other,2000,2800,2500,
,17/05/2017,0.62,Other,2500,3500,3000,
,18/05/2017,0.52,Other,2500,3500,3000,
,19/05/2017,0.57,Other,3000,4000,3500,
,20/05/2017,0.52,Other,2500,3500,3000,
,21/05/2017,0.73,Other,2500,3500,3000,
,22/05/2017,0.72,Other,2500,3500,3000,
,23/05/2017,0.58,Other,3000,4000,3500,
,25/05/2017,0.52,Other,3000,3500,3200,
,26/05/2017,0.62,Other,3000,3500,3500,
,27/05/2017,0.6,Other,3000,4000,3500,
,28/05/2017,0.4,Other,4000,4500,4500,
,29/05/2017,0.46,Other,4000,5000,4500,
,30/05/2017,0.6,Other,3000,4000,3500,
,31/05/2017,0.5,Other,4000,5000,4500,
Jhumpura,07/05/2017,0.24,Green Chilly,2500,3000,3000,
,10/05/2017,0.3,Green Chilly,2500,4000,3000,
,14/05/2017,0.3,Green Chilly,2500,3000,3000,
,17/05/2017,0.2,Green Chilly,2500,3500,3000,
,21/05/2017,0.3,Green Chilly,3000,4000,3500,
,24/05/2017,0.4,Green Chilly,3000,4000,3500,
,28/05/2017,3,Green Chilly,4000,4800,4500,
,31/05/2017,0.2,Green Chilly,3000,4000,4000,
Kamakhyanagar,01/05/2017,2,Green Chilly,5000,6000,5000,
,02/05/2017,0.3,Green Chilly,5000,6000,5000,
,03/05/2017,0.3,Green Chilly,5000,6000,5000,
,04/05/2017,0.3,Green Chilly,5000,6000,5000,
,05/05/2017,0.3,Green Chilly,5000,6000,5000,
,06/05/2017,0.2,Green Chilly,5000,6000,5000,
,08/05/2017,2,Green Chilly,5000,6000,5000,
,09/05/2017,0.2,Green Chilly,5000,6000,5000,
,10/05/2017,0.2,Green Chilly,5000,6000,5000,
,11/05/2017,0.3,Green Chilly,5000,6000,5000,
,12/05/2017,0.3,Green Chilly,5000,6000,5000,
,22/05/2017,2,Green Chilly,5000,6000,5000,
,23/05/2017,0.4,Green Chilly,5000,6000,5000,
,24/05/2017,0.3,Green Chilly,5000,6000,5000,
,25/05/2017,0.3,Green Chilly,5000,6000,5000,
,26/05/2017,0.2,Green Chilly,5000,6000,5000,
,27/05/2017,0.5,Green Chilly,5000,6000,5000,
,29/05/2017,2,Green Chilly,5000,6000,5000,
,30/05/2017,0.4,Green Chilly,4000,5000,4000,
,31/05/2017,0.3,Green Chilly,5000,6000,5000,
Kendupatna,08/05/2017,0.1,Other,500,500,500,
,11/05/2017,0.1,Other,500,500,500,
,18/05/2017,0.1,Other,500,500,500,
,21/05/2017,0.1,Other,500,500,500,
,25/05/2017,0.1,Other,500,500,500,
,28/05/2017,0.08,Other,700,700,700,
Kendupatna(Niali),14/05/2017,0.5,Other,500,500,500,
,21/05/2017,0.2,Other,500,500,500,
Kesinga,04/05/2017,1,Other,5500,6000,6000,
,05/05/2017,1,Other,5500,6000,5600,
,18/05/2017,1,Other,5000,5500,5200,
,25/05/2017,1,Other,5000,6000,5500,
Khariar,02/05/2017,0.7,Green Chilly,4500,5000,5000,
,10/05/2017,0.5,Green Chilly,4500,5000,4500,
,16/05/2017,1.2,Green Chilly,4500,5000,5000,
,18/05/2017,0.8,Green Chilly,4500,5000,5000,
,19/05/2017,0.8,Green Chilly,5000,5000,5000,
,21/05/2017,1,Green Chilly,4500,5000,5000,
,22/05/2017,1.5,Green Chilly,4500,5000,5000,
,24/05/2017,0.7,Green Chilly,4500,5000,5000,
,29/05/2017,0.7,Green Chilly,4500,5000,5000,
,31/05/2017,1.5,Green Chilly,4000,4500,4000,
Khariar Road,07/05/2017,0.4,Green Chilly,4500,5000,5000,
,08/05/2017,0.7,Green Chilly,4000,4200,4000,
,09/05/2017,2,Green Chilly,3000,3000,3000,
,11/05/2017,0.6,Green Chilly,4500,5000,5000,
,14/05/2017,0.5,Green Chilly,3000,3500,3500,
,15/05/2017,0.6,Green Chilly,4000,5000,4500,
,16/05/2017,0.8,Green Chilly,4500,5000,5000,
,18/05/2017,0.8,Green Chilly,4000,4600,4600,
,23/05/2017,0.5,Green Chilly,4500,5000,5000,
,25/05/2017,0.5,Green Chilly,4000,4500,4500,
,30/05/2017,0.8,Green Chilly,4500,5000,5000,
,31/05/2017,1,Green Chilly,4500,5000,5000,
Koraput,09/05/2017,4,Other,3500,3600,3550,
,24/05/2017,4,Other,3500,4000,3800,
Koraput(Semilguda),10/05/2017,5,Other,3000,3200,3100,
,14/05/2017,3,Other,3600,3800,3700,
Kuchinda,02/05/2017,0.05,Other,40,50,45,
,15/05/2017,0.03,Other,40,50,45,
,17/05/2017,0.03,Other,40,40,40,
,18/05/2017,0.05,Other,40,50,45,
,22/05/2017,0.04,Other,40,50,50,
,24/05/2017,0.05,Other,50,70,60,
,25/05/2017,0.04,Other,40,50,45,
,26/05/2017,0.04,Other,45,55,50,
Malkanagiri,10/05/2017,0.24,Other,4000,4200,4100,
,11/05/2017,0.12,Other,4000,4200,4100,
,17/05/2017,0.14,Other,4100,4300,4200,
,20/05/2017,0.17,Other,6000,6200,6100,
,23/05/2017,0.12,Other,5500,5700,5600,
,26/05/2017,0.14,Other,4000,4200,4100,
,27/05/2017,0.12,Other,4000,4200,4100,
,29/05/2017,0.13,Other,4000,4200,4100,
,31/05/2017,0.14,Other,4100,4300,4200,
Malkangiri(Korakunda),10/05/2017,0.14,Other,4000,4200,4100,
,17/05/2017,0.15,Other,4200,4400,4300,
,22/05/2017,0.2,Other,6000,6200,6100,
,25/05/2017,0.12,Other,4000,4200,4100,
,29/05/2017,0.13,Other,4000,4200,4100,
,31/05/2017,0.13,Other,4000,4200,4100,
Mottagaon,01/05/2017,0.06,Other,2000,2500,2000,
,02/05/2017,0.06,Other,2000,2500,2000,
,03/05/2017,0.06,Other,3000,4000,3500,
,04/05/2017,0.07,Other,2000,2000,2000,
,08/05/2017,0.04,Other,2000,2600,2500,
,09/05/2017,0.05,Other,2000,2500,2500,
,12/05/2017,0.03,Other,2000,3000,2500,
,13/05/2017,0.07,Other,2000,2500,2000,
,14/05/2017,0.05,Other,2000,3000,2500,
,15/05/2017,0.06,Other,3000,3600,3500,
,16/05/2017,0.07,Other,2000,3000,2500,
,17/05/2017,0.06,Other,2500,3500,3000,
,18/05/2017,0.05,Other,2000,3000,3000,
,19/05/2017,0.07,Other,2500,3000,3000,
,20/05/2017,0.05,Other,2000,3000,2500,
