Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Angul,01/11/2017,1,Other,4000,5000,4500,
,02/11/2017,1,Other,4000,5000,4500,
,03/11/2017,1,Other,4000,5000,4500,
,05/11/2017,2.5,Other,4000,5000,4500,
,06/11/2017,1,Other,4000,5000,4500,
,07/11/2017,1,Other,4000,5000,4500,
,10/11/2017,1,Other,4000,5000,4500,
,11/11/2017,1,Other,4000,5000,4500,
,12/11/2017,1,Other,4000,5000,4500,
,13/11/2017,1,Other,4000,5000,4500,
,14/11/2017,1,Other,4000,5000,4500,
,16/11/2017,1,Other,4000,5000,4500,
,17/11/2017,1,Other,4000,5000,4500,
,19/11/2017,2.5,Other,4000,5000,4500,
,20/11/2017,1,Other,4000,5000,4500,
,21/11/2017,1,Other,4000,5000,4500,
,22/11/2017,1,Other,4000,5000,4500,
,23/11/2017,1,Other,5000,6000,5500,
,24/11/2017,1,Other,4000,5000,4500,
,26/11/2017,2.5,Other,5000,6000,5500,
,27/11/2017,1,Other,4000,5500,5000,
,30/11/2017,1.5,Other,5000,6000,5500,
Angul(Jarapada),02/11/2017,1,Other,4000,5000,4500,
,05/11/2017,1,Other,4000,5000,4500,
,06/11/2017,1,Other,4000,5000,4500,
,07/11/2017,1.3,Other,4000,5000,4500,
,09/11/2017,1,Other,4000,5000,4500,
,12/11/2017,1,Other,4000,5000,4500,
,13/11/2017,1,Other,4000,4500,4200,
,14/11/2017,1.5,Other,4000,5000,4500,
,16/11/2017,1,Other,4000,5000,4500,
,20/11/2017,1,Other,4000,5000,4500,
,21/11/2017,1,Other,4000,5000,4500,
,23/11/2017,1,Other,5000,6000,5500,
,27/11/2017,1,Other,5000,6000,5500,
,28/11/2017,1,Other,5000,6000,5500,
,30/11/2017,1.25,Other,4500,5500,5000,
Attabira,06/11/2017,0.4,Other,4000,5000,5000,
,13/11/2017,0.4,Other,4500,5000,5000,
,20/11/2017,0.4,Other,4000,5000,5000,
