Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Angul,01/09/2017,1.2,Other,5000,6000,5500,
,03/09/2017,2.5,Other,5000,6000,5500,
,04/09/2017,1.5,Other,5000,6000,5500,
,07/09/2017,1.5,Other,5000,6000,5500,
,08/09/2017,1,Other,5000,6000,5500,
,10/09/2017,2.5,Other,5000,6000,5500,
,11/09/2017,2.5,Other,2000,3000,2500,
,12/09/2017,1.2,Other,2000,3000,2500,
,14/09/2017,2.5,Other,2000,3000,2500,
,15/09/2017,1.5,Other,2000,3000,2500,
,17/09/2017,2.5,Other,2000,2500,2200,
,18/09/2017,2,Other,2000,3000,2500,
,19/09/2017,1.5,Other,2000,3000,2500,
,21/09/2017,2,Other,3000,4000,3500,
,23/09/2017,2.5,Other,4000,6000,5000,
,24/09/2017,2,Other,4000,5000,4500,
,25/09/2017,2,Other,4000,5000,4500,
,26/09/2017,1.5,Other,4000,5000,4500,
,27/09/2017,1.5,Other,4000,5000,4500,
,28/09/2017,1.5,Other,4000,5000,4500,
,29/09/2017,1.2,Other,4000,5000,4500,
Angul(Jarapada),04/09/2017,2.3,Other,5000,6000,5500,
,05/09/2017,1.5,Other,5000,6000,5500,
,07/09/2017,1,Other,5000,6000,5500,
,11/09/2017,1.2,Other,5000,6000,5500,
,12/09/2017,1.2,Other,2000,3000,2500,
,14/09/2017,2.5,Other,2000,3000,2500,
,17/09/2017,1.5,Other,2000,3000,2500,
,18/09/2017,2,Other,2000,3000,2500,
,19/09/2017,1,Other,2000,3000,2500,
,21/09/2017,2.5,Other,3000,4000,3500,
,24/09/2017,1.2,Other,4500,5000,4500,
,25/09/2017,1.5,Other,4000,5000,4500,
,26/09/2017,1,Other,4000,5000,4500,
,28/09/2017,1.5,Other,4000,5000,4500,
Attabira,04/09/2017,0.5,Other,4000,5000,5000,
,11/09/2017,0.6,Other,4000,5000,5000,
,18/09/2017,0.4,Other,4000,5000,5000,
,25/09/2017,0.4,Other,4000,4500,4500,
Bampada,11/09/2017,3,Other,7000,8000,7500,
,21/09/2017,3,Other,5000,6000,5500,
Baripada,03/09/2017,0.3,Green Chilly,5000,6500,6000,
,17/09/2017,0.4,Green Chilly,4000,6000,5000,
,21/09/2017,0.4,Green Chilly,4000,6000,5000,
,28/09/2017,0.3,Green Chilly,4000,6500,5000,
Birmaharajpur,01/09/2017,0.2, ,NR,NR,NR,
,02/09/2017,0.1, ,NR,NR,NR,
,03/09/2017,0.15, ,NR,NR,NR,
,04/09/2017,0.15, ,NR,NR,NR,
,05/09/2017,0.15, ,NR,NR,NR,
,06/09/2017,0.15, ,NR,NR,NR,
,07/09/2017,0.1, ,NR,NR,NR,
,08/09/2017,0.2, ,NR,NR,NR,
,09/09/2017,0.1, ,NR,NR,NR,
,10/09/2017,0.1, ,NR,NR,NR,
,11/09/2017,0.12, ,NR,NR,NR,
,12/09/2017,0.15, ,NR,NR,NR,
,13/09/2017,0.1, ,NR,NR,NR,
,14/09/2017,0.12, ,NR,NR,NR,
