Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Angaura,10/03/2018,2.05,Other,4000,5000,4500,
Angul,01/03/2018,1.5,Other,4000,5000,4500,
,02/03/2018,1.2,Other,4000,5000,4500,
,03/03/2018,1.5,Other,4000,5000,4500,
,04/03/2018,2.5,Other,4000,5000,4500,
,05/03/2018,1,Other,5000,6000,5500,
,06/03/2018,1.5,Other,4000,5000,4500,
,07/03/2018,1,Other,5000,6000,5500,
,08/03/2018,1.5,Other,5000,6000,5500,
,09/03/2018,1.5,Other,5000,6000,5500,
,10/03/2018,1.5,Other,5000,6000,5500,
,11/03/2018,2.5,Other,5000,6000,5500,
,12/03/2018,1.5,Other,5000,6000,5500,
,13/03/2018,1.2,Other,5000,6000,5500,
,14/03/2018,0.85,Other,5000,7000,6000,
,16/03/2018,0.85,Other,5000,7000,6000,
,18/03/2018,2.5,Other,5000,7000,6000,
,19/03/2018,1,Other,5000,7000,6000,
,20/03/2018,1.2,Other,5000,7000,6000,
,21/03/2018,2.5,Other,5000,7000,6000,
,22/03/2018,1,Other,5000,7000,6000,
,25/03/2018,2.5,Other,4000,6000,5000,
,26/03/2018,1.5,Other,4000,5000,4500,
,27/03/2018,1.5,Other,4000,6000,5000,
,28/03/2018,1.5,Other,4000,5000,4500,
,30/03/2018,1,Other,4000,6000,5000,
Angul(Jarapada),01/03/2018,0.9,Other,4000,5000,4500,
,04/03/2018,0.75,Other,4000,5000,4500,
,05/03/2018,1.2,Other,5000,6000,5500,
,06/03/2018,0.9,Other,4000,5000,4500,
,08/03/2018,1.5,Other,5000,6000,5500,
,11/03/2018,1.5,Other,5000,6000,5500,
,12/03/2018,1.5,Other,5000,6000,5500,
,13/03/2018,1.5,Other,5000,6000,5500,
,15/03/2018,1.8,Other,5000,6000,5500,
,16/03/2018,1.5,Other,5000,6000,5500,
,18/03/2018,1,Other,5000,7000,6000,
,19/03/2018,1.2,Other,5000,7000,6000,
,20/03/2018,0.8,Other,5000,7000,6000,
,23/03/2018,1,Other,5000,7000,6000,
,26/03/2018,1,Other,5000,6000,5500,
,27/03/2018,1.2,Other,4000,5000,4500,
,29/03/2018,1.5,Other,4000,5000,4500,
Attabira,05/03/2018,0.4,Other,4000,5000,5000,
,12/03/2018,0.4,Other,4000,5000,4000,
,19/03/2018,0.5,Other,4000,5000,4000,
,26/03/2018,0.4,Other,4500,5000,5000,
Baripada,01/03/2018,0.3,Green Chilly,7000,8000,7500,
,08/03/2018,0.35,Green Chilly,7000,8500,8000,
,11/03/2018,0.2,Green Chilly,6500,8000,7000,
,22/03/2018,0.2,Green Chilly,3000,3500,3250,
