Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Angaura,11/02/2019,1.5,Other,5000,6000,5500,
,16/02/2019,2.1,Other,4000,6000,5000,
Angul,01/02/2019,1.5,Other,4000,5000,4500,
,04/02/2019,1.2,Other,4000,5000,4500,
,05/02/2019,1.5,Other,4000,5000,4500,
,06/02/2019,1.2,Other,4000,5000,4500,
,07/02/2019,1.3,Other,4000,5000,4500,
,08/02/2019,1.5,Other,4000,5000,4500,
,09/02/2019,1.5,Other,4000,5000,4500,
,10/02/2019,2.2,Other,4000,5000,4500,
,11/02/2019,1,Other,4000,5000,4500,
,12/02/2019,2,Other,4000,5000,4500,
,13/02/2019,1.5,Other,4000,5000,4500,
,15/02/2019,2,Other,4000,5000,4500,
,16/02/2019,2,Other,4000,5000,4500,
,17/02/2019,2.5,Other,4000,5000,4500,
,19/02/2019,1.5,Other,4000,5000,4500,
,20/02/2019,1.5,Other,4000,5000,4500,
Angul(Jarapada),01/02/2019,1.5,Other,4000,5000,4500,
,02/02/2019,4.5,Other,4000,5000,4500,
,03/02/2019,1.5,Other,4000,5000,4500,
,04/02/2019,1,Other,4000,5000,4500,
,05/02/2019,1,Other,4000,5000,4500,
,06/02/2019,1.2,Other,4000,5000,4500,
,07/02/2019,1.4,Other,4000,5000,4500,
,08/02/2019,1.2,Other,4000,5000,4500,
,10/02/2019,1.5,Other,4000,5000,4500,
,11/02/2019,1.3,Other,4500,5000,5000,
,12/02/2019,1.5,Other,4000,5000,4500,
,13/02/2019,1.5,Other,4000,5000,4500,
,15/02/2019,1.2,Other,4000,5000,4500,
,16/02/2019,1.5,Other,4000,5000,4500,
,17/02/2019,2,Other,4000,5000,4500,
,19/02/2019,2,Other,4000,5000,4500,
,26/02/2019,0.5,Other,4000,5000,4500,
Attabira,04/02/2019,0.04,Other,3500,4000,3500,
,11/02/2019,0.03,Other,3500,4000,3500,
,25/02/2019,0.04,Other,3500,4000,3500,
Banki,25/02/2019,0.5,Other,5000,6000,5500,
Baripada,01/02/2019,1.5,Green Chilly,8000,10000,9000,
,02/02/2019,1.5,Green Chilly,8000,10000,9000,
,03/02/2019,1.5,Green Chilly,8000,10000,9000,
,04/02/2019,1.5,Green Chilly,8000,12000,9000,
,05/02/2019,0.8,Green Chilly,8000,12000,10000,
,06/02/2019,1.5,Green Chilly,8000,12000,9000,
,07/02/2019,1.5,Green Chilly,8000,12000,9000,
,08/02/2019,1.5,Green Chilly,8000,12000,9000,
,09/02/2019,1.5,Green Chilly,8000,10000,9000,
,10/02/2019,1.5,Green Chilly,8000,10000,9000,
,11/02/2019,1.5,Green Chilly,8000,10000,9000,
,12/02/2019,0.8,Green Chilly,8000,10000,9000,
,13/02/2019,1.5,Green Chilly,6000,10000,8000,
,14/02/2019,1.2,Green Chilly,8000,10000,9000,
,21/02/2019,1,Green Chilly,7000,10000,8000,
,22/02/2019,0.5,Green Chilly,7000,10000,8000,
,28/02/2019,1.5,Green Chilly,8000,10000,9000,
Betnoti,01/02/2019,0.01,Green Chilly,6000,8000,7000,
,08/02/2019,0.01,Green Chilly,6000,7000,6500,
,22/02/2019,0.01,Green Chilly,3000,4000,3500,
Birmaharajpur,01/02/2019,0.3,Other,7800,10000,8000,
,02/02/2019,0.25,Other,7800,10000,8000,
,03/02/2019,0.25,Other,7800,10000,8000,
,04/02/2019,0.2,Other,7800,10000,8000,
,05/02/2019,0.26,Other,7800,10000,8000,
,06/02/2019,0.2,Other,7800,10000,8000,
,07/02/2019,0.2,Other,7800,10000,8000,
,08/02/2019,0.35,Other,7000,10000,8000,
,09/02/2019,0.2,Other,7800,10000,8000,
,10/02/2019,0.25,Other,7000,10000,8000,
,11/02/2019,0.23,Other,7000,10000,8000,
,12/02/2019,0.2,Other,7000,10000,8000,
