Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Amadalavalasa,02/06/2016,1,Local,4850,5400,5300,
,03/06/2016,1.32,Local,4850,5000,4900,
,05/06/2016,1.7,Local,4850,5500,5000,
,07/06/2016,5.56,Local,4850,5500,5300,
,08/06/2016,4.8,Local,4850,5000,4900,
,09/06/2016,3,Local,4850,5100,5000,
,15/06/2016,2.7,Local,4850,5000,4900,
,16/06/2016,3.6,Local,4850,5000,4900,
,18/06/2016,2.2,Local,4850,5000,4900,
,19/06/2016,1,Local,4850,5000,4900,
,21/06/2016,1,Local,4850,5000,4900,
,22/06/2016,3,Local,4850,5000,4900,
Bobbili,19/06/2016,2.5,Other,5400,5500,5450,
Hiramandalam,14/06/2016,6,Green (Whole),5400,5600,5400,
Ongole,01/06/2016,0.1,Medium,6700,6800,6750,
,02/06/2016,0.1,Medium,6700,6800,6740,
,03/06/2016,0.1,Medium,6100,6200,6130,
,04/06/2016,0.1,Medium,6100,6200,6120,
,05/06/2016,0.1,Medium,6100,6200,6120,
,06/06/2016,0.1,Medium,6100,6200,6130,
,07/06/2016,0.1,Medium,6100,6200,6130,
,08/06/2016,0.1,Medium,6100,6200,6150,
,09/06/2016,0.1,Medium,6100,6200,6150,
,10/06/2016,0.1,Medium,6300,6500,6400,
,11/06/2016,0.1,Medium,6300,6500,6400,
,12/06/2016,0.1,Medium,6300,6500,6400,
,13/06/2016,0.1,Medium,6300,6500,6420,
,14/06/2016,0.1,Medium,6300,6500,6420,
,15/06/2016,0.1,Medium,6300,6500,6400,
,16/06/2016,0.1,Medium,6300,6500,6400,
,17/06/2016,0.1,Medium,7400,7500,7460,
,18/06/2016,0.1,Medium,7400,7500,7430,
,19/06/2016,0.1,Medium,7400,7500,7430,
,20/06/2016,0.1,Medium,7400,7500,7430,
,21/06/2016,0.1,Medium,7400,7500,7430,
,22/06/2016,0.1,Medium,7400,7500,7440,
,23/06/2016,0.1,Medium,7400,7500,7440,
,24/06/2016,0.1,Medium,6400,6500,6430,
,25/06/2016,0.1,Medium,6400,6500,6420,
,26/06/2016,0.1,Medium,6400,6500,6420,
,28/06/2016,0.1,Medium,6400,6500,6420,
,29/06/2016,0.1,Medium,6400,6500,6420,
,30/06/2016,0.1,Medium,6400,6500,6430,
Palakonda,01/06/2016,3,Green (Whole),4850,5000,4950,
,04/06/2016,3,Green (Whole),4850,5000,4950,
,18/06/2016,9.4,Green (Whole),4850,5000,4950,
,22/06/2016,2.5,Green (Whole),4850,5000,4950,
,24/06/2016,2.6,Green (Whole),4850,5000,4950,
,26/06/2016,2.5,Green (Whole),4850,5000,4950,
,28/06/2016,3,Green (Whole),4850,5000,4950,
