Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Addanki,07/04/2017,9.2,Medium,5225,5300,5250,
Bobbili,07/04/2017,5.6,Local,5500,5700,5600,
Gajapathinagaram,06/04/2017,1.4,Local,5700,6000,5800,
,10/04/2017,2.3,Local,5400,5800,5500,
Hiramandalam,28/04/2017,5,Green (Whole),5000,5300,5000,
Ongole,01/04/2017,0.1,Medium,5600,5650,5630,
,02/04/2017,0.1,Medium,5600,5650,5630,
,03/04/2017,0.1,Medium,5600,5650,5640,
,04/04/2017,0.1,Medium,5600,5650,5620,
,05/04/2017,0.1,Medium,5600,5650,5620,
,06/04/2017,0.1,Medium,5600,5650,5620,
,07/04/2017,0.1,Medium,5600,5650,5620,
,08/04/2017,0.1,Medium,5600,5650,5620,
,09/04/2017,0.1,Medium,5600,5650,5620,
,10/04/2017,0.1,Medium,5600,5650,5630,
,11/04/2017,0.1,Medium,5600,5650,5640,
,12/04/2017,0.1,Medium,5600,5650,5620,
,13/04/2017,0.1,Medium,5600,5650,5630,
,14/04/2017,0.1,Medium,5600,5650,5640,
,15/04/2017,0.1,Medium,5600,5650,5620,
,16/04/2017,0.1,Medium,5600,5650,5640,
,17/04/2017,0.1,Medium,5600,5650,5620,
,18/04/2017,0.1,Medium,5600,5650,5640,
,19/04/2017,0.1,Medium,5600,5650,5620,
,20/04/2017,0.1,Medium,5600,5650,5620,
,21/04/2017,0.1,Medium,5600,5650,5630,
,22/04/2017,0.1,Medium,5600,5650,5630,
,23/04/2017,0.1,Medium,5600,5650,5630,
,24/04/2017,0.1,Medium,5600,5650,5640,
,25/04/2017,0.1,Medium,5600,5650,5630,
,26/04/2017,0.1,Medium,5600,5650,5630,
,27/04/2017,0.1,Medium,5600,5650,5620,
,28/04/2017,0.1,Medium,6900,7000,6930,
