Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Ongole,01/08/2017,0.1,Medium,5575,5575,5575,
,02/08/2017,0.1,Medium,5575,5575,5575,
,03/08/2017,0.1,Medium,5575,5575,5575,
,04/08/2017,0.1,Medium,5575,5575,5575,
,05/08/2017,0.1,Medium,5575,5575,5575,
,06/08/2017,0.1,Medium,5575,5575,5575,
,07/08/2017,0.1,Medium,5575,5575,5575,
,08/08/2017,0.1,Medium,5575,5575,5575,
,09/08/2017,0.1,Medium,5575,5575,5575,
,10/08/2017,0.1,Medium,5575,5575,5575,
,11/08/2017,0.1,Medium,5575,5575,5575,
,15/08/2017,0.1,Medium,5575,5575,5575,
,16/08/2017,0.1,Medium,5575,5575,5575,
,17/08/2017,0.1,Medium,5575,5575,5575,
,18/08/2017,0.1,Medium,5575,5575,5575,
,19/08/2017,0.1,Medium,5575,5575,5575,
,20/08/2017,0.1,Medium,5575,5575,5575,
,21/08/2017,0.1,Medium,5575,5575,5575,
,22/08/2017,0.1,Medium,5575,5575,5575,
,23/08/2017,0.1,Medium,5575,5575,5575,
,24/08/2017,0.1,Medium,5575,5575,5575,
,25/08/2017,0.1,Medium,5575,5575,5575,
,26/08/2017,0.1,Medium,5575,5575,5575,
,27/08/2017,0.1,Medium,5575,5575,5575,
,28/08/2017,0.1,Medium,5575,5575,5575,
,29/08/2017,0.1,Medium,5575,5575,5575,
,30/08/2017,0.1,Medium,5575,5575,5575,
,31/08/2017,0.1,Medium,5575,5575,5575,
Vinukonda,30/08/2017,18,Local,4000,4200,4100,
