Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Bobbili,19/01/2017,5,Other,5280,5350,5300,
,28/01/2017,5.1,Other,5250,5450,5350,
Hiramandalam,11/01/2017,8.3,Green (Whole),7200,8000,7200,
Ongole,01/01/2017,0.1,Medium,4600,4700,4670,
,02/01/2017,0.1,Medium,4630,4700,4680,
,03/01/2017,0.1,Medium,4600,4700,4630,
,04/01/2017,0.1,Medium,4600,4700,4620,
,05/01/2017,0.1,Medium,4600,4700,4620,
,06/01/2017,0.1,Medium,4700,4800,4730,
,07/01/2017,0.1,Medium,4700,4800,4760,
,08/01/2017,0.1,Medium,4700,4800,4760,
,09/01/2017,0.1,Medium,4700,4800,4760,
,10/01/2017,0.1,Medium,4700,4800,4750,
,11/01/2017,0.1,Medium,4700,4800,4750,
,12/01/2017,0.1,Medium,4700,4800,4740,
,13/01/2017,0.1,Medium,4700,4800,4740,
,14/01/2017,0.1,Medium,4700,4800,4740,
,15/01/2017,0.1,Medium,4700,4800,4730,
,16/01/2017,0.1,Medium,4700,4800,4730,
,17/01/2017,0.1,Medium,4720,4800,4740,
,18/01/2017,0.1,Medium,4720,4800,4740,
,19/01/2017,0.1,Medium,4730,4800,4780,
,23/01/2017,0.1,Medium,5500,5650,5600,
,24/01/2017,0.1,Medium,5550,5650,5600,
,25/01/2017,0.1,Medium,5550,5650,5600,
,26/01/2017,0.1,Medium,5550,5650,5600,
,27/01/2017,0.1,Medium,5600,5650,5620,
,28/01/2017,0.1,Medium,5600,5650,5620,
,29/01/2017,0.1,Medium,5600,5650,5620,
,30/01/2017,0.2,Medium,5600,5650,5620,
,31/01/2017,0.1,Medium,5600,5650,5630,
