Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Ahmednagar,10/08/2016,10,Other,5000,5500,5305,
Akkalkot,16/08/2016,3,Green (Whole),5225,5300,5250,
,18/08/2016,49,Green (Whole),4850,5251,4950,
Baramati,25/08/2016,6,Green (Whole),4850,5302,5000,
Barshi,12/08/2016,1,Other,5600,6000,5800,
,22/08/2016,3,Other,8100,8800,8300,
Bhokar,19/08/2016,1,Other,5100,5306,5200,
Buldhana(Dhad),21/08/2016,1,Green (Whole),5000,5101,5050,
Devala,24/08/2016,1,Green (Whole),5451,6050,5665,
Dhule,04/08/2016,2,Green (Whole),4900,4900,4900,
Dound,16/08/2016,5,Green (Whole),4850,5500,5200,
,23/08/2016,29,Green (Whole),4850,5000,4850,
Gevrai,13/08/2016,1,Other,4850,4901,4901,
Indapur,01/08/2016,1,Green (Whole),5000,5100,5000,
,25/08/2016,1,Green (Whole),5000,5500,5000,
Indapur(Bhigwan),28/08/2016,1,Green (Whole),4900,4900,4900,
Jalgaon,20/08/2016,10,Other,5001,5001,5001,
Jalkot,26/08/2016,6,Green (Whole),4900,4900,4900,
,27/08/2016,2,Green (Whole),4850,4850,4850,
Kada,17/08/2016,8,Green (Whole),4900,5150,4950,
Karmala,16/08/2016,5,Green (Whole),4851,4925,4900,
,18/08/2016,3,Other,4851,4900,4900,
,19/08/2016,11,Other,4850,5502,5000,
,22/08/2016,13,Other,4851,4900,4900,
,23/08/2016,9,Other,4851,4900,4900,
,24/08/2016,5,Other,4851,4925,4900,
,25/08/2016,4,Other,4852,4900,4900,
Khamgaon,05/08/2016,1,Other,4850,4850,4850,
Kolhapur(Laxmipuri),02/08/2016,1,Other,6000,7000,6500,
,05/08/2016,1,Other,6000,7000,6500,
,08/08/2016,1,Other,6000,7000,6500,
,09/08/2016,1,Other,6100,7000,6500,
,12/08/2016,1,Other,6100,7000,6500,
,16/08/2016,1,Other,5600,7000,6000,
,17/08/2016,1,Other,5600,7000,6000,
,19/08/2016,1,Other,5600,7000,6000,
,20/08/2016,1,Other,5600,7000,6000,
,22/08/2016,1,Other,6000,7600,6800,
,23/08/2016,1,Other,6000,7600,6800,
,24/08/2016,1,Other,6000,7600,6800,
,26/08/2016,1,Other,6000,7600,6800,
,27/08/2016,1,Other,6000,7600,6800,
