Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Akola,01/07/2016,7,Green (Whole),5100,5900,5500,
,02/07/2016,4,Green (Whole),5200,5700,5450,
,04/07/2016,4,Green (Whole),5000,5500,5250,
,05/07/2016,5,Green (Whole),5000,5500,5250,
,08/07/2016,17,Green (Whole),5000,5500,5500,
Amarawati,04/07/2016,1,Other,5000,5350,5175,
,07/07/2016,1,Other,5000,5250,5125,
,26/07/2016,4,Other,4850,4951,4900,
Balapur,03/07/2016,1,Green (Whole),7000,7600,7500,
Barshi,30/07/2016,20,Other,5630,5630,5630,
Bhandara,01/07/2016,1,Green (Whole),5100,5100,5100,
,02/07/2016,1,Green (Whole),5100,5100,5100,
Daryapur,02/07/2016,13,Other,5005,5840,5675,
,08/07/2016,2,Other,5105,5200,5150,
,11/07/2016,1,Other,5100,5100,5100,
,16/07/2016,2,Other,5260,5700,5500,
,18/07/2016,3,Other,4915,5450,5250,
Dound,05/07/2016,3,Green (Whole),5700,6200,6000,
Hingoli,08/07/2016,1,Green (Whole),6100,6500,6500,
Indapur(Bhigwan),03/07/2016,1,Green (Whole),6500,8200,6800,
Jalgaon,02/07/2016,1,Other,5400,5500,5400,
,25/07/2016,17,Other,5540,5540,5540,
Karanja,02/07/2016,3,Other,4900,5480,5250,
,04/07/2016,2,Other,5075,5785,5300,
,05/07/2016,4,Other,5200,5600,5400,
Khamgaon,02/07/2016,1,Other,5300,5800,5500,
,04/07/2016,1,Other,5300,5400,5350,
Kolhapur(Laxmipuri),07/07/2016,1,Other,7200,7500,7350,
,08/07/2016,1,Other,7200,7500,7350,
,11/07/2016,1,Other,7100,7400,7300,
,12/07/2016,1,Other,7100,7400,7300,
,14/07/2016,1,Other,7100,7400,7300,
,18/07/2016,1,Other,7100,7400,7300,
,19/07/2016,1,Other,7100,7400,7300,
,20/07/2016,1,Other,7100,7400,7300,
,25/07/2016,1,Other,7100,7400,7300,
Latur,02/07/2016,1,Green (Whole),6150,6150,6150,
Lonar,01/07/2016,1,Other,6000,6300,6150,
,04/07/2016,1,Other,5000,6750,6600,
,05/07/2016,1,Other,6300,7000,6650,
Murtizapur,02/07/2016,5,Green (Whole),5250,5550,5385,
,04/07/2016,4,Green (Whole),5000,5300,5120,
Nandurbar,08/07/2016,1,Other,5400,5400,5400,
Pune,01/07/2016,3,Green (Whole),7000,8000,7800,
,02/07/2016,3,Green (Whole),7200,7800,7600,
,05/07/2016,6,Green (Whole),6300,7500,7200,
,07/07/2016,8,Green (Whole),6200,6500,6400,
,09/07/2016,7,Green (Whole),6800,7200,7150,
,11/07/2016,7,Green (Whole),7000,7200,7150,
,12/07/2016,8,Green (Whole),6800,7200,7100,
,13/07/2016,6,Green (Whole),6800,7800,7600,
,14/07/2016,6,Green (Whole),6800,7800,7500,
,15/07/2016,6,Green (Whole),7000,8000,7700,
,20/07/2016,7,Green (Whole),7000,7500,7400,
,21/07/2016,8,Green (Whole),6800,7800,7400,
,23/07/2016,4,Green (Whole),6800,7600,7400,
,25/07/2016,7,Green (Whole),6400,7300,7100,
,26/07/2016,4,Green (Whole),6400,7300,7000,
,27/07/2016,4,Green (Whole),6200,7100,6800,
,28/07/2016,5,Green (Whole),6000,6900,6600,
,29/07/2016,6,Green (Whole),6000,7000,6700,
,30/07/2016,4,Green (Whole),6200,6800,6600,
Pusad,04/07/2016,1,Other,5000,5205,5105,
,25/07/2016,1,Other,5000,5130,5130,
Sangli,04/07/2016,9,Other,6500,7500,7200,
,05/07/2016,17,Other,5500,6800,6600,
,07/07/2016,3,Other,6500,7500,7100,
,09/07/2016,3,Other,5500,7500,6800,
,11/07/2016,7,Other,5500,7500,6600,
,12/07/2016,7,Other,5000,7000,6500,
,14/07/2016,1,Other,5500,7500,7000,
,15/07/2016,3,Other,6500,7500,7100,
,16/07/2016,1,Other,6500,7500,7200,
,22/07/2016,2,Other,6500,7500,7300,
,23/07/2016,6,Other,5000,7000,6000,
,25/07/2016,1,Other,6500,7500,7300,
,26/07/2016,3,Other,5500,7500,7300,
,29/07/2016,3,Other,5100,7500,7000,
,30/07/2016,5,Other,5100,7500,6600,
Sangrampur,01/07/2016,2,Other,5000,5750,5500,
Shegaon,01/07/2016,1,Green (Whole),6205,6205,6205,
,05/07/2016,1,Green (Whole),5800,6000,6000,
Tumsar,02/07/2016,2,Other,4911,5500,5385,
,03/07/2016,1,Other,5000,5050,5050,
,04/07/2016,5,Other,5050,5351,5200,
,05/07/2016,3,Other,5040,5335,5125,
,09/07/2016,2,Other,4901,5300,5070,
Washim,01/07/2016,1,Other,5500,5600,5550,
,02/07/2016,3,Other,5200,5500,5300,
,05/07/2016,15,Other,5200,5300,5250,
Washim(Ansing),20/07/2016,12,Other,5000,5500,5300,
