Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Attabira,03/04/2017,0.6,Local,6500,7000,7000,
,10/04/2017,0.4,Local,8500,9000,9000,
,17/04/2017,0.3,Local,8500,9000,9000,
,24/04/2017,0.5,Local,8000,8500,8500,
Bahadajholla,15/04/2017,14,Other,5100,5300,5200,
,21/04/2017,12,Other,5000,5200,5200,
,22/04/2017,14,Other,5100,5300,5200,
,25/04/2017,14,Other,5100,5300,5200,
,26/04/2017,12,Other,5100,5300,5200,
Dhenkanal,01/04/2017,0.21,Other,4800,5000,4800,
,02/04/2017,0.29,Other,4800,5000,4800,
,03/04/2017,0.22,Other,4800,5000,4800,
,04/04/2017,0.06,Other,4800,5000,4800,
,05/04/2017,0.23,Other,4800,5000,4800,
,06/04/2017,0.25,Other,4800,5000,4800,
,07/04/2017,0.32,Other,4800,5000,4800,
,08/04/2017,0.21,Other,4800,5000,4800,
,09/04/2017,0.35,Other,4800,5000,4800,
,10/04/2017,0.22,Other,4800,5000,4800,
,11/04/2017,0.21,Other,4800,5000,4800,
,12/04/2017,0.26,Other,4800,5000,4800,
,13/04/2017,0.26,Other,4800,5000,4800,
,14/04/2017,0.26,Other,4800,5000,4800,
,15/04/2017,0.24,Other,4800,5000,4800,
,16/04/2017,0.21,Other,4800,5000,4800,
,17/04/2017,0.22,Other,4800,5000,4800,
,18/04/2017,0.18,Other,4800,5000,4800,
,19/04/2017,0.24,Other,4800,5000,4800,
,20/04/2017,0.22,Other,4800,5000,4800,
,24/04/2017,0.29,Other,4800,5000,4800,
,25/04/2017,0.22,Other,4800,5000,4800,
,26/04/2017,0.22,Other,4800,5000,4800,
,27/04/2017,0.22,Other,4800,5000,4800,
,28/04/2017,0.21,Other,4800,5000,4800,
,29/04/2017,0.22,Other,4800,5000,4800,
,30/04/2017,0.21,Other,4800,5000,4800,
Digapahandi,09/04/2017,6,Other,5800,6200,6000,
Godabhaga,20/04/2017,0.04,Other,7000,7500,7500,
,27/04/2017,0.05,Other,8000,8500,8500,
Jajpur,25/04/2017,20,Local,4500,4800,4800,
Kasinagar,11/04/2017,10,Other,5000,6000,6000,
,21/04/2017,10,Other,5000,6000,6000,
,26/04/2017,10,Other,5000,6000,6000,
,30/04/2017,10, ,NR,NR,NR,
Kesinga,15/04/2017,0.2,Other,6000,7000,6500,
,20/04/2017,0.5,Other,6500,7000,6600,
Khariar,02/04/2017,0.5, ,NR,NR,NR,
,05/04/2017,0.5, ,NR,NR,NR,
,06/04/2017,0.5, ,NR,NR,NR,
,09/04/2017,0.1, ,NR,NR,NR,
,16/04/2017,0.5, ,NR,NR,NR,
,25/04/2017,0.5, ,NR,NR,NR,
,26/04/2017,0.2, ,NR,NR,NR,
Khariar Road,01/04/2017,0.5,Local,6000,6500,6500,
,04/04/2017,0.1,Local,6000,6500,6500,
,05/04/2017,0.1,Local,6000,6500,6500,
Mottagaon,01/04/2017,0.23,Other,4800,5000,4800,
,03/04/2017,0.06,Other,4800,5000,4800,
,04/04/2017,0.29,Other,4800,5000,4800,
,05/04/2017,0.31,Other,4800,5000,4800,
,06/04/2017,0.22,Other,4800,5000,4800,
,07/04/2017,0.23,Other,4800,5000,4800,
,08/04/2017,0.24,Other,4800,5000,4800,
,09/04/2017,0.23,Other,4800,5000,4800,
,10/04/2017,0.32,Other,4800,5000,4800,
,11/04/2017,0.21,Other,4800,5000,4800,
,12/04/2017,0.22,Other,4800,5000,4800,
,14/04/2017,0.21,Other,4800,5000,4800,
,15/04/2017,0.22,Other,4800,5000,4800,
,16/04/2017,0.25,Other,4800,5000,4800,
,17/04/2017,0.24,Other,4800,5000,4800,
,18/04/2017,0.22,Other,4800,5000,4800,
,19/04/2017,0.21,Other,4800,5000,4800,
,24/04/2017,0.22,Other,4800,5000,4800,
,25/04/2017,0.22,Other,4800,5000,4800,
,26/04/2017,0.21,Other,4800,5000,4800,
,27/04/2017,0.12,Other,4800,5000,4800,
,28/04/2017,0.22,Other,4800,5000,4800,
,29/04/2017,0.21,Other,4800,5000,4800,
,30/04/2017,0.22,Other,4800,5000,4800,
Sarankul,15/04/2017,7,Other,5100,5300,5200,
,17/04/2017,10,Other,5100,5300,5200,
,21/04/2017,8,Other,5100,5300,5200,
,22/04/2017,10,Other,5100,5300,5200,
,25/04/2017,7,Other,5100,5300,5200,
,26/04/2017,7,Other,5100,5300,5200,
