Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Attabira,07/10/2019,0.7,Local,7000,7500,7000,
,14/10/2019,0.7,Local,7000,7500,7000,
,21/10/2019,0.8,Local,7000,7500,7000,
,28/10/2019,0.7,Local,7000,7500,7000,
Dhenkanal,01/10/2019,0.24,Other,6975,7000,6975,
,02/10/2019,0.22,Other,6975,7000,6975,
,03/10/2019,0.22,Other,6975,7000,6975,
,04/10/2019,0.23,Other,6975,7000,6975,
,06/10/2019,0.2,Other,6975,7000,6975,
,07/10/2019,0.24,Other,6975,7000,6975,
,08/10/2019,0.22,Other,6975,7000,6975,
,09/10/2019,0.22,Other,6975,7000,6975,
,10/10/2019,0.23,Other,6975,7000,6975,
,11/10/2019,0.23,Other,6975,7000,6975,
,14/10/2019,0.16,Other,6975,7000,6975,
,15/10/2019,0.23,Other,6975,7000,6975,
,16/10/2019,0.23,Other,6975,7000,6975,
,17/10/2019,0.22,Other,6975,7000,6975,
,18/10/2019,0.23,Other,6975,7000,6975,
,19/10/2019,0.23,Other,6975,7000,6975,
,20/10/2019,0.24,Other,6975,7000,6975,
,21/10/2019,0.26,Other,6975,7000,6975,
,22/10/2019,0.24,Other,6975,7000,6975,
,23/10/2019,0.24,Other,6975,7000,6975,
,24/10/2019,0.26,Other,6975,7000,6975,
,25/10/2019,0.28,Other,6975,7000,6975,
,26/10/2019,0.26,Other,6975,7000,6975,
,27/10/2019,0.25,Other,6975,7000,6975,
,28/10/2019,0.26,Other,6975,7000,6975,
,29/10/2019,0.24,Other,6975,7000,6975,
,30/10/2019,0.28,Other,6975,7000,6975,
,31/10/2019,0.24,Other,6975,7000,6975,
Digapahandi,18/10/2019,1,Other,5700,6800,6200,
,31/10/2019,1.2,Other,5000,6000,5500,
Godabhaga,03/10/2019,0.3,Other,7500,8000,7500,
,10/10/2019,0.4,Other,7000,7500,7000,
,31/10/2019,0.3,Other,7000,7500,7000,
Mottagaon,01/10/2019,0.27,Other,6975,7000,6975,
,02/10/2019,0.26,Other,6975,7000,6975,
,03/10/2019,0.21,Other,6975,7000,6975,
,04/10/2019,0.27,Other,6975,7000,6975,
,06/10/2019,0.26,Other,6975,7000,6975,
,07/10/2019,0.26,Other,6975,7000,6975,
,08/10/2019,0.2,Other,6975,7000,6975,
,09/10/2019,0.16,Other,6975,7000,6975,
,10/10/2019,0.24,Other,6975,7000,6975,
,14/10/2019,0.22,Other,6975,7000,6975,
,15/10/2019,0.22,Other,6975,7000,6975,
,16/10/2019,0.22,Other,6975,7000,6975,
,18/10/2019,0.23,Other,6975,7000,6975,
,19/10/2019,0.24,Other,6975,7000,6975,
,20/10/2019,0.14,Other,6975,7000,6975,
,21/10/2019,0.16,Other,6975,7000,6975,
,22/10/2019,0.27,Other,6975,7000,6975,
,23/10/2019,0.23,Other,6975,7000,6975,
,24/10/2019,0.24,Other,6975,7000,6975,
,25/10/2019,0.26,Other,6975,7000,6975,
,28/10/2019,0.26,Other,6975,7000,6975,
,29/10/2019,0.24,Other,6975,7000,6975,
,30/10/2019,0.22,Other,6975,7000,6975,
,31/10/2019,0.22,Other,6975,7000,6975,
