Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Anoopgarh,01/04/2016,0.4,Other,4221,5500,4861,
,28/04/2016,0.2,Other,6000,6000,6000,
Balotra,01/04/2016,5, ,NR,NR,NR,
,02/04/2016,16,Other,6300,6400,6350,
,06/04/2016,4.08,Other,6300,6400,6350,
,11/04/2016,6.08, ,NR,NR,NR,
,14/04/2016,6.08,Other,6400,6500,6450,
,16/04/2016,7, ,NR,NR,NR,
,18/04/2016,5,Other,6400,6500,6450,
,25/04/2016,7,Other,6400,6500,6450,
,26/04/2016,7,Other,6400,6500,6450,
,28/04/2016,5.06,Other,6500,6600,6550,
,29/04/2016,12,Other,6400,6500,6450,
,30/04/2016,8,Other,6400,6500,6450,
Barmer,01/04/2016,0.8,Other,6400,6500,6475,
,02/04/2016,2.3,Other,6400,6600,6500,
,04/04/2016,1.2,Other,6550,6650,6575,
,05/04/2016,3.5,Other,6550,6600,6580,
,06/04/2016,6, ,NR,NR,NR,
,07/04/2016,1.3,Other,6500,6600,6550,
,08/04/2016,0.8,Other,6500,6600,6550,
,09/04/2016,6.5,Other,6500,6600,6550,
,11/04/2016,0.5,Other,6500,6700,6600,
,12/04/2016,0.5,Other,6400,6600,6500,
,13/04/2016,1.7, ,NR,NR,NR,
,14/04/2016,4,Other,6400,6600,6500,
,15/04/2016,6,Other,5100,5300,5200,
,16/04/2016,0.3,Other,6400,6600,6500,
,18/04/2016,8,Other,6600,6800,6700,
,19/04/2016,5.7,Other,6400,6600,6500,
,21/04/2016,7.9,Other,6600,6800,6700,
,22/04/2016,2.8,Other,6600,6700,6650,
,23/04/2016,0.9,Other,6300,6500,6400,
,26/04/2016,2,Other,6400,6600,6500,
,28/04/2016,0.3,Other,6400,6500,6450,
,29/04/2016,0.3,Other,6200,6400,6300,
Beawar,05/04/2016,0.8,Other,6200,6700,6450,
,06/04/2016,0.8,Other,6500,7000,6750,
,15/04/2016,1,Other,6700,6900,6800,
,16/04/2016,1.5,Other,6700,6900,6800,
,18/04/2016,2.7,Other,6700,6900,6800,
,20/04/2016,1.8,Other,6500,7000,6750,
,21/04/2016,0.7,Other,6900,7200,7050,
Bhinmal,01/04/2016,0.5,Other,6400,6420,6410,
,04/04/2016,0.4,Other,6775,6775,6775,
,07/04/2016,0.9,Other,6500,6500,6500,
,08/04/2016,0.8,Other,6751,6770,6760,
,11/04/2016,0.3,Other,6725,6725,6725,
,16/04/2016,5.5,Other,6700,6710,6705,
,18/04/2016,1.8,Other,6700,6700,6700,
,19/04/2016,0.6,Other,6650,6710,6700,
,21/04/2016,0.3,Other,6700,6700,6700,
,23/04/2016,0.6,Other,6500,6500,6500,
,26/04/2016,0.9,Other,6705,6705,6705,
Bijay Nagar,07/04/2016,6,Other,4877,6611,6200,
,14/04/2016,1.1,Other,6301,6301,6301,
Bikaner (Grain),02/04/2016,4.5,Other,6151,6551,6351,
,07/04/2016,2,Other,6271,6271,6271,
,09/04/2016,2, ,NR,NR,NR,
Bilara,24/04/2016,4,Other,6400,6800,6600,
Chaksu,07/04/2016,0.1,Other,5990,5990,5990,
,26/04/2016,2.2, ,NR,NR,NR,
Deedwana,05/04/2016,0.8,Other,6400,6500,6450,
,11/04/2016,3,Other,6400,6600,6500,
,13/04/2016,2,Other,6400,6800,6600,
,22/04/2016,4.8,Other,7300,7800,7500,
,26/04/2016,0.9,Other,6000,6400,6200,
Degana,01/04/2016,11.3,Local,6640,6737,6715,
,02/04/2016,30.5,Local,6600,6750,6700,
,04/04/2016,38,Local,6700,6785,6750,
,05/04/2016,13.6,Local,6700,6800,6741,
,06/04/2016,14,Local,6670,6700,6695,
,08/04/2016,40,Local,6645,6730,6650,
,09/04/2016,45, ,NR,NR,NR,
,11/04/2016,20.1,Local,6550,6700,6645,
